Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,25 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,28
Baja California ,87 ,8 ,2 ,1 ,0 ,0 ,0 ,0 ,1 ,99
Baja California Sur ,158 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,160
Campeche ,93 ,0 ,2 ,12 ,0 ,0 ,0 ,0 ,3 ,110
Coahuila ,32 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,34 ,72
Colima ,29 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,32
Chiapas ,200 ,0 ,16 ,68 ,0 ,0 ,13 ,3 ,6 ,306
Chihuahua ,1148 ,10 ,2 ,27 ,0 ,0 ,0 ,0 ,14 ,1201
Distrito Federal ,286 ,1 ,105 ,0 ,0 ,0 ,9 ,0 ,8 ,409
Durango ,44 ,0 ,3 ,10 ,0 ,0 ,2 ,0 ,0 ,59
Guanajuato ,148 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,152
Guerrero ,132 ,1 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,142
Hidalgo ,265 ,0 ,1 ,21 ,107 ,0 ,2 ,0 ,0 ,396
Jalisco ,319 ,1 ,1 ,0 ,106 ,0 ,15 ,0 ,2025 ,2467
México ,136 ,19 ,4 ,0 ,133 ,0 ,1 ,0 ,6 ,299
Michoacán ,253 ,3 ,7 ,51 ,0 ,0 ,0 ,0 ,0 ,314
Morelos ,120 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,129
Nayarit ,97 ,4 ,1 ,6 ,2 ,0 ,0 ,0 ,0 ,110
Nuevo León ,131 ,101 ,1 ,0 ,0 ,0 ,1 ,0 ,386 ,620
Oaxaca ,194 ,0 ,8 ,62 ,20 ,0 ,0 ,0 ,1 ,285
Puebla ,126 ,11 ,2 ,22 ,0 ,0 ,1 ,0 ,26 ,188
Querétaro ,65 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,69
Quintana Roo ,52 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,54
San Luis Potosí ,90 ,1 ,1 ,17 ,0 ,0 ,1 ,0 ,0 ,110
Sinaloa ,32 ,0 ,3 ,0 ,124 ,0 ,2 ,0 ,10 ,171
Sonora ,44 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44
Tabasco ,161 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,2 ,166
Tamaulipas ,32 ,0 ,1 ,13 ,0 ,0 ,2 ,0 ,0 ,48
Tlaxcala ,114 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,118
Veracruz ,150 ,1 ,3 ,42 ,0 ,1 ,0 ,1 ,0 ,198
Yucatán ,78 ,0 ,0 ,15 ,1 ,0 ,1 ,0 ,11 ,106
Zacatecas ,221 ,0 ,3 ,15 ,0 ,0 ,0 ,0 ,0 ,239
TOTAL GLOBAL ,5062 ,167 ,191 ,388 ,497 ,2 ,54 ,5 ,2535 ,8901
