Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,Total
Aguascalientes ,45 ,0 ,1 ,S.R. ,0 ,S.R. ,0 ,S.R. ,0 ,46
Baja California ,880 ,3 ,2 ,6 ,S.R. ,S.R. ,1 ,0 ,13 ,905
Baja California Sur ,289 ,0 ,1 ,S.R. ,S.R. ,S.R. ,0 ,0 ,S.R. ,290
Campeche ,1 060 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,1 ,1 065
Coahuila ,44 ,3 ,1 ,2 ,0 ,S.R. ,0 ,S.R. ,11 ,61
Colima ,377 ,0 ,0 ,S.R. ,1 ,S.R. ,0 ,0 ,0 ,378
Chiapas ,910 ,1 ,21 ,18 ,S.R. ,0 ,0 ,0 ,0 ,950
Chihuahua ,3 832 ,7 ,2 ,27 ,S.R. ,S.R. ,2 ,S.R. ,2 ,3 872
Distrito Federal ,970 ,2 ,247 ,1 ,4 ,0 ,9 ,0 ,2 ,1 235
Durango ,490 ,0 ,0 ,17 ,0 ,S.R. ,1 ,S.R. ,0 ,508
Guanajuato ,7 997 ,3 ,3 ,1 ,S.R. ,11 ,7 ,S.R. ,2 ,8 024
Guerrero ,1 614 ,1 ,1 ,1 ,S.R. ,S.R. ,0 ,0 ,0 ,1 617
Hidalgo ,1 471 ,0 ,0 ,17 ,20 ,0 ,0 ,S.R. ,0 ,1 508
Jalisco ,1 115 ,2 ,0 ,0 ,5 ,0 ,0 ,0 ,1 583 ,2 705
México ,2 139 ,6 ,2 ,3 ,781 ,S.R. ,2 ,S.R. ,10 ,2 943
Michoacán ,3 752 ,1 ,1 ,46 ,S.R. ,S.R. ,1 ,0 ,S.R. ,3 801
Morelos ,888 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,888
Nayarit ,434 ,0 ,0 ,3 ,13 ,S.R. ,0 ,0 ,0 ,450
Nuevo León ,1 561 ,1 ,1 ,0 ,S.R. ,0 ,0 ,S.R. ,145 ,1 708
Oaxaca ,806 ,0 ,3 ,53 ,0 ,0 ,2 ,1 ,3 ,868
Puebla ,1 127 ,5 ,0 ,11 ,0 ,0 ,2 ,S.R. ,7 ,1 152
Querétaro ,3 713 ,0 ,6 ,0 ,0 ,S.R. ,2 ,S.R. ,6 ,3 727
Quintana Roo ,1 338 ,3 ,9 ,S.R. ,S.R. ,S.R. ,2 ,0 ,0 ,1 352
San Luis Potosí ,821 ,3 ,2 ,9 ,S.R. ,0 ,1 ,S.R. ,4 ,840
Sinaloa ,256 ,0 ,8 ,4 ,50 ,0 ,1 ,1 ,1 ,321
Sonora ,263 ,2 ,0 ,0 ,S.R. ,S.R. ,0 ,8 ,2 ,275
Tabasco ,1 811 ,0 ,1 ,S.R. ,S.R. ,1 ,0 ,0 ,7 ,1 820
Tamaulipas ,1 116 ,3 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,1 125
Tlaxcala ,461 ,0 ,0 ,0 ,0 ,S.R. ,1 ,S.R. ,0 ,462
Veracruz ,977 ,9 ,2 ,38 ,0 ,10 ,2 ,1 ,0 ,1 039
Yucatán ,2 522 ,0 ,0 ,52 ,0 ,S.R. ,0 ,0 ,0 ,2 574
Zacatecas ,974 ,0 ,0 ,18 ,0 ,S.R. ,0 ,S.R. ,2 ,994
TOTAL GLOBAL ,46 053 ,55 ,315 ,334 ,875 ,22 ,37 ,11 ,1 801 ,49 503
