Estado ,IMSS Ord. ,ISSSTE ,IMSS Prosp. ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS, Total
Aguascalientes ,40 ,0 ,0 ,S.R.   ,0 ,S.R. ,0 ,S.R. ,5 ,45
Baja California ,429 ,3 ,0 ,9 ,S.R. ,S.R. ,1 ,0 ,5 ,447
Baja California Sur ,667 ,0 ,0 ,S.R. ,S.R. ,S.R. ,2 ,0 ,S.R. ,669
Campeche ,1 386 ,0 ,0 ,4  ,0 ,0 ,1 ,0 ,0 ,1 391
Coahuila ,142 ,13 ,3 ,2  ,1 ,S.R. ,1 ,S.R. ,25 ,187
Colima ,203 ,1 ,0 ,S.R.  ,7 ,S.R. ,0 ,0 ,0 ,211
Chiapas ,829 ,1 ,7 ,12 ,S.R. ,0 ,0 ,0 ,3 ,852
Chihuahua ,3 080 ,1 ,5 ,36 ,S.R. ,S.R. ,1 ,S.R. ,19 ,3 142
Distrito Federal ,1 363 ,82 ,51 ,0  ,6 ,0 ,2 ,0 ,0 ,1 504
Durango ,339 ,0 ,2 ,4  ,0 ,S.R. ,S.R. ,0 ,1 ,346
Guanajuato ,4 934 ,2 ,0 ,0 ,S.R. ,10 ,2 ,S.R. ,7 ,4 955
Guerrero ,3 213 ,1 ,8 ,1 ,S.R. ,S.R. ,0 ,0 ,0 ,3 223
Hidalgo ,1 759 ,0 ,1 ,31  ,51 ,0 ,0 ,S.R. ,0 ,1 842
Jalisco ,2 865 ,13 ,0 ,0  ,6 ,0 ,0 ,0 ,890 ,3 774
México ,9 882 ,2 ,5 ,4   ,301 ,S.R. ,10 ,S.R. ,5 ,10 209
Michoacán ,7 470 ,0 ,1 ,17 ,S.R. ,S.R. ,0 ,4 ,S.R. ,7 492
Morelos ,1 145 ,0 ,0 ,0 ,S.R. ,S.R. ,6 ,S.R. ,S.R. ,1 151
Nayarit ,884 ,0 ,0 ,1   ,9 ,S.R. ,0 ,0 ,0 ,894
Nuevo León ,2 098 ,7 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,73 ,2 178
Oaxaca ,425 ,0 ,3 ,55   ,1 ,0 ,0 ,0 ,0 ,484
Puebla ,1 169 ,0 ,1 ,17   ,0 ,0 ,0 ,S.R. ,2 ,1 189
Querétaro ,5 969 ,2 ,4 ,0   ,0 ,S.R. ,0 ,S.R. ,5 ,5 980
Quintana Roo ,1 129 ,0 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,0 ,1 129
San Luis Potosí ,568 ,0 ,0 ,7 ,S.R. ,0 ,3 ,S.R. ,2 ,580
Sinaloa ,139 ,0 ,0 ,2   ,33 ,0 ,0 ,0 ,3 ,177
Sonora ,571 ,1 ,0 ,0 ,S.R. ,S.R. ,3 ,6 ,1 ,582
Tabasco ,957 ,0 ,1 ,S.R. ,S.R. ,0 ,0 ,1 ,1 ,960
Tamaulipas ,3 035 ,8 ,0 ,2   ,36 ,0 ,0 ,0 ,6 ,3 087
Tlaxcala ,1 156 ,0 ,1 ,0   ,0 ,S.R. ,0 ,S.R. ,0 ,1 157
Veracruz ,1 838 ,2 ,2 ,28  ,0 ,7 ,0 ,2 ,0 ,1 879
Yucatán ,1 900 ,0 ,0 ,11   ,0 ,S.R. ,0 ,0 ,1 ,1 912
Zacatecas ,1 018 ,0 ,2 ,27  ,0 ,S.R. ,0 ,S.R. ,0 ,1 047
TOTAL GLOBAL ,62 602 ,139 ,97 ,270  ,451 ,17 ,32 ,13 ,1 054 ,64 675
