Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,84 ,0 ,0 ,N.A. ,0 ,N.A. ,0 ,N.A. ,3 ,87
Baja California ,283 ,4 ,0 ,1 ,N.A. ,N.A. ,4 ,0 ,38 ,330
Baja California Sur ,164 ,1 ,1 ,N.A. ,N.A. ,N.A. ,0 ,0 ,N.A. ,166
Campeche ,1 126 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,17 ,1 145
Coahuila ,72 ,0 ,5 ,22 ,0 ,N.A. ,0 ,N.A. ,27 ,126
Colima ,116 ,0 ,2 ,N.A. ,0 ,N.A. ,0 ,0 ,1 ,119
Chiapas ,177 ,0 ,32 ,28 ,N.A. ,0 ,2 ,1 ,2 ,242
Chihuahua ,2 182 ,15 ,0 ,44 ,N.A. ,N.A. ,0 ,N.A. ,15 ,2 256
Distrito Federal ,647 ,0 ,217 ,0 ,0 ,0 ,39 ,5 ,4 ,912
Durango ,120 ,0 ,0 ,18 ,0 ,N.A. ,0 ,N.A. ,1 ,139
Guanajuato ,1 156 ,0 ,0 ,0 ,N.A. ,11 ,12 ,N.A. ,11 ,1 190
Guerrero ,374 ,0 ,6 ,3 ,N.A. ,N.A. ,3 ,0 ,N.A. ,386
Hidalgo ,1 842 ,0 ,1 ,10 ,57 ,1 ,0 ,N.A. ,0 ,1 911
Jalisco ,501 ,2 ,0 ,0 ,31 ,0 ,1 ,0 ,2 112 ,2 647
México ,235 ,10 ,4 ,0 ,404 ,N.A. ,8 ,N.A. ,7 ,668
Michoacán ,1 077 ,1 ,0 ,53 ,N.A. ,N.A. ,2 ,0 ,N.A. ,1 133
Morelos ,156 ,2 ,1 ,0 ,N.A. ,N.A. ,0 ,N.A. ,N.A. ,159
Nayarit ,953 ,1 ,1 ,20 ,25 ,N.A. ,0 ,0 ,9 ,1 009
Nuevo León ,885 ,3 ,0 ,1 ,N.A. ,0 ,0 ,N.A. ,118 ,1 007
Oaxaca ,753 ,0 ,14 ,68 ,57 ,11 ,1 ,2 ,3 ,909
Puebla ,435 ,6 ,1 ,36 ,0 ,0 ,5 ,N.A. ,50 ,533
Querétaro ,3 447 ,3 ,3 ,0 ,0 ,N.A. ,1 ,N.A. ,0 ,3 454
Quintana Roo ,305 ,1 ,17 ,N.A. ,N.A. ,N.A. ,0 ,1 ,N.A. ,324
San Luis Potosí ,128 ,6 ,0 ,13 ,N.A. ,0 ,0 ,N.A. ,13 ,160
Sinaloa ,241 ,5 ,9 ,70 ,157 ,0 ,2 ,0 ,4 ,488
Sonora ,231 ,0 ,0 ,0 ,N.A. ,N.A. ,1 ,0 ,6 ,238
Tabasco ,492 ,0 ,7 ,N.A. ,N.A. ,0 ,0 ,0 ,10 ,509
Tamaulipas ,49 ,1 ,1 ,6 ,3 ,1 ,2 ,0 ,0 ,63
Tlaxcala ,170 ,0 ,0 ,0 ,0 ,N.A. ,0 ,N.A. ,0 ,170
Veracruz ,320 ,1 ,7 ,49 ,2 ,2 ,6 ,0 ,N.A. ,387
Yucatán ,992 ,4 ,0 ,49 ,0 ,N.A. ,0 ,0 ,1 ,1 046
Zacatecas ,1 970 ,0 ,1 ,23 ,0 ,N.A. ,0 ,N.A. ,0 ,1 994
TOTAL GLOBAL ,21 683 ,66 ,330 ,516 ,736 ,26 ,89 ,9 ,2 452 ,25 907
