Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras, Total
Aguascalientes ,33 ,0 ,1 ,S.R. ,0 ,S.R. ,0 ,S.R. ,2 ,36
Baja California ,1 148 ,9 ,4 ,4 ,S.R. ,S.R. ,2 ,1 ,3 ,1 171
Baja California Sur ,876 ,0 ,4 ,S.R. ,S.R. ,S.R. ,1 ,0 ,S.R. ,881
Campeche ,1 814 ,0 ,6 ,5 ,0 ,0 ,0 ,1 ,0 ,1 826
Coahuila ,91 ,2 ,3 ,4 ,14 ,S.R. ,2 ,S.R. ,6 ,122
Colima ,394 ,0 ,0 ,S.R. ,2 ,S.R. ,0 ,1 ,1 ,398
Chiapas ,2 264 ,0 ,26 ,18 ,S.R. ,0 ,0 ,0 ,1 ,2 309
Chihuahua ,4 493 ,9 ,2 ,38 ,S.R. ,S.R. ,9 ,S.R. ,5 ,4 556
Distrito Federal ,1 395 ,1 ,69 ,7 ,1 ,0 ,2 ,3 ,1 ,1 479
Durango ,864 ,1 ,7 ,9 ,0 ,S.R. ,6 ,0 ,0 ,887
Guanajuato ,11 197 ,3 ,2 ,0 ,S.R. ,14 ,3 ,S.R. ,4 ,11 223
Guerrero ,1 975 ,0 ,1 ,17 ,S.R. ,S.R. ,0 ,0 ,0 ,1 993
Hidalgo ,2 058 ,0 ,0 ,12 ,26 ,0 ,0 ,S.R. ,0 ,2 096
Jalisco ,2 260 ,8 ,0 ,0 ,8 ,0 ,0 ,0 ,1 734 ,4 010
México ,3 890 ,9 ,0 ,3 ,647 ,S.R. ,5 ,S.R. ,6 ,4 560
Michoacán ,4 909 ,2 ,1 ,32 ,S.R. ,S.R. ,0 ,0 ,S.R. ,4 944
Morelos ,974 ,0 ,1 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,975
Nayarit ,934 ,1 ,2 ,4 ,10 ,S.R. ,0 ,0 ,0 ,951
Nuevo León ,1 273 ,6 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,155 ,1 434
Oaxaca ,755 ,0 ,10 ,72 ,5 ,0 ,0 ,1 ,2 ,845
Puebla ,1 948 ,4 ,2 ,15 ,0 ,0 ,2 ,S.R. ,5 ,1 976
Querétaro ,5 316 ,0 ,2 ,0 ,0 ,S.R. ,14 ,S.R. ,4 ,5 336
Quintana Roo ,1 506 ,0 ,2 ,S.R. ,S.R. ,S.R. ,4 ,0 ,0 ,1 512
San Luis Potosí ,1 568 ,2 ,16 ,6 ,S.R. ,0 ,0 ,S.R. ,4 ,1 596
Sinaloa ,228 ,0 ,5 ,2 ,94 ,0 ,3 ,0 ,4 ,336
Sonora ,539 ,4 ,0 ,0 ,S.R. ,S.R. ,1 ,0 ,6 ,550
Tabasco ,1 977 ,0 ,1 ,S.R. ,S.R. ,2 ,0 ,0 ,5 ,1 985
Tamaulipas ,1 865 ,2 ,0 ,7 ,0 ,0 ,0 ,0 ,7 ,1 881
Tlaxcala ,465 ,1 ,1 ,0 ,0 ,S.R. ,2 ,S.R. ,0 ,469
Veracruz ,1 727 ,0 ,0 ,18 ,0 ,3 ,1 ,3 ,0 ,1 752
Yucatán ,2 403 ,1 ,0 ,22 ,0 ,S.R. ,0 ,0 ,0 ,2 426
Zacatecas ,974 ,1 ,0 ,20 ,0 ,S.R. ,0 ,S.R. ,2 ,997
TOTAL GLOBAL ,64 113 ,66 ,168 ,315 ,807 ,19 ,57 ,10 ,1 957 ,67 512
