Estado ,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,36 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,S.R. ,1 ,37
Baja California ,614 ,3 ,0 ,3 ,S.R. ,S.R. ,2 ,2 ,24 ,648
Baja California Sur ,532 ,2 ,3 ,S.R. ,S.R. ,S.R. ,0 ,0 ,S.R. ,537
Campeche ,1 427 ,1 ,0 ,8 ,0 ,0 ,1 ,1 ,0 ,1 438
Coahuila ,88 ,4 ,0 ,3 ,68 ,S.R. ,4 ,S.R. ,2 ,169
Colima ,279 ,0 ,0 ,S.R. ,8 ,S.R. ,1 ,0 ,1 ,289
Chiapas ,1 818 ,2 ,24 ,12 ,S.R. ,0 ,0 ,0 ,3 ,1 859
Chihuahua ,4 599 ,10 ,1 ,32 ,S.R. ,S.R. ,5 ,S.R. ,7 ,4 654
Distrito Federal ,1 289 ,29 ,58 ,0 ,5 ,0 ,1 ,0 ,2 ,1 384
Durango ,835 ,0 ,1 ,9 ,0 ,S.R. ,S.R. ,0 ,0 ,845
Guanajuato ,12 242 ,10 ,2 ,0 ,S.R. ,14 ,4 ,S.R. ,8 ,12 280
Guerrero ,2 884 ,2 ,7 ,75 ,S.R. ,S.R. ,0 ,0 ,0 ,2 968
Hidalgo ,2 238 ,0 ,0 ,7 ,57 ,0 ,0 ,S.R. ,0 ,2 302
Jalisco ,2 505 ,10 ,0 ,0 ,25 ,0 ,0 ,0 ,1 589 ,4 129
México ,8 066 ,5 ,9 ,6 ,910 ,S.R. ,8 ,S.R. ,6 ,9 010
Michoacán ,5 274 ,1 ,5 ,18 ,S.R. ,S.R. ,0 ,7 ,S.R. ,5 305
Morelos ,672 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,672
Nayarit ,432 ,0 ,2 ,5 ,7 ,S.R. ,0 ,0 ,0 ,446
Nuevo León ,2 008 ,2 ,0 ,0 ,S.R. ,0 ,2 ,S.R. ,123 ,2 135
Oaxaca ,526 ,0 ,2 ,51 ,0 ,0 ,0 ,3 ,2 ,584
Puebla ,1 621 ,2 ,1 ,22 ,0 ,1 ,2 ,S.R. ,10 ,1 659
Querétaro ,4 161 ,0 ,1 ,0 ,0 ,S.R. ,0 ,S.R. ,5 ,4 167
Quintana Roo ,1 498 ,0 ,5 ,S.R. ,S.R. ,S.R. ,0 ,0 ,0 ,1 503
San Luis Potosí ,879 ,2 ,0 ,10 ,S.R. ,0 ,0 ,S.R. ,6 ,897
Sinaloa ,116 ,0 ,3 ,1 ,158 ,0 ,0 ,0 ,8 ,286
Sonora ,608 ,1 ,0 ,0 ,S.R. ,S.R. ,2 ,7 ,10 ,628
Tabasco ,1 677 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,4 ,1 681
Tamaulipas ,1 457 ,3 ,0 ,1 ,0 ,0 ,2 ,0 ,1 ,1 464
Tlaxcala ,882 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,882
Veracruz ,3 706 ,2 ,1 ,23 ,0 ,5 ,0 ,1 ,0 ,3 738
Yucatán ,2 422 ,0 ,0 ,25 ,0 ,S.R. ,0 ,0 ,3 ,2 450
Zacatecas ,1 227 ,0 ,4 ,12 ,0 ,S.R. ,0 ,S.R. ,1 ,1 244
TOTAL GLOBAL ,68 618 ,91 ,129 ,323 ,1 238 ,20 ,34 ,21 ,1 816 ,72 290
