Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras, Total
Aguascalientes ,16 ,0 ,0 ,S.R. ,0 ,S.R. ,1 ,S.R. ,0 ,17
Baja California ,37 ,2 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,39
Baja California Sur ,35 ,0 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,S.R. ,35
Campeche ,108 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,111
Coahuila ,14 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,14
Colima ,18 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,0 ,0 ,18
Chiapas ,78 ,0 ,1 ,5 ,S.R. ,0 ,0 ,0 ,0 ,84
Chihuahua ,669 ,3 ,0 ,3 ,S.R. ,S.R. ,0 ,S.R. ,1 ,676
Distrito Federal ,159 ,0 ,192 ,0 ,0 ,0 ,2 ,0 ,1 ,354
Durango ,85 ,0 ,0 ,1 ,0 ,S.R. ,0 ,S.R. ,0 ,86
Guanajuato ,193 ,0 ,0 ,0 ,S.R. ,1 ,2 ,S.R. ,2 ,198
Guerrero ,271 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,271
Hidalgo ,332 ,0 ,0 ,0 ,19 ,0 ,0 ,S.R. ,0 ,351
Jalisco ,176 ,3 ,0 ,0 ,6 ,0 ,0 ,0 ,470 ,655
México ,301 ,4 ,0 ,0 ,608 ,S.R. ,0 ,S.R. ,0 ,913
Michoacán ,103 ,0 ,0 ,10 ,S.R. ,S.R. ,0 ,0 ,S.R. ,113
Morelos ,63 ,1 ,0 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,64
Nayarit ,36 ,0 ,0 ,2 ,3 ,S.R. ,0 ,0 ,0 ,41
Nuevo León ,135 ,0 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,10 ,145
Oaxaca ,73 ,0 ,0 ,8 ,0 ,2 ,0 ,0 ,1 ,84
Puebla ,180 ,24 ,0 ,3 ,0 ,0 ,0 ,S.R. ,2 ,209
Querétaro ,403 ,2 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,1 ,406
Quintana Roo ,57 ,0 ,1 ,S.R. ,S.R. ,S.R. ,0 ,0 ,0 ,58
San Luis Potosí ,68 ,1 ,4 ,2 ,S.R. ,0 ,1 ,S.R. ,1 ,77
Sinaloa ,42 ,0 ,4 ,0 ,17 ,0 ,0 ,0 ,4 ,67
Sonora ,56 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,1 ,57
Tabasco ,70 ,0 ,1 ,S.R. ,S.R. ,0 ,0 ,0 ,1 ,72
Tamaulipas ,77 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,79
Tlaxcala ,42 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,42
Veracruz ,162 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,0 ,171
Yucatán ,67 ,0 ,0 ,3 ,1 ,S.R. ,0 ,0 ,1 ,72
Zacatecas ,27 ,0 ,0 ,3 ,0 ,S.R. ,0 ,S.R. ,0 ,30
TOTAL GLOBAL ,4 153 ,41 ,205 ,47 ,654 ,4 ,8 ,0 ,497 ,5 609
