Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,5 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,S.R. ,0 ,5
Baja California ,13 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,19 ,32
Baja California Sur ,61 ,1 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,S.R. ,62
Campeche ,175 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,175
Coahuila ,15 ,2 ,0 ,0 ,19 ,S.R. ,1 ,S.R. ,0 ,37
Colima ,18 ,0 ,0 ,S.R. ,2 ,S.R. ,0 ,0 ,0 ,20
Chiapas ,120 ,1 ,1 ,0 ,S.R. ,0 ,0 ,0 ,0 ,122
Chihuahua ,1 283 ,5 ,1 ,6 ,S.R. ,S.R. ,1 ,S.R. ,0 ,1 296
Distrito Federal ,125 ,14 ,21 ,0 ,2 ,0 ,0 ,0 ,1 ,163
Durango ,141 ,0 ,0 ,1 ,0 ,S.R. ,S.R. ,0 ,0 ,142
Guanajuato ,422 ,1 ,0 ,0 ,S.R. ,2 ,0 ,S.R. ,0 ,425
Guerrero ,115 ,0 ,1 ,12 ,S.R. ,S.R. ,0 ,0 ,0 ,128
Hidalgo ,381 ,0 ,0 ,0 ,24 ,0 ,0 ,S.R. ,0 ,405
Jalisco ,205 ,2 ,0 ,0 ,11 ,0 ,0 ,0 ,548 ,766
México ,721 ,2 ,3 ,0 ,439 ,S.R. ,0 ,S.R. ,0 ,1 165
Michoacán ,145 ,0 ,0 ,2 ,S.R. ,S.R. ,0 ,2 ,S.R. ,149
Morelos ,46 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,46
Nayarit ,22 ,0 ,0 ,2 ,0 ,S.R. ,0 ,0 ,0 ,24
Nuevo León ,56 ,0 ,0 ,0 ,S.R. ,0 ,1 ,S.R. ,3 ,60
Oaxaca ,56 ,0 ,1 ,5 ,0 ,0 ,0 ,0 ,0 ,62
Puebla ,142 ,0 ,0 ,0 ,0 ,0 ,0 ,S.R. ,4 ,146
Querétaro ,422 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,422
Quintana Roo ,179 ,0 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,0 ,179
San Luis Potosí ,16 ,0 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,0 ,16
Sinaloa ,12 ,0 ,2 ,0 ,34 ,0 ,0 ,0 ,4 ,52
Sonora ,59 ,1 ,0 ,0 ,S.R. ,S.R. ,1 ,0 ,0 ,61
Tabasco ,125 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,1 ,126
Tamaulipas ,37 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,38
Tlaxcala ,35 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,35
Veracruz ,422 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,425
Yucatán ,48 ,0 ,0 ,2 ,0 ,S.R. ,0 ,0 ,2 ,52
Zacatecas ,34 ,0 ,0 ,1 ,0 ,S.R. ,0 ,S.R. ,0 ,35
TOTAL GLOBAL ,5 656 ,29 ,30 ,32 ,531 ,4 ,5 ,2 ,582 ,6 871
