Estado ,SSA ,IMSS Ord. ,ISSSTE ,IMSS Prosp. ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS, Total
Aguascalientes ,9 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,S.R. ,1 ,10
Baja California ,4 ,1 ,0 ,2 ,S.R. ,S.R. ,0 ,0 ,5 ,12
Baja California Sur ,88 ,0 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,S.R. ,88
Campeche ,263 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,263
Coahuila ,22 ,10 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,3 ,35
Colima ,36 ,0 ,0 ,S.R. ,1 ,S.R. ,0 ,0 ,0 ,37
Chiapas ,57 ,2 ,1 ,4 ,S.R. ,0 ,0 ,0 ,0 ,64
Chihuahua ,1 101 ,3 ,1 ,25 ,S.R. ,S.R. ,0 ,S.R. ,1 ,1 131
Distrito Federal ,168 ,42 ,33 ,0 ,1 ,0 ,1 ,0 ,0 ,245
Durango ,25 ,0 ,1 ,2 ,0 ,S.R. ,S.R. ,0 ,0 ,28
Guanajuato ,193 ,0 ,0 ,0 ,S.R. ,1 ,0 ,S.R. ,2 ,196
Guerrero ,120 ,0 ,3 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,123
Hidalgo ,369 ,0 ,0 ,36 ,32 ,0 ,0 ,S.R. ,0 ,437
Jalisco ,225 ,6 ,0 ,0 ,11 ,0 ,0 ,0 ,374 ,616
México ,963 ,1 ,0 ,0 ,255 ,S.R. ,2 ,S.R. ,1 ,1 222
Michoacán ,164 ,0 ,0 ,10 ,S.R. ,S.R. ,0 ,0 ,S.R. ,174
Morelos ,71 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,S.R. ,S.R. ,71
Nayarit ,104 ,0 ,1 ,1 ,0 ,S.R. ,0 ,0 ,0 ,106
Nuevo León ,43 ,5 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,10 ,58
Oaxaca ,67 ,0 ,1 ,19 ,1 ,0 ,0 ,0 ,0 ,88
Puebla ,105 ,0 ,0 ,4 ,0 ,0 ,0 ,S.R. ,1 ,110
Querétaro ,581 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,581
Quintana Roo ,101 ,0 ,0 ,S.R. ,S.R. ,S.R. ,0 ,0 ,0 ,101
San Luis Potosí ,19 ,0 ,0 ,0 ,S.R. ,0 ,0 ,S.R. ,3 ,22
Sinaloa ,11 ,0 ,0 ,0 ,39 ,0 ,0 ,0 ,2 ,52
Sonora ,78 ,0 ,0 ,0 ,S.R. ,S.R. ,0 ,1 ,0 ,79
Tabasco ,162 ,0 ,0 ,S.R. ,S.R. ,0 ,0 ,0 ,0 ,162
Tamaulipas ,55 ,0 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,64
Tlaxcala ,21 ,0 ,0 ,0 ,0 ,S.R. ,0 ,S.R. ,0 ,21
Veracruz ,293 ,0 ,0 ,3 ,0 ,2 ,5 ,0 ,0 ,303
Yucatán ,78 ,0 ,0 ,11 ,0 ,S.R. ,0 ,0 ,1 ,90
Zacatecas ,77 ,0 ,0 ,2 ,0 ,S.R. ,0 ,S.R. ,0 ,79
TOTAL GLOBAL ,5 673 ,70 ,41 ,119 ,349 ,3 ,8 ,1 ,404 ,6 668
