Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,3 ,1 ,1 ,4 ,3 ,13 ,2 ,0 ,0 ,0 ,0 ,28
Baja California ,0 ,10 ,6 ,8 ,8 ,21 ,65 ,7 ,5 ,2 ,5 ,0 ,137
Baja California Sur ,0 ,0 ,1 ,0 ,10 ,15 ,50 ,1 ,1 ,0 ,0 ,0 ,78
Campeche ,0 ,2 ,2 ,5 ,11 ,36 ,80 ,8 ,4 ,0 ,3 ,0 ,151
Coahuila ,1 ,1 ,9 ,9 ,12 ,13 ,37 ,8 ,3 ,0 ,2 ,0 ,95
Colima ,0 ,1 ,3 ,0 ,0 ,2 ,9 ,0 ,0 ,0 ,0 ,0 ,15
Chiapas ,1 ,3 ,11 ,12 ,28 ,57 ,109 ,21 ,11 ,1 ,5 ,0 ,259
Chihuahua ,3 ,8 ,11 ,22 ,29 ,32 ,124 ,11 ,9 ,0 ,15 ,0 ,264
Distrito Federal ,3 ,11 ,23 ,29 ,47 ,50 ,194 ,40 ,34 ,11 ,15 ,1 ,458
Durango ,0 ,3 ,4 ,8 ,7 ,4 ,32 ,4 ,3 ,2 ,2 ,0 ,69
Guanajuato ,3 ,2 ,6 ,7 ,6 ,33 ,65 ,6 ,10 ,2 ,5 ,0 ,145
Guerrero ,1 ,5 ,13 ,10 ,16 ,10 ,51 ,12 ,7 ,4 ,2 ,0 ,131
Hidalgo ,19 ,28 ,25 ,18 ,37 ,50 ,124 ,16 ,11 ,3 ,3 ,0 ,334
Jalisco ,16 ,65 ,106 ,114 ,312 ,407 ,936 ,169 ,121 ,49 ,28 ,1 ,2324
México ,27 ,28 ,54 ,31 ,45 ,49 ,112 ,11 ,9 ,5 ,5 ,0 ,376
Michoacán ,0 ,5 ,4 ,12 ,41 ,66 ,130 ,17 ,15 ,5 ,4 ,1 ,300
Morelos ,0 ,0 ,1 ,1 ,5 ,2 ,18 ,3 ,1 ,1 ,2 ,0 ,34
Nayarit ,0 ,0 ,1 ,1 ,9 ,16 ,39 ,3 ,4 ,0 ,2 ,0 ,75
Nuevo León ,1 ,7 ,4 ,13 ,59 ,128 ,180 ,70 ,31 ,4 ,6 ,0 ,503
Oaxaca ,1 ,8 ,9 ,16 ,33 ,50 ,159 ,32 ,26 ,11 ,14 ,0 ,359
Puebla ,3 ,11 ,9 ,10 ,23 ,27 ,101 ,26 ,24 ,3 ,5 ,0 ,242
Querétaro ,0 ,2 ,3 ,5 ,9 ,15 ,59 ,5 ,3 ,1 ,5 ,0 ,107
Quintana Roo ,1 ,2 ,2 ,5 ,14 ,17 ,43 ,3 ,5 ,0 ,0 ,0 ,92
San Luis Potosi ,0 ,1 ,5 ,10 ,10 ,21 ,61 ,9 ,12 ,3 ,2 ,0 ,134
Sinaloa ,0 ,3 ,10 ,12 ,14 ,16 ,48 ,8 ,7 ,1 ,0 ,0 ,119
Sonora ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,0 ,4
Tabasco ,0 ,3 ,7 ,6 ,19 ,18 ,106 ,9 ,17 ,0 ,0 ,0 ,185
Tamaulipas ,3 ,17 ,16 ,10 ,11 ,25 ,69 ,29 ,10 ,0 ,2 ,0 ,192
Tlaxcala ,0 ,0 ,1 ,0 ,5 ,11 ,20 ,3 ,3 ,2 ,0 ,0 ,45
Veracruz ,1 ,6 ,11 ,12 ,25 ,54 ,113 ,29 ,11 ,3 ,7 ,0 ,272
Yucatán ,1 ,1 ,3 ,4 ,4 ,14 ,47 ,5 ,1 ,1 ,0 ,0 ,81
Zacatecas ,1 ,2 ,6 ,13 ,38 ,45 ,73 ,24 ,15 ,13 ,5 ,0 ,235
TOTAL GLOBAL ,87 ,238 ,367 ,404 ,891 ,1307 ,3268 ,592 ,414 ,127 ,145 ,3 ,7843
