Estado ,< 1 ,1 - 4 ,5 - 9 ,10 - 14 ,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,3 ,1 ,5 ,20 ,19 ,50 ,6 ,10 ,0 ,0 ,0 ,114
Baja California ,1 ,1 ,0 ,7 ,39 ,55 ,132 ,47 ,17 ,3 ,1 ,0 ,303
Baja California Sur ,0 ,2 ,1 ,2 ,11 ,23 ,61 ,3 ,3 ,2 ,2 ,0 ,110
Campeche ,0 ,7 ,9 ,24 ,33 ,35 ,152 ,29 ,10 ,0 ,0 ,0 ,299
Coahuila ,1 ,2 ,0 ,1 ,13 ,22 ,45 ,2 ,4 ,0 ,2 ,0 ,92
Colima ,0 ,1 ,2 ,9 ,23 ,14 ,117 ,13 ,13 ,10 ,4 ,0 ,206
Chiapas ,2 ,7 ,11 ,26 ,33 ,45 ,85 ,21 ,10 ,2 ,2 ,0 ,244
Chihuahua ,1 ,0 ,8 ,67 ,124 ,208 ,631 ,97 ,69 ,15 ,16 ,0 ,1 236
Distrito Federal ,8 ,61 ,65 ,106 ,182 ,170 ,632 ,47 ,31 ,4 ,22 ,0 ,1 328
Durango ,0 ,1 ,3 ,3 ,4 ,9 ,34 ,6 ,3 ,0 ,3 ,0 ,66
Guanajuato ,5 ,9 ,14 ,20 ,92 ,150 ,420 ,73 ,54 ,6 ,17 ,0 ,860
Guerrero ,0 ,7 ,15 ,29 ,47 ,66 ,218 ,26 ,29 ,4 ,13 ,0 ,454
Hidalgo ,6 ,25 ,47 ,69 ,142 ,191 ,697 ,87 ,55 ,13 ,19 ,0 ,1 351
Jalisco ,4 ,27 ,42 ,101 ,231 ,356 ,1 085 ,119 ,134 ,49 ,34 ,1 ,2 183
México ,20 ,74 ,108 ,77 ,54 ,55 ,159 ,31 ,17 ,2 ,5 ,0 ,602
Michoacán ,2 ,6 ,11 ,15 ,75 ,85 ,333 ,40 ,43 ,9 ,14 ,0 ,633
Morelos ,0 ,4 ,4 ,9 ,21 ,42 ,88 ,18 ,14 ,6 ,3 ,0 ,209
Nayarit ,0 ,7 ,20 ,63 ,109 ,116 ,360 ,64 ,47 ,12 ,4 ,0 ,802
Nuevo León ,2 ,26 ,36 ,39 ,90 ,149 ,350 ,78 ,40 ,11 ,7 ,0 ,828
Oaxaca ,2 ,5 ,17 ,24 ,60 ,117 ,375 ,58 ,31 ,6 ,23 ,0 ,718
Puebla ,1 ,10 ,27 ,39 ,106 ,103 ,352 ,55 ,28 ,7 ,10 ,0 ,738
Querétaro ,0 ,5 ,6 ,16 ,61 ,57 ,216 ,24 ,41 ,5 ,11 ,0 ,442
Quintana Roo ,0 ,1 ,2 ,1 ,14 ,20 ,53 ,7 ,2 ,0 ,2 ,0 ,102
San Luis Potosí ,0 ,4 ,0 ,6 ,10 ,19 ,49 ,9 ,4 ,2 ,2 ,0 ,105
Sinaloa ,3 ,9 ,16 ,26 ,17 ,21 ,111 ,14 ,13 ,1 ,5 ,0 ,236
Sonora ,2 ,2 ,1 ,5 ,15 ,44 ,108 ,13 ,3 ,1 ,2 ,0 ,196
Tabasco ,0 ,2 ,11 ,21 ,31 ,47 ,137 ,24 ,13 ,11 ,4 ,0 ,301
Tamaulipas ,1 ,0 ,2 ,0 ,8 ,12 ,19 ,0 ,3 ,1 ,3 ,0 ,49
Tlaxcala ,0 ,7 ,16 ,13 ,27 ,38 ,79 ,7 ,6 ,0 ,1 ,1 ,195
Veracruz ,1 ,1 ,10 ,8 ,30 ,50 ,146 ,26 ,12 ,7 ,6 ,0 ,297
Yucatán ,3 ,11 ,20 ,28 ,149 ,104 ,355 ,48 ,32 ,6 ,9 ,0 ,765
Zacatecas ,0 ,5 ,4 ,27 ,141 ,174 ,698 ,98 ,92 ,18 ,19 ,0 ,1 276
TOTAL GLOBAL ,65 ,332 ,529 ,886 ,2 012 ,2 616 ,8 347 ,1 190 ,883 ,213 ,265 ,2 ,17 340
