Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 ,45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,2 ,7 ,8 ,24 ,1 ,3 ,1 ,0 ,0 ,46
Baja California ,0 ,5 ,11 ,13 ,96 ,157 ,420 ,80 ,85 ,17 ,21 ,0 ,905
Baja California Sur ,3 ,5 ,2 ,19 ,49 ,57 ,115 ,22 ,11 ,4 ,3 ,0 ,290
Campeche ,0 ,3 ,4 ,72 ,180 ,143 ,541 ,67 ,46 ,8 ,1 ,0 , 1 065
Coahuila ,0 ,1 ,0 ,1 ,10 ,16 ,29 ,2 ,2 ,0 ,0 ,0 ,61
Colima ,0 ,4 ,4 ,6 ,39 ,61 ,196 ,27 ,29 ,4 ,8 ,0 ,378
Chiapas ,1 ,4 ,12 ,19 ,151 ,189 ,453 ,70 ,35 ,8 ,8 ,0 ,950
Chihuahua ,3 ,8 ,7 ,125 ,800 ,670 , 1 704 ,220 ,227 ,58 ,50 ,0 , 3 872
Distrito Federal ,1 ,30 ,28 ,75 ,124 ,197 ,520 ,92 ,99 ,43 ,26 ,0 , 1 235
Durango ,0 ,1 ,5 ,11 ,63 ,67 ,274 ,47 ,30 ,7 ,3 ,0 ,508
Guanajuato ,3 ,8 ,24 ,78 ,822 ,969 , 3 948 ,790 ,799 ,240 ,343 ,0 , 8 024
Guerrero ,0 ,11 ,35 ,89 ,265 ,217 ,682 ,127 ,129 ,35 ,27 ,0 , 1 617
Hidalgo ,4 ,6 ,77 ,86 ,144 ,214 ,730 ,121 ,86 ,21 ,19 ,0 , 1 508
Jalisco ,7 ,29 ,30 ,46 ,286 ,406 ,1 494 ,156 ,158 ,36 ,55 ,2 , 2 705
México ,22 ,175 ,258 ,319 ,431 ,452 ,930 ,170 ,137 ,22 ,26 ,1 , 2 943
Michoacán ,2 ,11 ,10 ,58 ,526 ,631 , 1 908 ,279 ,285 ,50 ,40 ,1 , 3 801
Morelos ,0 ,5 ,10 ,29 ,105 ,105 ,443 ,100 ,62 ,17 ,12 ,0 ,888
Nayarit ,1 ,2 ,6 ,8 ,66 ,63 ,239 ,30 ,24 ,5 ,6 ,0 ,450
Nuevo León ,5 ,20 ,54 ,81 ,191 ,276 ,712 ,204 ,104 ,42 ,19 ,0 , 1 708
Oaxaca ,1 ,3 ,22 ,45 ,87 ,127 ,452 ,60 ,48 ,7 ,16 ,0 ,868
Puebla ,1 ,2 ,16 ,62 ,173 ,182 ,541 ,76 ,68 ,5 ,26 ,0 , 1 152
Querétaro ,4 ,31 ,43 ,157 ,503 ,588 , 1 697 ,305 ,290 ,61 ,48 ,0 , 3 727
Quintana Roo ,1 ,4 ,19 ,60 ,124 ,152 ,689 ,134 ,129 ,24 ,16 ,0 , 1 352
San Luis Potosí ,0 ,1 ,9 ,20 ,126 ,120 ,423 ,56 ,57 ,15 ,13 ,0 ,840
Sinaloa ,1 ,5 ,8 ,17 ,22 ,46 ,172 ,15 ,29 ,2 ,4 ,0 ,321
Sonora ,0 ,6 ,1 ,3 ,42 ,50 ,136 ,15 ,15 ,4 ,3 ,0 ,275
Tabasco ,0 ,3 ,5 ,28 ,347 ,263 ,912 ,112 ,118 ,16 ,16 ,0 , 1 820
Tamaulipas ,3 ,9 ,18 ,29 ,145 ,99 ,542 ,133 ,105 ,28 ,13 ,1 , 1 125
Tlaxcala ,0 ,3 ,13 ,29 ,63 ,81 ,199 ,30 ,31 ,7 ,6 ,0 ,462
Veracruz ,1 ,3 ,48 ,58 ,150 ,153 ,500 ,51 ,50 ,12 ,13 ,0 , 1 039
YucatÌÁn ,2 ,16 ,38 ,95 ,313 ,415 , 1 258 ,207 ,173 ,27 ,30 ,0 , 2 574
Zacatecas ,0 ,2 ,3 ,25 ,138 ,142 ,498 ,85 ,66 ,17 ,18 ,0 ,994
TOTAL GLOBAL ,66 ,416 ,820 , 1 765 , 6 588 , 7 316 , 23 381 , 3 884 , 3 530 ,843 ,889 ,5 , 49 503
