Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  1 ,  1 ,  8 ,  8 ,  15 ,  0 ,  0 ,  1 ,  0 ,  0 ,  34
Baja California ,  0 ,  2 ,  9 ,  24 ,  109 ,  200 ,  557 ,  106 ,  92 ,  42 ,  13 ,  0 , 1 154
Baja California Sur ,  5 ,  7 ,  7 ,  47 ,  135 ,  164 ,  301 ,  79 ,  38 ,  9 ,  5 ,  0 ,  797
Campeche ,  0 ,  8 ,  33 ,  92 ,  189 ,  199 ,  932 ,  94 ,  48 ,  19 ,  14 ,  0 , 1 628
Coahuila ,  1 ,  1 ,  1 ,  3 ,  29 ,  31 ,  39 ,  1 ,  4 ,  1 ,  1 ,  0 ,  112
Colima ,  0 ,  3 ,  9 ,  16 ,  32 ,  40 ,  183 ,  26 ,  14 ,  11 ,  6 ,  0 ,  340
Chiapas ,  1 ,  3 ,  33 ,  71 ,  388 ,  351 , 1 016 ,  138 ,  92 ,  35 ,  21 ,  2 , 2 151
Chihuahua ,  0 ,  1 ,  15 ,  181 ,  578 ,  530 , 1 497 ,  207 ,  257 ,  81 ,  72 ,  1 , 3 420
Distrito Federal ,  3 ,  15 ,  33 ,  72 ,  139 ,  174 ,  582 ,  103 ,  100 ,  26 ,  28 ,  0 , 1 275
Durango ,  0 ,  3 ,  6 ,  19 ,  81 ,  93 ,  418 ,  58 ,  35 ,  15 ,  7 ,  0 ,  735
Guanajuato ,  0 ,  6 ,  30 ,  145 , 1 026 , 1 501 , 5 261 , 1 121 , 1 144 ,  358 ,  394 ,  1 , 10 987
Guerrero ,  0 ,  5 ,  25 ,  99 ,  282 ,  274 ,  888 ,  158 ,  106 ,  34 ,  24 ,  0 , 1 895
Hidalgo ,  0 ,  15 ,  83 ,  89 ,  196 ,  227 ,  861 ,  99 ,  105 ,  14 ,  18 ,  0 , 1 707
Jalisco ,  8 ,  32 ,  31 ,  99 ,  343 ,  492 , 1 787 ,  231 ,  245 ,  46 ,  65 ,  2 , 3 381
México ,  16 ,  74 ,  166 ,  260 ,  563 ,  776 , 1 518 ,  235 ,  209 ,  49 ,  42 ,  0 , 3 908
Michoacán ,  0 ,  9 ,  29 ,  117 ,  563 ,  840 , 2 139 ,  430 ,  378 ,  170 ,  87 ,  4 , 4 766
Morelos ,  1 ,  8 ,  12 ,  45 ,  126 ,  123 ,  407 ,  72 ,  51 ,  23 ,  22 ,  0 ,  890
Nayarit ,  0 ,  5 ,  11 ,  47 ,  125 ,  134 ,  444 ,  77 ,  37 ,  6 ,  8 ,  0 ,  894
Nuevo León ,  10 ,  12 ,  21 ,  67 ,  160 ,  189 ,  708 ,  97 ,  72 ,  16 ,  8 ,  8 , 1 368
Oaxaca ,  1 ,  11 ,  21 ,  48 ,  86 ,  93 ,  385 ,  46 ,  43 ,  4 ,  12 ,  0 ,  750
Puebla ,  7 ,  6 ,  20 ,  64 ,  261 ,  289 ,  855 ,  111 ,  125 ,  27 ,  24 ,  0 , 1 789
Querétaro ,  23 ,  16 ,  63 ,  226 ,  778 ,  824 , 2 197 ,  341 ,  235 ,  51 ,  61 ,  0 , 4 815
Quintana Roo ,  0 ,  8 ,  15 ,  51 ,  87 ,  206 ,  730 ,  145 ,  103 ,  24 ,  10 ,  0 , 1 379
San Luis Potosí ,  0 ,  0 ,  5 ,  23 ,  168 ,  265 ,  776 ,  187 ,  83 ,  38 ,  10 ,  0 , 1 555
Sinaloa ,  5 ,  10 ,  12 ,  22 ,  25 ,  46 ,  98 ,  29 ,  16 ,  9 ,  5 ,  0 ,  277
Sonora ,  0 ,  1 ,  1 ,  2 ,  49 ,  68 ,  241 ,  45 ,  44 ,  5 ,  8 ,  0 ,  464
Tabasco ,  0 ,  5 ,  14 ,  106 ,  359 ,  210 ,  899 ,  151 ,  125 ,  19 ,  17 ,  0 , 1 905
Tamaulipas ,  3 ,  3 ,  14 ,  32 ,  178 ,  233 ,  916 ,  202 ,  180 ,  44 ,  24 ,  0 , 1 829
Tlaxcala ,  0 ,  1 ,  5 ,  17 ,  66 ,  57 ,  223 ,  38 ,  38 ,  8 ,  3 ,  0 ,  456
Veracruz ,  0 ,  6 ,  104 ,  161 ,  247 ,  166 ,  615 ,  96 ,  102 ,  18 ,  13 ,  0 , 1 528
Yucatán ,  1 ,  13 ,  43 ,  77 ,  272 ,  356 , 1 180 ,  174 ,  138 ,  27 ,  23 ,  2 , 2 306
Zacatecas ,  1 ,  2 ,  6 ,  23 ,  137 ,  120 ,  455 ,  79 ,  88 ,  24 ,  25 ,  0 ,  960
TOTAL GLOBAL ,  86 ,  291 ,  878 , 2 346 , 7 785 , 9 279 , 29 123 , 4 976 , 4 347 , 1 254 , 1 070 ,  20 , 61 455
