Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  1 ,  4 ,  1 ,  4 ,  4 ,  13 ,  1 ,  2 ,  1 ,  1 ,  0 ,  32
Baja California ,  0 ,  2 ,  3 ,  11 ,  80 ,  169  , 259 ,  38 ,  37 ,  9 ,  8 ,  0 ,  616
Baja California Sur ,  5 ,  11 ,  4 ,  26 ,  67 ,  96  , 217 ,  23 ,  20 ,  5 ,  1 ,  0 ,  475
Campeche ,  1 ,  4 ,  38 ,  69 ,  187 ,  143 ,  664 ,  85 ,  66 ,  2 ,  4 ,  0 , 1 263
Coahuila ,  0 ,  3 ,  3 ,  3 ,  20 ,  21 ,  47 ,  8 ,  16 ,  6 ,  5 ,  0 ,  132
Colima ,  1 ,  1 ,  3 ,  11 ,  18 ,  38  , 151 ,  21 ,  22 ,  1 ,  2 ,  0 ,  269
Chiapas ,  0 ,  9 ,  51 ,  66 ,  357 ,  257 ,  797 ,  109 ,  66 ,  15 ,  10 ,  0 , 1 737
Chihuahua ,  2 ,  5 ,  14 ,  138 ,  410 ,  519 , 1 639 ,  259 ,  263 ,  62 ,  46 ,  1 , 3 358
Distrito Federal ,  2 ,  12 ,  21 ,  48 ,  182 ,  136  , 537 ,  90 ,  115 ,  29 ,  47 ,  2 , 1 221
Durango ,  0 ,  1 ,  7 ,  10 ,  88 ,  120 ,  382 ,  57 ,  29 ,  7 ,  2 ,  0 ,  703
Guanajuato ,  4 ,  15 ,  39 ,  184 , 1 052 , 1 452 , 5 789 , 1 223 , 1 257 ,  376 ,  463 ,  1 , 11 855
Guerrero ,  0 ,  2 ,  19 ,  86 ,  389 ,  483 , 1 441 ,  177 ,  174 ,  33 ,  35 ,  1 , 2 840
Hidalgo ,  5 ,  10 ,  76 ,  116 ,  231 ,  343 ,  877 ,  98 ,  93 ,  20 ,  28 ,  0 , 1 897
Jalisco ,  5 ,  21 ,  53 ,  128 ,  398 ,  474 , 1 702 ,  210 ,  235 ,  61 ,  70 ,  6 , 3 363
México ,  17 ,  126 ,  305 ,  541 , 1 206 , 1 421 , 3 072 ,  548 ,  408 ,  119 ,  81 ,  1 , 7 845
Michoacán ,  0 ,  6 ,  29 ,  130 ,  748 ,  861 , 2 381 ,  360 ,  385 ,  120 ,  133 ,  3 , 5 156
Morelos ,  1 ,  4 ,  3 ,  24 ,  87 ,  105  , 280 ,  43 ,  48 ,  18 ,  13 ,  0 ,  626
Nayarit ,  1 ,  5 ,  7 ,  9 ,  37 ,  51  , 233 ,  39 ,  30 ,  6 ,  4 ,  0 ,  422
Nuevo León ,  8 ,  17 ,  22 ,  74 ,  261 ,  313 , 1 048 ,  141 ,  135 ,  37 ,  19 ,  0 , 2 075
Oaxaca ,  3 ,  7 ,  13 ,  20 ,  62 ,  68  , 260 ,  24 ,  47 ,  8 ,  10 ,  0 ,  522
Puebla ,  2 ,  6 ,  23 ,  68 ,  202 ,  269 ,  719 ,  109 ,  78 ,  16 ,  21 ,  0 , 1 513
Querétaro ,  3 ,  24 ,  38 ,  279 ,  483 ,  640 , 1 623 ,  258 ,  267 ,  62 ,  68 ,  0 , 3 745
Quintana Roo ,  0 ,  3 ,  36 ,  55 ,  175 ,  216 ,  622 ,  105 ,  86 ,  16 ,  10 ,  0 , 1 324
San Luis Potosí ,  0 ,  0 ,  3 ,  9 ,  152 ,  124 ,  462 ,  43 ,  76 ,  6 ,  6 ,  0 ,  881
Sinaloa ,  4 ,  9 ,  20 ,  14 ,  18 ,  43  , 99 ,  12 ,  11 ,  2 ,  2 ,  0 ,  234
Sonora ,  2 ,  1 ,  0 ,  6 ,  39 ,  77 ,  248 ,  79 ,  91 ,  11 ,  13 ,  0 ,  567
Tabasco ,  0 ,  3 ,  19 ,  103 ,  319 ,  217  , 725 ,  71 ,  78 ,  13 ,  7 ,  0 , 1 555
Tamaulipas ,  0 ,  4 ,  5 ,  18 ,  177 ,  210 ,  707 ,  136 ,  126 ,  24 ,  19 ,  0 , 1 426
Tlaxcala ,  0 ,  5 ,  6 ,  26 ,  95 ,  114 ,  463 ,  55 ,  58 ,  11 ,  13 ,  1 ,  847
Veracruz ,  3 ,  33 ,  199 ,  332 ,  487 ,  450 , 1 313 ,  239 ,  200 ,  21 ,  36 ,  0 , 3 313
Yucatán ,  1 ,  10 ,  22 ,  44 ,  282 ,  362 , 1 311 ,  148 ,  165 ,  28 ,  25 ,  0 , 2 398
Zacatecas ,  0 ,  0 ,  3 ,  12 ,  156 ,  191 ,  553 ,  129 ,  107 ,  31 ,  27 ,  0 , 1 209
TOTAL GLOBAL ,  70 ,  360 , 1 088 , 2 661 , 8 469 , 9 987 , 30 634 , 4 938 , 4 791 , 1 176 , 1 229 ,  16 , 65 419
