Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  6 ,  4 ,  5 ,  15 ,  14 ,  26 ,  2 ,  1 ,  0 ,  1 ,  0 ,  74
Baja California ,  5 ,  6 ,  10 ,  11 ,  13 ,  16 ,  108 ,  9 ,  6 ,  1 ,  1 ,  0 ,  186
Baja California Sur ,  1 ,  6 ,  10 ,  6 ,  19 ,  31 ,  96 ,  10 ,  5 ,  1 ,  2 ,  0 ,  187
Campeche ,  0 ,  2 ,  5 ,  7 ,  17 ,  42 ,  128 ,  13 ,  9 ,  1 ,  5 ,  0 ,  229
Coahuila ,  2 ,  1 ,  1 ,  2 ,  7 ,  14 ,  30 ,  5 ,  5 ,  1 ,  0 ,  0 ,  68
Colima ,  0 ,  3 ,  1 ,  2 ,  3 ,  3 ,  30 ,  2 ,  3 ,  3 ,  0 ,  0 ,  50
Chiapas ,  2 ,  4 ,  9 ,  13 ,  62 ,  99 ,  161 ,  32 ,  19 ,  4 ,  6 ,  1 ,  412
Chihuahua ,  1 ,  26 ,  74 ,  110 ,  128 ,  152 ,  561 ,  52 ,  60 ,  15 ,  11 ,  2 , 1 192
Distrito Federal ,  4 ,  20 ,  59 ,  102 ,  72 ,  112 ,  297 ,  35 ,  28 ,  6 ,  16 ,  0 ,  751
Durango ,  0 ,  5 ,  3 ,  6 ,  13 ,  12 ,  38 ,  2 ,  4 ,  1 ,  0 ,  0 ,  84
Guanajuato ,  2 ,  4 ,  6 ,  4 ,  14 ,  25 ,  54 ,  8 ,  6 ,  3 ,  2 ,  0 ,  128
Guerrero ,  0 ,  10 ,  12 ,  19 ,  17 ,  22 ,  67 ,  12 ,  10 ,  0 ,  5 ,  0 ,  174
Hidalgo ,  32 ,  60 ,  84 ,  110 ,  91 ,  109 ,  294 ,  46 ,  45 ,  10 ,  10 ,  0 ,  891
Jalisco ,  22 ,  143 ,  212 ,  195 ,  604 , 1 278 , 1 374 ,  339 ,  145 ,  50 ,  58 ,  0 , 4 420
México ,  28 ,  86 ,  120 ,  92 ,  33 ,  39 ,  138 ,  14 ,  21 ,  6 ,  9 ,  1 ,  587
Michoacán ,  1 ,  12 ,  12 ,  38 ,  50 ,  77 ,  241 ,  27 ,  29 ,  8 ,  15 ,  0 ,  510
Morelos ,  1 ,  7 ,  17 ,  22 ,  31 ,  55 ,  116 ,  22 ,  18 ,  4 ,  6 ,  0 ,  299
Nayarit ,  0 ,  2 ,  20 ,  29 ,  46 ,  72 ,  174 ,  30 ,  19 ,  4 ,  3 ,  0 ,  399
Nuevo León ,  2 ,  14 ,  19 ,  18 ,  52 ,  94 ,  144 ,  48 ,  7 ,  5 ,  1 ,  0 ,  404
Oaxaca ,  2 ,  12 ,  12 ,  18 ,  31 ,  58 ,  190 ,  26 ,  27 ,  8 ,  13 ,  0 ,  397
Puebla ,  6 ,  12 ,  23 ,  75 ,  58 ,  22 ,  79 ,  15 ,  12 ,  5 ,  8 ,  0 ,  315
Querétaro ,  1 ,  3 ,  5 ,  5 ,  10 ,  10 ,  37 ,  3 ,  7 ,  1 ,  5 ,  0 ,  87
Quintana Roo ,  1 ,  4 ,  2 ,  8 ,  18 ,  41 ,  97 ,  14 ,  2 ,  0 ,  4 ,  1 ,  192
San Luis Potosí ,  0 ,  0 ,  7 ,  2 ,  10 ,  8 ,  46 ,  8 ,  5 ,  2 ,  2 ,  0 ,  90
Sinaloa ,  2 ,  4 ,  5 ,  7 ,  20 ,  22 ,  39 ,  7 ,  13 ,  2 ,  1 ,  0 ,  122
Sonora ,  0 ,  2 ,  4 ,  4 ,  9 ,  12 ,  52 ,  1 ,  5 ,  0 ,  0 ,  0 ,  89
Tabasco ,  1 ,  7 ,  41 ,  47 ,  33 ,  43 ,  144 ,  20 ,  19 ,  9 ,  1 ,  0 ,  365
Tamaulipas ,  2 ,  3 ,  7 ,  6 ,  11 ,  13 ,  27 ,  10 ,  8 ,  5 ,  4 ,  0 ,  96
Tlaxcala ,  0 ,  2 ,  14 ,  29 ,  28 ,  22 ,  137 ,  5 ,  22 ,  3 ,  4 ,  0 ,  266
Veracruz ,  1 ,  7 ,  14 ,  12 ,  26 ,  34 ,  106 ,  20 ,  10 ,  7 ,  7 ,  0 ,  244
Yucatán ,  3 ,  4 ,  7 ,  5 ,  20 ,  29 ,  67 ,  9 ,  10 ,  1 ,  2 ,  0 ,  157
Zacatecas ,  3 ,  6 ,  13 ,  16 ,  23 ,  35 ,  68 ,  25 ,  21 ,  5 ,  3 ,  0 ,  218
TOTAL GLOBAL ,  125 ,  483 ,  832 , 1 025 , 1 584 , 2 615 , 5 166 ,  871 ,  601 ,  171 ,  205 ,  5 , 13 683
