Estado ,< 1 ,1 - 4 ,5 - 9 ,10 - 14 ,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1 ,0 ,3 ,8 ,9 ,16 ,37 ,8 ,3 ,1 ,1 ,0 ,87
Baja California ,2 ,6 ,4 ,11 ,42 ,77 ,154 ,16 ,14 ,3 ,1 ,0 ,330
Baja California Sur ,3 ,2 ,8 ,13 ,9 ,37 ,84 ,4 ,4 ,2 ,0 ,0 ,166
Campeche ,10 ,58 ,209 ,121 ,178 ,88 ,382 ,32 ,39 ,14 ,14 ,0 ,1 145
Coahuila ,0 ,3 ,2 ,1 ,13 ,23 ,50 ,6 ,15 ,7 ,5 ,1 ,126
Colima ,0 ,3 ,6 ,14 ,9 ,18 ,47 ,11 ,4 ,5 ,2 ,0 ,119
Chiapas ,5 ,3 ,17 ,26 ,30 ,43 ,77 ,24 ,8 ,3 ,6 ,0 ,242
Chihuahua ,0 ,4 ,14 ,77 ,254 ,325 ,1 101 ,246 ,165 ,40 ,29 ,1 ,2 256
Distrito Federal ,4 ,22 ,69 ,124 ,211 ,124 ,278 ,26 ,23 ,9 ,22 ,0 ,912
Durango ,0 ,4 ,5 ,2 ,13 ,24 ,78 ,7 ,4 ,1 ,1 ,0 ,139
Guanajuato ,5 ,23 ,41 ,41 ,143 ,191 ,563 ,86 ,66 ,18 ,13 ,0 ,1 190
Guerrero ,1 ,10 ,24 ,44 ,53 ,28 ,160 ,26 ,22 ,8 ,10 ,0 ,386
Hidalgo ,6 ,38 ,93 ,97 ,163 ,263 ,943 ,128 ,117 ,30 ,33 ,0 ,1 911
Jalisco ,7 ,40 ,95 ,124 ,299 ,455 ,936 ,266 ,205 ,136 ,84 ,0 ,2 647
México ,50 ,148 ,143 ,95 ,35 ,44 ,99 ,15 ,20 ,10 ,9 ,0 ,668
Michoacán ,2 ,6 ,20 ,18 ,156 ,176 ,550 ,76 ,87 ,16 ,25 ,1 ,1 133
Morelos ,0 ,3 ,12 ,8 ,22 ,19 ,71 ,10 ,9 ,3 ,1 ,1 ,159
Nayarit ,0 ,13 ,79 ,78 ,110 ,151 ,446 ,52 ,64 ,9 ,7 ,0 ,1 009
Nuevo León ,8 ,25 ,100 ,62 ,107 ,120 ,459 ,48 ,51 ,13 ,14 ,0 ,1 007
Oaxaca ,1 ,13 ,27 ,48 ,98 ,130 ,458 ,65 ,35 ,14 ,20 ,0 ,909
Puebla ,1 ,28 ,21 ,30 ,71 ,75 ,244 ,22 ,33 ,7 ,1 ,0 ,533
Querétaro ,1 ,21 ,63 ,119 ,575 ,703 ,1 505 ,192 ,169 ,55 ,51 ,0 ,3 454
Quintana Roo ,0 ,1 ,8 ,21 ,32 ,66 ,157 ,21 ,11 ,1 ,6 ,0 ,324
San Luis Potosí ,2 ,8 ,5 ,8 ,16 ,24 ,71 ,11 ,8 ,2 ,5 ,0 ,160
Sinaloa ,17 ,32 ,54 ,59 ,36 ,70 ,145 ,33 ,26 ,8 ,7 ,1 ,488
Sonora ,2 ,2 ,2 ,7 ,28 ,30 ,124 ,21 ,11 ,3 ,8 ,0 ,238
Tabasco ,0 ,4 ,15 ,25 ,57 ,79 ,266 ,27 ,22 ,7 ,6 ,1 ,509
Tamaulipas ,0 ,3 ,6 ,3 ,7 ,4 ,24 ,3 ,9 ,0 ,4 ,0 ,63
Tlaxcala ,0 ,0 ,11 ,10 ,22 ,21 ,92 ,6 ,6 ,2 ,0 ,0 ,170
Veracruz ,1 ,8 ,13 ,27 ,40 ,51 ,184 ,24 ,18 ,4 ,17 ,0 ,387
Yucatán ,1 ,9 ,21 ,45 ,156 ,186 ,514 ,48 ,45 ,11 ,10 ,0 ,1 046
Zacatecas ,1 ,7 ,37 ,65 ,260 ,329 ,990 ,126 ,114 ,31 ,34 ,0 ,1 994
T OTAL GLOBAL ,131 ,547 ,1 227 ,1 431 ,3 254 ,3 990 ,11 289 ,1 686 ,1 427 ,473 ,446 ,6 ,25 907
