Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,  1 ,  0 ,  2 ,  1 ,  8 ,  8 ,  15 ,  0 ,  0 ,  1 ,  0 ,  0 ,  36
Baja California ,  0 ,  4 ,  11 ,  27 ,  109 ,  200 ,  561 ,  108 ,  95 ,  43 ,  13 ,  0 , 1 171
Baja California Sur ,  5 ,  13 ,  15 ,  68 ,  142 ,  175 ,  320 ,  82 ,  45 ,  10 ,  6 ,  0 ,  881
Campeche ,  2 ,  12 ,  75 ,  145 ,  228 ,  209 ,  970 ,  99 ,  49 ,  22 ,  15 ,  0 , 1 826
Coahuila ,  1 ,  2 ,  3 ,  4 ,  31 ,  31 ,  42 ,  2 ,  4 ,  1 ,  1 ,  0 ,  122
Colima ,  1 ,  6 ,  11 ,  27 ,  43 ,  44 ,  200 ,  31 ,  18 ,  11 ,  6 ,  0 ,  398
Chiapas ,  1 ,  4 ,  49 ,  149 ,  401 ,  361 , 1 046 ,  143 ,  93 ,  37 ,  23 ,  2 , 2 309
Chihuahua ,  0 ,  6 ,  22 ,  271 ,  717 ,  691 , 2 034 ,  287 ,  337 ,  100 ,  90 ,  1 , 4 556
Distrito Federal ,  5 ,  35 ,  59 ,  119 ,  169 ,  182 ,  625 ,  118 ,  108 ,  28 ,  31 ,  0 , 1 479
Durango ,  0 ,  4 ,  14 ,  34 ,  99 ,  109 ,  488 ,  68 ,  44 ,  20 ,  7 ,  0 ,  887
Guanajuato ,  2 ,  14 ,  53 ,  154 , 1 070 , 1 545 , 5 321 , 1 141 , 1 152 ,  365 ,  405 ,  1 , 11 223
Guerrero ,  0 ,  8 ,  38 ,  120 ,  299 ,  282 ,  908 ,  166 ,  112 ,  34 ,  26 ,  0 , 1 993
Hidalgo ,  4 ,  23 ,  150 ,  156 ,  235 ,  245 ,  994 ,  131 ,  119 ,  19 ,  20 ,  0 , 2 096
Jalisco ,  12 ,  56 ,  66 ,  146 ,  417 ,  573 , 2 012 ,  279 ,  299 ,  60 ,  86 ,  4 , 4 010
México ,  28 ,  150 ,  325 ,  362 ,  610 ,  830 , 1 615 ,  276 ,  244 ,  57 ,  60 ,  3 , 4 560
Michoacán ,  1 ,  17 ,  52 ,  144 ,  590 ,  867 , 2 172 ,  443 ,  385 ,  173 ,  96 ,  4 , 4 944
Morelos ,  1 ,  10 ,  19 ,  69 ,  136 ,  128 ,  432 ,  77 ,  53 ,  24 ,  26 ,  0 ,  975
Nayarit ,  0 ,  8 ,  37 ,  58 ,  130 ,  138 ,  447 ,  79 ,  37 ,  8 ,  9 ,  0 ,  951
Nuevo León ,  14 ,  14 ,  34 ,  74 ,  171 ,  195 ,  725 ,  97 ,  73 ,  18 ,  11 ,  8 , 1 434
Oaxaca ,  1 ,  19 ,  37 ,  73 ,  92 ,  96 ,  406 ,  49 ,  51 ,  5 ,  16 ,  0 ,  845
Puebla ,  8 ,  10 ,  39 ,  100 ,  292 ,  306 ,  905 ,  124 ,  136 ,  30 ,  26 ,  0 , 1 976
Querétaro ,  27 ,  39 ,  110 ,  375 ,  876 ,  865 , 2 293 ,  364 ,  251 ,  69 ,  67 ,  0 , 5 336
Quintana Roo ,  0 ,  9 ,  24 ,  69 ,  97 ,  223 ,  775 ,  157 ,  118 ,  28 ,  12 ,  0 , 1 512
San Luis Potosí ,  0 ,  5 ,  11 ,  26 ,  171 ,  266 ,  788 ,  188 ,  87 ,  43 ,  11 ,  0 , 1 596
Sinaloa ,  7 ,  17 ,  23 ,  30 ,  32 ,  54 ,  108 ,  33 ,  18 ,  9 ,  5 ,  0 ,  336
Sonora ,  1 ,  2 ,  7 ,  5 ,  51 ,  79 ,  287 ,  49 ,  52 ,  7 ,  10 ,  0 ,  550
Tabasco ,  0 ,  7 ,  29 ,  125 ,  369 ,  218 ,  917 ,  157 ,  126 ,  20 ,  17 ,  0 , 1 985
Tamaulipas ,  6 ,  7 ,  22 ,  36 ,  179 ,  235 ,  939 ,  206 ,  183 ,  44 ,  24 ,  0 , 1 881
Tlaxcala ,  0 ,  1 ,  9 ,  19 ,  66 ,  59 ,  228 ,  38 ,  38 ,  8 ,  3 ,  0 ,  469
Veracruz ,  0 ,  16 ,  170 ,  224 ,  266 ,  179 ,  640 ,  105 ,  115 ,  20 ,  17 ,  0 , 1 752
Yucatán ,  4 ,  13 ,  51 ,  103 ,  292 ,  375 , 1 208 ,  183 ,  141 ,  29 ,  25 ,  2 , 2 426
Zacatecas ,  4 ,  6 ,  9 ,  26 ,  141 ,  125 ,  465 ,  80 ,  89 ,  24 ,  28 ,  0 ,  997
TOTAL GLOBAL ,  136 ,  537 , 1 576 , 3 339 , 8 529 , 9 893 , 30 886 , 5 360 , 4 672 , 1 367 , 1 192 ,  25 , 67 512
