Estado, < 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24,  25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,total
Aguascalientes ,  0 ,  0 ,  2 ,  2 ,  6 ,  6 ,  28 ,  4 ,  4 ,  1 ,  2 ,  0 ,  55
Baja California ,  0 ,  2 ,  3 ,  7 ,  97 ,  82 ,  189 ,  23 ,  30 ,  19 ,  7 ,  0 ,  459
Baja California Sur ,  14 ,  38 ,  24 ,  59 ,  118 ,  104,   310 ,  24 ,  43 ,  7 ,  16 ,  0 ,  757
Campeche ,  0 ,  11 ,  122 ,  183 ,  242 ,  169 ,  747 ,  109 ,  47 ,  16 ,  8 ,  0 , 1 654
Coahuila ,  2 ,  12 ,  2 ,  17 ,  46 ,  38 ,  60 ,  15 ,  10 ,  9 ,  11 ,  0 ,  222
Colima ,  1 ,  5 ,  7 ,  16 ,  24 ,  28 ,  111 ,  24 ,  15 ,  6 ,  11 ,  0 ,  248
Chiapas ,  0 ,  6 ,  39 ,  87 ,  140 ,  120 ,  390 ,  50 ,  55 ,  16 ,  13 ,  0 ,  916
Chihuahua ,  1 ,  8 ,  32 ,  265 ,  473 ,  609,  2 119 ,  326 ,  323 ,  68 ,  47 ,  2 , 4 273
Distrito Federal ,  5 ,  36 ,  61 ,  94 ,  263 ,  207 ,  681 ,  129 ,  160 ,  39 ,  71 ,  3 , 1 749
Durango ,  0 ,  0 ,  4 ,  21 ,  46 ,  67 ,  175 ,  30 ,  17 ,  6 ,  8 ,  0 ,  374
Guanajuato ,  4 ,  16 ,  33 ,  126 ,  529 ,  826,  2 360 ,  507 ,  457 ,  130 ,  163 ,  0 , 5 151
Guerrero ,  3 ,  5 ,  44 ,  104 ,  462 ,  527,  1 638 ,  248 ,  226 ,  45 ,  43 ,  1 , 3 346
Hidalgo ,  13 ,  39 ,  131 ,  189 ,  252 ,  342 , 1 001 ,  136 ,  110 ,  33 ,  33 ,  0 , 2 279
Jalisco ,  13 ,  46 ,  80 ,  202 ,  523 ,  641,  2 088 ,  334 ,  291 ,  84 ,  85 ,  3 , 4 390
México ,  30 ,  240 ,  681 , 1 007 , 1 600 , 2 012,  4 375 ,  685 ,  569 ,  112 ,  117 ,  3 , 11 431
Michoacán ,  0 ,  8 ,  16 ,  128 ,  945 , 1 257 , 3 783 ,  553 ,  647 ,  167 ,  162 ,  0 , 7 666
Morelos ,  0 ,  0 ,  10 ,  36 ,  336 ,  186 ,  475 ,  67 ,  63 ,  20 ,  28 ,  1 , 1 222
Nayarit ,  4 ,  10 ,  21 ,  33 ,  98 ,  132 ,  508 ,  99 ,  68 ,  20 ,  7 ,  0 , 1 000
Nuevo León ,  2 ,  10 ,  20 ,  47 ,  256 ,  260 , 1 215 ,  205 ,  167 ,  23 ,  30 ,  1 , 2 236
Oaxaca ,  2 ,  8 ,  26 ,  38 ,  68 ,  73,   239 ,  45 ,  33 ,  25 ,  15 ,  0 ,  572
Puebla ,  4 ,  25 ,  33 ,  75 ,  239 ,  244,   523 ,  61 ,  56 ,  19 ,  14 ,  6 , 1 299
Querétaro ,  2 ,  27 ,  105 ,  603 ,  838 ,  928,  2 844 ,  489 ,  450 ,  142 ,  133 ,  0 , 6 561
Quintana Roo ,  4 ,  15 ,  36 ,  84 ,  185 ,  207 ,  530 ,  90 ,  44 ,  19 ,  15 ,  1 , 1 230
San Luis Potosí ,  0 ,  2 ,  5 ,  18 ,  96 ,  95 ,  286 ,  51 ,  25 ,  12 ,  12 ,  0 ,  602
Sinaloa ,  3 ,  20 ,  41 ,  20 ,  29 ,  18 ,  77 ,  9 ,  9 ,  2 ,  0 ,  1 ,  229
Sonora ,  3 ,  8 ,  9 ,  9 ,  78 ,  76 ,  312 ,  68 ,  73 ,  11 ,  14 ,  0 ,  661
Tabasco ,  0 ,  4 ,  44 ,  67 ,  172 ,  173  , 485 ,  95 ,  59 ,  15 ,  8 ,  0 , 1 122
Tamaulipas ,  2 ,  10 ,  32 ,  46 ,  350 ,  400 , 1 650 ,  303 ,  256 ,  59 ,  43 ,  0 , 3 151
Tlaxcala ,  0 ,  3 ,  12 ,  31 ,  105 ,  196 ,  605 ,  91 ,  79 ,  18 ,  38 ,  0 , 1 178
Veracruz ,  1 ,  23 ,  137 ,  213 ,  309 ,  301 ,  876 ,  131 ,  135 ,  17 ,  39 ,  0 , 2 182
Yucatán ,  2 ,  12 ,  19 ,  39 ,  243 ,  284 , 1 048 ,  167 ,  136 ,  30 ,  22 ,  0 , 2 002
Zacatecas ,  0 ,  4 ,  6 ,  23 ,  175 ,  215 ,  469 ,  92 ,  98 ,  23 ,  21 ,  0 , 1 126
TOTAL GLOBAL ,  115 ,  653 , 1 837 , 3 889 , 9 343 , 10 823,  32 197 , 5 260 , 4 755 , 1 213 , 1 236 ,  22 , 71 343
