Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,1 ,2 ,1 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,7
Baja California ,1 ,13 ,5 ,8 ,6 ,18 ,44 ,7 ,4 ,2 ,1 ,0 ,109
Baja California Sur ,0 ,3 ,3 ,4 ,0 ,3 ,16 ,1 ,2 ,0 ,0 ,0 ,32
Campeche ,0 ,1 ,5 ,3 ,19 ,47 ,106 ,7 ,4 ,2 ,1 ,0 ,195
Coahuila ,1 ,3 ,6 ,7 ,17 ,33 ,63 ,8 ,0 ,0 ,1 ,0 ,139
Colima ,1 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,5
Chiapas ,2 ,5 ,6 ,9 ,16 ,18 ,35 ,8 ,5 ,1 ,1 ,0 ,106
Chihuahua ,2 ,10 ,9 ,18 ,26 ,21 ,51 ,9 ,10 ,4 ,8 ,0 ,168
Distrito Federal ,1 ,11 ,18 ,21 ,16 ,11 ,43 ,10 ,12 ,2 ,8 ,0 ,153
Durango ,1 ,5 ,3 ,3 ,3 ,7 ,17 ,5 ,4 ,1 ,4 ,0 ,53
Guanajuato ,2 ,6 ,9 ,7 ,3 ,7 ,14 ,0 ,2 ,1 ,4 ,0 ,55
Guerrero ,3 ,5 ,3 ,6 ,13 ,19 ,32 ,7 ,10 ,11 ,4 ,0 ,113
Hidalgo ,18 ,20 ,39 ,26 ,6 ,6 ,33 ,7 ,5 ,3 ,2 ,0 ,165
Jalisco ,10 ,63 ,106 ,106 ,170 ,303 ,413 ,214 ,132 ,83 ,26 ,0 ,1626
México ,20 ,40 ,42 ,37 ,13 ,15 ,20 ,6 ,6 ,4 ,2 ,0 ,205
Michoacán ,1 ,4 ,9 ,16 ,16 ,11 ,35 ,8 ,5 ,1 ,5 ,0 ,111
Morelos ,0 ,3 ,2 ,2 ,0 ,0 ,5 ,1 ,1 ,0 ,0 ,0 ,14
Nayarit ,0 ,2 ,3 ,2 ,7 ,3 ,8 ,2 ,3 ,0 ,0 ,0 ,30
Nuevo León ,4 ,5 ,5 ,5 ,6 ,16 ,22 ,9 ,2 ,2 ,2 ,0 ,78
Oaxaca ,0 ,8 ,17 ,13 ,8 ,6 ,41 ,7 ,11 ,4 ,7 ,0 ,122
Puebla ,1 ,7 ,9 ,12 ,14 ,15 ,21 ,4 ,1 ,5 ,3 ,0 ,92
Querétaro ,0 ,1 ,7 ,7 ,7 ,9 ,17 ,6 ,5 ,2 ,4 ,0 ,65
Quintana Roo ,0 ,0 ,3 ,1 ,4 ,4 ,11 ,2 ,6 ,0 ,1 ,0 ,32
San Luis Potosi ,0 ,2 ,12 ,10 ,2 ,4 ,10 ,2 ,4 ,1 ,6 ,1 ,54
Sinaloa ,1 ,4 ,9 ,3 ,3 ,3 ,6 ,2 ,1 ,1 ,1 ,0 ,34
Sonora ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1
Tabasco ,0 ,2 ,3 ,7 ,4 ,17 ,32 ,7 ,4 ,4 ,1 ,0 ,81
Tamaulipas ,3 ,17 ,15 ,15 ,8 ,8 ,37 ,8 ,7 ,2 ,5 ,0 ,125
Tlaxcala ,0 ,0 ,0 ,0 ,2 ,2 ,3 ,3 ,3 ,0 ,0 ,0 ,13
Veracruz ,3 ,7 ,11 ,18 ,12 ,13 ,41 ,10 ,12 ,4 ,6 ,0 ,137
Yucatán ,0 ,3 ,4 ,2 ,4 ,11 ,19 ,1 ,1 ,0 ,2 ,0 ,47
Zacatecas ,1 ,3 ,7 ,8 ,7 ,4 ,22 ,5 ,4 ,1 ,1 ,0 ,63
TOTAL GLOBAL ,76 ,254 ,372 ,377 ,414 ,634 ,1219 ,367 ,267 ,142 ,107 ,1 ,4230
