Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  5 ,  11 ,  18 ,  5 ,  4 ,  19 ,  4 ,  4 ,  0 ,  1 ,  0 ,  71
Baja California ,  0 ,  18 ,  4 ,  7 ,  2 ,  6 ,  15 ,  1 ,  0 ,  0 ,  0 ,  0 ,  53
Baja California Sur ,  1 ,  6 ,  5 ,  2 ,  3 ,  7 ,  17 ,  0 ,  1 ,  1 ,  1 ,  0 ,  44
Campeche ,  1 ,  2 ,  0 ,  3 ,  13 ,  11 ,  44 ,  5 ,  4 ,  0 ,  1 ,  0 ,  84
Coahuila ,  0 ,  3 ,  1 ,  1 ,  2 ,  3 ,  6 ,  2 ,  1 ,  1 ,  0 ,  0 ,  20
Colima ,  0 ,  1 ,  2 ,  1 ,  3 ,  1 ,  4 ,  1 ,  0 ,  0 ,  1 ,  0 ,  14
Chiapas ,  5 ,  7 ,  7 ,  16 ,  12 ,  13 ,  16 ,  6 ,  3 ,  0 ,  0 ,  0 ,  85
Chihuahua ,  0 ,  7 ,  25 ,  29 ,  37 ,  38 ,  129 ,  24 ,  18 ,  7 ,  2 ,  0 ,  316
Distrito Federal ,  2 ,  8 ,  38 ,  52 ,  37 ,  20 ,  32 ,  3 ,  6 ,  1 ,  16 ,  1 ,  216
Durango ,  0 ,  2 ,  4 ,  1 ,  5 ,  3 ,  15 ,  2 ,  0 ,  1 ,  2 ,  0 ,  35
Guanajuato ,  1 ,  3 ,  7 ,  6 ,  4 ,  4 ,  10 ,  1 ,  0 ,  1 ,  1 ,  0 ,  38
Guerrero ,  0 ,  3 ,  7 ,  5 ,  8 ,  6 ,  10 ,  7 ,  8 ,  2 ,  1 ,  0 ,  57
Hidalgo ,  14 ,  41 ,  92 ,  73 ,  24 ,  21 ,  71 ,  5 ,  20 ,  4 ,  6 ,  0 ,  371
Jalisco ,  8 ,  18 ,  46 ,  51 ,  90 ,  79 ,  209 ,  68 ,  28 ,  8 ,  21 ,  0 ,  626
México ,  15 ,  34 ,  36 ,  31 ,  6 ,  3 ,  8 ,  1 ,  0 ,  2 ,  5 ,  0 ,  141
Michoacán ,  2 ,  3 ,  12 ,  10 ,  13 ,  6 ,  29 ,  9 ,  3 ,  2 ,  4 ,  3 ,  96
Morelos ,  0 ,  4 ,  12 ,  7 ,  6 ,  11 ,  19 ,  5 ,  3 ,  1 ,  2 ,  1 ,  71
Nayarit ,  0 ,  1 ,  16 ,  20 ,  11 ,  7 ,  17 ,  6 ,  11 ,  3 ,  5 ,  0 ,  97
Nuevo León ,  12 ,  13 ,  28 ,  23 ,  11 ,  10 ,  19 ,  4 ,  2 ,  0 ,  0 ,  0 ,  122
Oaxaca ,  0 ,  8 ,  14 ,  8 ,  7 ,  6 ,  15 ,  4 ,  8 ,  4 ,  3 ,  0 ,  77
Puebla ,  1 ,  16 ,  6 ,  6 ,  4 ,  4 ,  12 ,  2 ,  0 ,  0 ,  3 ,  0 ,  54
Querétaro ,  2 ,  2 ,  3 ,  0 ,  2 ,  0 ,  1 ,  2 ,  0 ,  0 ,  1 ,  0 ,  13
Quintana Roo ,  0 ,  0 ,  3 ,  6 ,  4 ,  6 ,  17 ,  2 ,  2 ,  0 ,  0 ,  0 ,  40
San Luis Potosí ,  1 ,  1 ,  2 ,  5 ,  1 ,  1 ,  4 ,  1 ,  1 ,  1 ,  0 ,  0 ,  18
Sinaloa ,  2 ,  6 ,  6 ,  3 ,  5 ,  3 ,  6 ,  2 ,  1 ,  2 ,  3 ,  1 ,  40
Sonora ,  1 ,  4 ,  0 ,  3 ,  9 ,  11 ,  38 ,  6 ,  7 ,  1 ,  3 ,  1 ,  84
Tabasco ,  0 ,  2 ,  12 ,  14 ,  13 ,  8 ,  26 ,  4 ,  4 ,  1 ,  2 ,  0 ,  86
Tamaulipas ,  1 ,  1 ,  3 ,  4 ,  0 ,  2 ,  6 ,  1 ,  4 ,  0 ,  0 ,  0 ,  22
Tlaxcala ,  0 ,  2 ,  5 ,  2 ,  1 ,  1 ,  5 ,  2 ,  0 ,  0 ,  1 ,  0 ,  19
Veracruz ,  1 ,  0 ,  4 ,  5 ,  8 ,  6 ,  19 ,  3 ,  8 ,  3 ,  4 ,  0 ,  61
Yucatán ,  1 ,  3 ,  4 ,  5 ,  1 ,  4 ,  4 ,  1 ,  0 ,  2 ,  0 ,  0 ,  25
Zacatecas ,  0 ,  5 ,  5 ,  3 ,  7 ,  4 ,  19 ,  4 ,  9 ,  0 ,  1 ,  0 ,  57
TOTAL GLOBAL ,  71 ,  229 ,  420 ,  420 ,  354 ,  309 ,  861 ,  188 ,  156 ,  48 ,  90 ,  7 , 3 153
