Estado ,< 1 , 1 - 4, 5 - 9, 10 - 14, 15 - 19, 20 - 24, 25 - 44, 45 - 49, 50 - 59,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,1 ,3 ,1 ,0 ,3 ,7 ,0 ,0 ,0 ,0 ,0 ,15
Baja California ,1 ,1 ,2 ,4 ,5 ,2 ,21 ,2 ,2 ,0 ,1 ,0 ,41
Baja California Sur ,1 ,1 ,2 ,2 ,0 ,2 ,4 ,1 ,0 ,0 ,3 ,0 ,16
Campeche ,0 ,11 ,26 ,36 ,16 ,11 ,32 ,2 ,6 ,0 ,0 ,0 ,140
Coahuila ,1 ,1 ,3 ,0 ,2 ,0 ,9 ,2 ,2 ,0 ,4 ,0 ,24
Colima ,0 ,2 ,8 ,5 ,3 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,30
Chiapas ,2 ,3 ,14 ,14 ,4 ,2 ,9 ,1 ,1 ,0 ,1 ,0 ,51
Chihuahua ,0 ,6 ,0 ,23 ,49 ,58 ,225 ,98 ,21 ,8 ,5 ,1 ,494
Distrito Federal ,12 ,35 ,68 ,83 ,45 ,27 ,60 ,9 ,14 ,4 ,4 ,0 ,361
Durango ,0 ,1 ,1 ,3 ,1 ,4 ,10 ,0 ,2 ,1 ,2 ,0 ,25
Guanajuato ,2 ,9 ,13 ,8 ,9 ,6 ,16 ,0 ,4 ,2 ,2 ,0 ,71
Guerrero ,1 ,10 ,12 ,14 ,12 ,6 ,13 ,1 ,4 ,2 ,5 ,0 ,80
Hidalgo ,7 ,16 ,58 ,59 ,26 ,21 ,66 ,18 ,11 ,2 ,9 ,0 ,293
Jalisco ,9 ,17 ,47 ,77 ,67 ,100 ,250 ,54 ,49 ,18 ,23 ,1 ,712
México ,20 ,71 ,75 ,50 ,31 ,6 ,13 ,9 ,3 ,2 ,2 ,0 ,282
Michoacán ,2 ,2 ,10 ,10 ,7 ,7 ,24 ,5 ,3 ,0 ,4 ,0 ,74
Morelos ,0 ,5 ,10 ,7 ,5 ,6 ,12 ,5 ,4 ,1 ,0 ,0 ,55
Nayarit ,0 ,5 ,32 ,58 ,18 ,8 ,37 ,8 ,4 ,1 ,3 ,0 ,174
Nuevo León ,3 ,24 ,37 ,18 ,13 ,16 ,36 ,10 ,7 ,1 ,2 ,0 ,167
Oaxaca ,1 ,8 ,22 ,18 ,5 ,7 ,27 ,5 ,5 ,4 ,2 ,0 ,104
Puebla ,1 ,14 ,11 ,14 ,9 ,15 ,30 ,2 ,3 ,0 ,2 ,0 ,101
Querétaro ,1 ,8 ,19 ,14 ,6 ,6 ,23 ,2 ,4 ,3 ,2 ,0 ,88
Quintana Roo ,0 ,1 ,1 ,6 ,9 ,13 ,34 ,3 ,0 ,1 ,1 ,0 ,69
San Luis Potosí ,0 ,3 ,2 ,3 ,1 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,12
Sinaloa ,2 ,7 ,13 ,8 ,7 ,0 ,16 ,3 ,6 ,0 ,2 ,0 ,64
Sonora ,0 ,4 ,3 ,0 ,4 ,12 ,42 ,7 ,2 ,1 ,2 ,0 ,77
Tabasco ,0 ,1 ,15 ,11 ,8 ,6 ,26 ,5 ,1 ,2 ,0 ,0 ,75
Tamaulipas ,0 ,1 ,2 ,1 ,0 ,1 ,1 ,0 ,1 ,2 ,0 ,1 ,10
Tlaxcala ,0 ,2 ,12 ,11 ,3 ,4 ,5 ,2 ,3 ,0 ,0 ,0 ,42
Veracruz ,1 ,2 ,4 ,5 ,8 ,13 ,23 ,5 ,10 ,2 ,11 ,0 ,84
Yucatán ,0 ,7 ,10 ,5 ,7 ,4 ,6 ,6 ,4 ,0 ,2 ,0 ,51
Zacatecas ,2 ,1 ,8 ,6 ,17 ,14 ,29 ,3 ,5 ,1 ,3 ,0 ,89
TOTAL GLOBAL ,69 ,280 ,543 ,574 ,397 ,382 ,1 114 ,272 ,182 ,58 ,97 ,3 ,3 971
