Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  1 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  2
Baja California ,  0 ,  2 ,  2 ,  3 ,  0 ,  0 ,  4 ,  2 ,  3 ,  1 ,  0 ,  0 ,  17
Baja California Sur ,  0 ,  6 ,  8 ,  21 ,  7 ,  11 ,  19 ,  3 ,  7 ,  1 ,  1 ,  0 ,  84
Campeche ,  2 ,  4 ,  42 ,  53 ,  39 ,  10 ,  38 ,  5 ,  1 ,  3 ,  1 ,  0 ,  198
Coahuila ,  0 ,  1 ,  2 ,  1 ,  2 ,  0 ,  3 ,  1 ,  0 ,  0 ,  0 ,  0 ,  10
Colima ,  1 ,  3 ,  2 ,  11 ,  11 ,  4 ,  17 ,  5 ,  4 ,  0 ,  0 ,  0 ,  58
Chiapas ,  0 ,  1 ,  16 ,  78 ,  13 ,  10 ,  30 ,  5 ,  1 ,  2 ,  2 ,  0 ,  158
Chihuahua ,  0 ,  5 ,  7 ,  90 ,  139 ,  161 ,  537 ,  80 ,  80 ,  19 ,  18 ,  0 , 1 136
Distrito Federal ,  2 ,  20 ,  26 ,  47 ,  30 ,  8 ,  43 ,  15 ,  8 ,  2 ,  3 ,  0 ,  204
Durango ,  0 ,  1 ,  8 ,  15 ,  18 ,  16 ,  70 ,  10 ,  9 ,  5 ,  0 ,  0 ,  152
Guanajuato ,  2 ,  8 ,  23 ,  9 ,  44 ,  44 ,  60 ,  20 ,  8 ,  7 ,  11 ,  0 ,  236
Guerrero ,  0 ,  3 ,  13 ,  21 ,  17 ,  8 ,  20 ,  8 ,  6 ,  0 ,  2 ,  0 ,  98
Hidalgo ,  4 ,  8 ,  67 ,  67 ,  39 ,  18 ,  133 ,  32 ,  14 ,  5 ,  2 ,  0 ,  389
Jalisco ,  4 ,  24 ,  35 ,  47 ,  74 ,  81 ,  225 ,  48 ,  54 ,  14 ,  21 ,  2 ,  629
México ,  12 ,  76 ,  159 ,  102 ,  47 ,  54 ,  97 ,  41 ,  35 ,  8 ,  18 ,  3 ,  652
Michoacán ,  1 ,  8 ,  23 ,  27 ,  27 ,  27 ,  33 ,  13 ,  7 ,  3 ,  9 ,  0 ,  178
Morelos ,  0 ,  2 ,  7 ,  24 ,  10 ,  5 ,  25 ,  5 ,  2 ,  1 ,  4 ,  0 ,  85
Nayarit ,  0 ,  3 ,  26 ,  11 ,  5 ,  4 ,  3 ,  2 ,  0 ,  2 ,  1 ,  0 ,  57
Nuevo León ,  4 ,  2 ,  13 ,  7 ,  11 ,  6 ,  17 ,  0 ,  1 ,  2 ,  3 ,  0 ,  66
Oaxaca ,  0 ,  8 ,  16 ,  25 ,  6 ,  3 ,  21 ,  3 ,  8 ,  1 ,  4 ,  0 ,  95
Puebla ,  1 ,  4 ,  19 ,  36 ,  31 ,  17 ,  50 ,  13 ,  11 ,  3 ,  2 ,  0 ,  187
Querétaro ,  4 ,  23 ,  47 ,  149 ,  98 ,  41 ,  96 ,  23 ,  16 ,  18 ,  6 ,  0 ,  521
Quintana Roo ,  0 ,  1 ,  9 ,  18 ,  10 ,  17 ,  45 ,  12 ,  15 ,  4 ,  2 ,  0 ,  133
San Luis Potosí ,  0 ,  5 ,  6 ,  3 ,  3 ,  1 ,  12 ,  1 ,  4 ,  5 ,  1 ,  0 ,  41
Sinaloa ,  2 ,  7 ,  11 ,  8 ,  7 ,  8 ,  10 ,  4 ,  2 ,  0 ,  0 ,  0 ,  59
Sonora ,  1 ,  1 ,  6 ,  3 ,  2 ,  11 ,  46 ,  4 ,  8 ,  2 ,  2 ,  0 ,  86
Tabasco ,  0 ,  2 ,  15 ,  19 ,  10 ,  8 ,  18 ,  6 ,  1 ,  1 ,  0 ,  0 ,  80
Tamaulipas ,  3 ,  4 ,  8 ,  4 ,  1 ,  2 ,  23 ,  4 ,  3 ,  0 ,  0 ,  0 ,  52
Tlaxcala ,  0 ,  0 ,  4 ,  2 ,  0 ,  2 ,  5 ,  0 ,  0 ,  0 ,  0 ,  0 ,  13
Veracruz ,  0 ,  10 ,  66 ,  63 ,  19 ,  13 ,  25 ,  9 ,  13 ,  2 ,  4 ,  0 ,  224
Yucatán ,  3 ,  0 ,  8 ,  26 ,  20 ,  19 ,  28 ,  9 ,  3 ,  2 ,  2 ,  0 ,  120
Zacatecas ,  3 ,  4 ,  3 ,  3 ,  4 ,  5 ,  10 ,  1 ,  1 ,  0 ,  3 ,  0 ,  37
TOTAL GLOBAL ,  50 ,  246 ,  698 ,  993 ,  744 ,  614 , 1 763 ,  384 ,  325 ,  113 ,  122 ,  5 , 6 057
