Estado ,< 1, 1 - 4, 5 - 9, 10 - 14, 15 - 19,20 - 24, 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  1 ,  0 ,  1 ,  1 ,  0 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  5
Baja California ,  0 ,  1 ,  3 ,  0 ,  4 ,  3 ,  13 ,  4 ,  2 ,  1 ,  1 ,  0 ,  32
Baja California Sur ,  4 ,  9 ,  13 ,  13 ,  4 ,  6 ,  6 ,  5 ,  2 ,  0 ,  0 ,  0 ,  62
Campeche ,  2 ,  5 ,  33 ,  53 ,  49 ,  14 ,  11 ,  3 ,  3 ,  2 ,  0 ,  0 ,  175
Coahuila ,  0 ,  1 ,  6 ,  5 ,  3 ,  1 ,  9 ,  2 ,  7 ,  2 ,  1 ,  0 ,  37
Colima ,  0 ,  1 ,  4 ,  6 ,  1 ,  2 ,  4 ,  1 ,  0 ,  0 ,  1 ,  0 ,  20
Chiapas ,  0 ,  4 ,  18 ,  52 ,  15 ,  2 ,  28 ,  1 ,  0 ,  1 ,  1 ,  0 ,  122
Chihuahua ,  0 ,  2 ,  6 ,  49 ,  118 ,  174 ,  730 ,  84 ,  90 ,  18 ,  25 ,  0 , 1 296
Distrito Federal ,  3 ,  9 ,  17 ,  32 ,  25 ,  10 ,  40 ,  14 ,  3 ,  2 ,  8 ,  0 ,  163
Durango ,  0 ,  1 ,  6 ,  3 ,  22 ,  22 ,  71 ,  11 ,  4 ,  0 ,  2 ,  0 ,  142
Guanajuato ,  1 ,  15 ,  14 ,  33 ,  65 ,  65 ,  113 ,  28 ,  46 ,  24 ,  21 ,  0 ,  425
Guerrero ,  0 ,  3 ,  13 ,  16 ,  16 ,  10 ,  44 ,  6 ,  10 ,  6 ,  4 ,  0 ,  128
Hidalgo ,  1 ,  16 ,  64 ,  66 ,  36 ,  32 ,  131 ,  31 ,  18 ,  6 ,  4 ,  0 ,  405
Jalisco ,  2 ,  21 ,  61 ,  63 ,  112 ,  90 ,  270 ,  58 ,  58 ,  17 ,  13 ,  1 ,  766
México ,  15 ,  128 ,  293 ,  267 ,  137 ,  60 ,  137 ,  56 ,  23 ,  23 ,  26 ,  0 , 1 165
Michoacán ,  0 ,  9 ,  22 ,  24 ,  22 ,  18 ,  37 ,  6 ,  5 ,  2 ,  4 ,  0 ,  149
Morelos ,  1 ,  3 ,  5 ,  3 ,  7 ,  4 ,  14 ,  1 ,  2 ,  3 ,  3 ,  0 ,  46
Nayarit ,  2 ,  0 ,  4 ,  3 ,  0 ,  2 ,  11 ,  0 ,  0 ,  1 ,  1 ,  0 ,  24
Nuevo León ,  3 ,  4 ,  9 ,  8 ,  16 ,  3 ,  13 ,  0 ,  1 ,  0 ,  3 ,  0 ,  60
Oaxaca ,  0 ,  8 ,  14 ,  8 ,  7 ,  6 ,  11 ,  2 ,  4 ,  0 ,  2 ,  0 ,  62
Puebla ,  0 ,  5 ,  26 ,  36 ,  22 ,  15 ,  27 ,  4 ,  8 ,  3 ,  0 ,  0 ,  146
Querétaro ,  3 ,  9 ,  58 ,  125 ,  55 ,  30 ,  95 ,  21 ,  12 ,  5 ,  9 ,  0 ,  422
Quintana Roo ,  0 ,  2 ,  15 ,  19 ,  24 ,  19 ,  72 ,  11 ,  10 ,  7 ,  0 ,  0 ,  179
San Luis Potosí ,  0 ,  0 ,  1 ,  5 ,  3 ,  0 ,  4 ,  0 ,  1 ,  0 ,  2 ,  0 ,  16
Sinaloa ,  4 ,  6 ,  15 ,  16 ,  1 ,  0 ,  6 ,  1 ,  2 ,  0 ,  1 ,  0 ,  52
Sonora ,  1 ,  4 ,  1 ,  2 ,  2 ,  3 ,  36 ,  6 ,  3 ,  0 ,  3 ,  0 ,  61
Tabasco ,  0 ,  5 ,  21 ,  22 ,  16 ,  10 ,  35 ,  9 ,  6 ,  0 ,  2 ,  0 ,  126
Tamaulipas ,  0 ,  1 ,  3 ,  3 ,  10 ,  2 ,  9 ,  4 ,  5 ,  0 ,  1 ,  0 ,  38
Tlaxcala ,  1 ,  2 ,  10 ,  6 ,  2 ,  1 ,  6 ,  2 ,  3 ,  1 ,  1 ,  0 ,  35
Veracruz ,  2 ,  18 ,  97 ,  155 ,  61 ,  16 ,  43 ,  12 ,  10 ,  4 ,  7 ,  0 ,  425
Yucatán ,  1 ,  2 ,  8 ,  4 ,  3 ,  13 ,  15 ,  2 ,  3 ,  0 ,  1 ,  0 ,  52
Zacatecas ,  0 ,  2 ,  2 ,  8 ,  2 ,  3 ,  13 ,  2 ,  2 ,  0 ,  1 ,  0 ,  35
TOTAL GLOBAL ,  46 ,  297 ,  862 , 1 106 ,  861 ,  636 , 2 056 ,  387 ,  343 ,  128 ,  148 ,  1 , 6 871
