Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24,  25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,  0 ,  0 ,  1 ,  1 ,  1 ,  0,   2 ,  1 ,  3 ,  1 ,  0 ,  0 ,  10
Baja California ,  0 ,  1 ,  1 ,  1 ,  1 ,  3,   3 ,  0 ,  2 ,  0 ,  0 ,  0 ,  12
Baja California Sur ,  9 ,  18 ,  15 ,  9 ,  5 ,  5,   15 ,  2 ,  5 ,  0 ,  5 ,  0 ,  88
Campeche ,  0 ,  2 ,  77 ,  75 ,  46 ,  27,   25 ,  7 ,  3 ,  0 ,  1 ,  0 ,  263
Coahuila ,  1 ,  5 ,  1 ,  2 ,  7 ,  4,   9 ,  0 ,  3 ,  2 ,  1 ,  0 ,  35
Colima ,  0 ,  1 ,  5 ,  3 ,  2 ,  5,   13 ,  2 ,  3 ,  1 ,  2 ,  0 ,  37
Chiapas ,  0 ,  2 ,  15 ,  19 ,  9 ,  1,   9 ,  3 ,  2 ,  3 ,  1 ,  0 ,  64
Chihuahua ,  0 ,  2 ,  13 ,  88 ,  109 ,  154,   596 ,  82 ,  64 ,  11 ,  11 ,  1 , 1 131
Distrito Federal ,  4 ,  21 ,  28 ,  43 ,  22 ,  17,   58 ,  9 ,  16 ,  10 ,  17 ,  0 ,  245
Durango ,  0 ,  0 ,  2 ,  2 ,  2 ,  4,   15 ,  1 ,  1 ,  0 ,  1 ,  0 ,  28
Guanajuato ,  4 ,  8 ,  12 ,  18 ,  19 ,  47,   57 ,  13 ,  6 ,  6 ,  6 ,  0 ,  196
Guerrero ,  2 ,  2 ,  16 ,  14 ,  13 ,  9,  30 ,  8 ,  15 ,  4 ,  10 ,  0 ,  123
Hidalgo ,  8 ,  10 ,  63 ,  81 ,  38 ,  28,   156 ,  27 ,  14 ,  5 ,  7 ,  0 ,  437
Jalisco ,  8 ,  20 ,  40 ,  55 ,  90 ,  81,   222 ,  46 ,  33 ,  8 ,  13 ,  0 ,  616
México ,  16 ,  115 ,  308 ,  298 ,  94 ,  101,   146 ,  78 ,  33 ,  16 ,  16 ,  1 , 1 222
Michoacán ,  0 ,  2 ,  7 ,  17 ,  30 ,  22,   46 ,  28 ,  12 ,  6 ,  4 ,  0 ,  174
Morelos ,  0 ,  0 ,  6 ,  5 ,  17 ,  3,   23 ,  5 ,  5 ,  4 ,  2 ,  1 ,  71
Nayarit ,  2 ,  4 ,  9 ,  17 ,  16 ,  15,   23 ,  4 ,  6 ,  6 ,  4 ,  0 ,  106
Nuevo León ,  1 ,  4 ,  3 ,  4 ,  4 ,  4,   22 ,  8 ,  3 ,  0 ,  4 ,  1 ,  58
Oaxaca ,  2 ,  3 ,  17 ,  15 ,  8 ,  7,   15 ,  3 ,  6 ,  10 ,  2 ,  0 ,  88
Puebla ,  1 ,  8 ,  11 ,  17 ,  20 ,  11,   24 ,  4 ,  8 ,  2 ,  3 ,  1 ,  110
Querétaro ,  2 ,  11 ,  51 ,  175 ,  122 ,  36,   99 ,  33 ,  30 ,  12 ,  10 ,  0 ,  581
Quintana Roo ,  0 ,  5 ,  16 ,  13 ,  15 ,  12,   29 ,  5 ,  2 ,  3 ,  1 ,  0 ,  101
San Luis Potosí ,  0 ,  0 ,  2 ,  4 ,  3 ,  2,   5 ,  3 ,  2 ,  1 ,  0 ,  0 ,  22
Sinaloa ,  2 ,  11 ,  23 ,  6 ,  3 ,  0,   5 ,  0 ,  1 ,  1 ,  0 ,  0 ,  52
Sonora ,  3 ,  6 ,  5 ,  3 ,  9 ,  8,   31 ,  2 ,  7 ,  3 ,  2 ,  0 ,  79
Tabasco ,  0 ,  2 ,  23 ,  22 ,  20 ,  18 ,  35 ,  26 ,  11 ,  4 ,  1 ,  0 ,  162
Tamaulipas ,  0 ,  5 ,  10 ,  7 ,  9 ,  6  , 12 ,  9 ,  5 ,  0 ,  1 ,  0 ,  64
Tlaxcala ,  0 ,  3 ,  5 ,  0 ,  4 ,  0,   6 ,  0 ,  2 ,  1 ,  0 ,  0 ,  21
Veracruz ,  0 ,  9 ,  68 ,  68 ,  51 ,  19 ,  49 ,  13 ,  10 ,  1 ,  15 ,  0 ,  303
Yucatán ,  0 ,  5 ,  3 ,  3 ,  6 ,  4,   28 ,  22 ,  9 ,  8 ,  2 ,  0 ,  90
Zacatecas ,  0 ,  2 ,  0 ,  4 ,  19 ,  22,   12 ,  8 ,  8 ,  2 ,  2 ,  0 ,  79
TOTAL GLOBAL ,  65 ,  287 ,  856 , 1 089 ,  814 ,  675,  1 820 ,  452 ,  330 ,  131 ,  144 ,  5 , 6 668
