Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,20.09 ,114 ,22 ,13 ,3 ,2 ,8 ,9 ,15 ,9 ,3 ,15 ,7 ,8
Baja California ,21.09 ,303 ,12 ,17 ,7 ,22 ,43 ,35 ,48 ,22 ,36 ,37 ,16 ,8
Baja California Sur ,42.88 ,110 ,13 ,5 ,9 ,6 ,6 ,6 ,20 ,11 ,7 ,13 ,5 ,9
Campeche ,76.42 ,299 ,7 ,4 ,7 ,12 ,2 ,35 ,40 ,39 ,61 ,42 ,36 ,14
Coahuila ,7.15 ,92 ,13 ,10 ,9 ,5 ,3 ,10 ,14 ,5 ,6 ,4 ,7 ,6
Colima ,70.62 ,206 ,33 ,39 ,33 ,1 ,43 ,12 ,12 ,10 ,11 ,10 ,1 ,1
Chiapas ,10.91 ,244 ,24 ,25 ,32 ,24 ,14 ,14 ,24 ,16 ,23 ,25 ,18 ,5
Chihuahua ,75.54 ,1 236 ,32 ,48 ,130 ,98 ,125 ,159 ,126 ,110 ,150 ,113 ,66 ,79
Distrito Federal ,29.13 ,1 328 ,130 ,127 ,121 ,79 ,121 ,102 ,138 ,98 ,80 ,136 ,115 ,81
Durango ,8.46 ,66 ,5 ,6 ,5 ,9 ,8 ,10 ,3 ,7 ,3 ,5 ,5 ,0
Guanajuato ,32.98 ,860 ,67 ,70 ,50 ,62 ,85 ,65 ,92 ,66 ,54 ,167 ,61 ,21
Guerrero ,27.90 ,454 ,14 ,27 ,32 ,23 ,46 ,22 ,40 ,20 ,29 ,42 ,134 ,25
Hidalgo ,108.79 ,1 351 ,107 ,102 ,87 ,112 ,162 ,163 ,147 ,117 ,115 ,123 ,77 ,39
Jalisco ,62.30 ,2 183 ,138 ,133 ,141 ,211 ,159 ,202 ,240 ,144 ,201 ,197 ,209 ,208
México ,8.31 ,602 ,36 ,48 ,45 ,41 ,58 ,45 ,43 ,51 ,105 ,57 ,50 ,23
Michoacán ,30.53 ,633 ,18 ,29 ,42 ,66 ,68 ,41 ,54 ,55 ,69 ,85 ,65 ,41
Morelos ,24.79 ,209 ,9 ,16 ,23 ,11 ,98 ,4 ,19 ,9 ,9 ,4 ,2 ,5
Nayarit ,165.60 ,802 ,49 ,88 ,47 ,81 ,91 ,42 ,51 ,71 ,66 ,109 ,63 ,44
Nuevo León ,38.44 ,828 ,38 ,65 ,71 ,60 ,26 ,71 ,77 ,102 ,85 ,123 ,56 ,54
Oaxaca ,38.78 ,718 ,48 ,53 ,47 ,60 ,71 ,60 ,65 ,76 ,65 ,90 ,55 ,28
Puebla ,25.78 ,738 ,30 ,52 ,69 ,66 ,47 ,70 ,119 ,89 ,66 ,68 ,40 ,22
Querétaro ,52.21 ,442 ,1 ,5 ,7 ,21 ,48 ,21 ,48 ,93 ,60 ,60 ,38 ,40
Quintana Roo ,16.93 ,102 ,9 ,7 ,8 ,13 ,1 ,4 ,9 ,6 ,20 ,11 ,2 ,12
San Luis Potosí ,8.30 ,105 ,4 ,4 ,13 ,18 ,11 ,5 ,12 ,12 ,8 ,8 ,5 ,5
Sinaloa ,17.99 ,236 ,24 ,9 ,12 ,12 ,9 ,8 ,30 ,21 ,41 ,20 ,32 ,18
Sonora ,16.14 ,196 ,7 ,11 ,19 ,23 ,17 ,15 ,21 ,22 ,25 ,16 ,7 ,13
Tabasco ,29.29 ,301 ,23 ,23 ,27 ,23 ,34 ,40 ,49 ,15 ,26 ,24 ,5 ,12
Tamaulipas ,3.15 ,49 ,5 ,3 ,0 ,4 ,4 ,4 ,7 ,2 ,3 ,11 ,5 ,1
Tlaxcala ,34.38 ,195 ,11 ,5 ,25 ,3 ,15 ,29 ,20 ,16 ,20 ,15 ,28 ,8
Veracruz ,7.93 ,297 ,18 ,13 ,19 ,19 ,24 ,23 ,44 ,39 ,30 ,30 ,19 ,19
Yucatán ,81.24 ,765 ,45 ,41 ,49 ,62 ,70 ,67 ,40 ,75 ,78 ,111 ,77 ,50
Zacatecas ,179.02 ,1 276 ,70 ,93 ,79 ,93 ,98 ,123 ,160 ,112 ,114 ,154 ,101 ,79
TOTAL GLOBAL ,32.28 ,17 340 ,1 062 ,1 191 ,1 268 ,1 342 ,1 615 ,1 516 ,1 827 ,1 540 ,1 669 ,1 925 ,1 407 ,978
