Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,72 ,3 ,7 ,4 ,5 ,20 ,6 ,5 ,5 ,5 ,5 ,3 ,4
Baja California ,545 ,19 ,60 ,43 ,40 ,33 ,66 ,62 ,49 ,47 ,35 ,67 ,24
Baja California Sur ,84 ,4 ,7 ,9 ,11 ,6 ,14 ,2 ,9 ,6 ,8 ,4 ,4
Campeche ,1 074 ,78 ,100 ,127 ,70 ,110 ,124 ,79 ,99 ,69 ,90 ,50 ,78
Coahuila ,77 ,3 ,8 ,11 ,11 ,9 ,8 ,4 ,8 ,3 ,6 ,4 ,2
Colima ,138 ,0 ,4 ,6 ,9 ,24 ,15 ,21 ,15 ,6 ,9 ,13 ,16
Chiapas ,809 ,40 ,120 ,94 ,34 ,61 ,110 ,77 ,79 ,66 ,49 ,47 ,32
Chihuahua ,3 096 ,156 ,178 ,311 ,280 ,345 ,396 ,315 ,256 ,259 ,205 ,235 ,160
Distrito Federal ,1 178 ,49 ,77 ,120 ,163 ,98 ,148 ,136 ,67 ,77 ,88 ,76 ,79
Durango ,514 ,30 ,47 ,65 ,36 ,40 ,65 ,62 ,38 ,32 ,46 ,27 ,26
Guanajuato ,5 256 ,296 ,302 ,395 ,426 ,364 ,498 ,254 ,340 ,580 ,418 ,778 ,605
Guerrero ,413 ,89 ,28 ,14 ,18 ,41 ,26 ,34 ,34 ,25 ,20 ,63 ,21
Hidalgo ,1 429 ,65 ,131 ,135 ,136 ,119 ,197 ,124 ,135 ,118 ,82 ,106 ,81
Jalisco ,2 093 ,99 ,143 ,223 ,183 ,169 ,262 ,114 ,181 ,231 ,179 ,124 ,185
México ,2 014 ,25 ,44 ,210 ,250 ,204 ,310 ,185 ,199 ,214 ,146 ,114 ,113
Michoacán ,4 965 ,436 ,278 ,779 ,206 ,343 ,709 ,230 ,388 ,406 ,419 ,427 ,344
Morelos ,722 ,12 ,18 ,36 ,17 ,20 ,144 ,54 ,58 ,20 ,212 ,20 ,111
Nayarit ,988 ,32 ,66 ,56 ,67 ,96 ,137 ,122 ,143 ,169 ,43 ,25 ,32
Nuevo León ,1 607 ,40 ,68 ,98 ,96 ,144 ,136 ,142 ,145 ,141 ,181 ,308 ,108
Oaxaca ,830 ,42 ,55 ,74 ,77 ,40 ,120 ,109 ,47 ,67 ,72 ,68 ,59
Puebla ,656 ,37 ,55 ,81 ,70 ,31 ,61 ,55 ,37 ,72 ,53 ,55 ,49
Querétaro ,3 819 ,244 ,146 ,332 ,317 ,467 ,526 ,355 ,282 ,389 ,273 ,291 ,197
Quintana Roo ,719 ,12 ,15 ,40 ,96 ,57 ,93 ,20 ,68 ,85 ,83 ,60 ,90
San Luis Potosí ,337 ,10 ,12 ,13 ,13 ,17 ,20 ,50 ,38 ,57 ,29 ,31 ,47
Sinaloa ,320 ,25 ,16 ,18 ,15 ,9 ,54 ,10 ,42 ,38 ,28 ,30 ,35
Sonora ,235 ,5 ,6 ,8 ,10 ,21 ,22 ,18 ,17 ,26 ,22 ,32 ,48
Tabasco ,2 076 ,83 ,81 ,225 ,257 ,213 ,302 ,178 ,158 ,185 ,166 ,168 ,60
Tamaulipas ,546 ,47 ,33 ,45 ,51 ,71 ,43 ,35 ,42 ,44 ,52 ,42 ,41
Tlaxcala ,375 ,14 ,30 ,43 ,37 ,21 ,23 ,33 ,12 ,29 ,58 ,32 ,43
Veracruz ,1 024 ,107 ,98 ,108 ,68 ,103 ,117 ,117 ,68 ,84 ,46 ,49 ,59
Yucatán ,1 824 ,95 ,97 ,162 ,14 ,183 ,177 ,166 ,199 ,203 ,133 ,133 ,131
Zacatecas ,1 054 ,61 ,76 ,139 ,107 ,93 ,117 ,98 ,76 ,96 ,98 ,51 ,42
TOTAL GLOBAL ,40 889 ,2 258 ,2 406 ,4 024 ,3 321 ,3 572 ,5 046 ,3 266 ,3 334 ,3 849 ,3 354 ,3 533 ,2 926
