Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,34 ,2 ,1 ,1 ,5 ,6 ,2 ,5 ,2 ,3 ,1 ,5 ,1
Baja California ,1 154 ,125 ,136 ,98 ,102 ,86 ,96 ,187 ,74 ,60 ,105 ,56 ,29
Baja California Sur ,797 ,30 ,40 ,45 ,83 ,107 ,77 ,101 ,48 ,52 ,102 ,73 ,39
Campeche ,1 628 ,117 ,123 ,221 ,121 ,179 ,211 ,174 ,130 ,109 ,63 ,121 ,59
Coahuila ,112 ,6 ,5 ,8 ,9 ,21 ,10 ,16 ,4 ,6 ,13 ,2 ,12
Colima ,340 ,28 ,46 ,6 ,27 ,42 ,27 ,37 ,23 ,33 ,37 ,10 ,24
Chiapas ,2 151 ,181 ,138 ,123 ,165 ,210 ,177 ,304 ,182 ,183 ,236 ,144 ,108
Chihuahua ,3 420 ,338 ,295 ,424 ,300 ,364 ,268 ,292 ,247 ,206 ,351 ,194 ,141
Distrito Federal ,1 275 ,76 ,65 ,106 ,135 ,150 ,112 ,117 ,120 ,100 ,143 ,80 ,71
Durango ,735 ,51 ,40 ,55 ,53 ,90 ,61 ,91 ,64 ,61 ,59 ,75 ,35
Guanajuato ,10 987 ,672 ,813 ,704 ,795 ,1 014 ,1 077 ,1 123 ,733 ,950 ,1 011 ,1 196 ,899
Guerrero ,1 895 ,129 ,176 ,158 ,129 ,168 ,112 ,134 ,104 ,126 ,244 ,190 ,225
Hidalgo ,1 707 ,127 ,151 ,131 ,123 ,137 ,195 ,156 ,108 ,156 ,181 ,167 ,75
Jalisco ,3 381 ,203 ,222 ,188 ,234 ,419 ,355 ,390 ,311 ,276 ,327 ,308 ,148
México ,3 908 ,268 ,347 ,236 ,207 ,199 ,186 ,404 ,365 ,491 ,579 ,485 ,141
Michoacán ,4 766 ,407 ,323 ,385 ,382 ,530 ,448 ,463 ,315 ,365 ,491 ,387 ,270
Morelos ,890 ,38 ,75 ,46 ,45 ,61 ,185 ,91 ,78 ,50 ,85 ,64 ,72
Nayarit ,894 ,33 ,93 ,65 ,41 ,79 ,84 ,98 ,192 ,124 ,24 ,43 ,18
Nuevo León ,1 368 ,164 ,119 ,80 ,92 ,70 ,126 ,132 ,130 ,117 ,189 ,120 ,29
Oaxaca ,750 ,51 ,75 ,80 ,55 ,90 ,87 ,85 ,55 ,39 ,52 ,63 ,18
Puebla ,1 789 ,81 ,83 ,122 ,83 ,187 ,239 ,181 ,110 ,150 ,192 ,234 ,127
Querétaro ,4 815 ,339 ,297 ,528 ,691 ,484 ,230 ,385 ,319 ,519 ,605 ,294 ,124
Quintana Roo ,1 379 ,237 ,162 ,150 ,119 ,96 ,87 ,154 ,76 ,96 ,101 ,57 ,44
San Luis Potosí ,1 555 ,169 ,99 ,177 ,120 ,186 ,149 ,93 ,136 ,152 ,142 ,43 ,89
Sinaloa ,277 ,28 ,8 ,34 ,20 ,19 ,35 ,15 ,30 ,48 ,24 ,12 ,4
Sonora ,464 ,40 ,24 ,25 ,20 ,28 ,23 ,33 ,22 ,77 ,105 ,31 ,36
Tabasco ,1 905 ,174 ,157 ,210 ,150 ,210 ,182 ,202 ,124 ,139 ,155 ,124 ,78
Tamaulipas ,1 829 ,121 ,177 ,154 ,151 ,216 ,143 ,213 ,102 ,152 ,175 ,168 ,57
Tlaxcala ,456 ,19 ,21 ,41 ,31 ,34 ,39 ,28 ,64 ,49 ,61 ,39 ,30
Veracruz ,1 528 ,125 ,106 ,124 ,110 ,162 ,94 ,160 ,123 ,144 ,155 ,145 ,80
Yucatán ,2 306 ,191 ,206 ,233 ,199 ,271 ,200 ,219 ,175 ,186 ,197 ,167 ,62
Zacatecas ,960 ,79 ,85 ,79 ,79 ,78 ,89 ,95 ,64 ,67 ,119 ,82 ,44
TOTAL GLOBAL ,61 455 ,4 649 ,4 708 ,5 037 ,4 876 ,5 993 ,5 406 ,6 178 ,4 630 ,5 286 ,6 324 ,5 179 ,3 189
