Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,7.74 ,87 ,5 ,10 ,7 ,9 ,4 ,5 ,4 ,8 ,18 ,5 ,9 ,3
Baja California ,10.72 ,330 ,38 ,24 ,35 ,25 ,29 ,44 ,37 ,34 ,17 ,13 ,11 ,23
Baja California Sur ,30.10 ,166 ,9 ,10 ,6 ,16 ,16 ,3 ,27 ,20 ,19 ,9 ,11 ,20
Campeche ,145.54 ,1 145 ,65 ,73 ,71 ,147 ,90 ,77 ,90 ,75 ,121 ,119 ,52 ,165
Coahuila ,4.84 ,126 ,2 ,9 ,4 ,10 ,7 ,9 ,5 ,13 ,12 ,20 ,18 ,17
Colima ,20.06 ,119 ,0 ,16 ,8 ,1 ,11 ,7 ,21 ,6 ,4 ,22 ,10 ,13
Chiapas ,5.43 ,242 ,42 ,27 ,16 ,30 ,11 ,7 ,23 ,18 ,13 ,30 ,9 ,16
Chihuahua ,67.14 ,2 256 ,86 ,157 ,170 ,333 ,181 ,245 ,278 ,112 ,188 ,189 ,168 ,149
Distrito Federal ,10.32 ,912 ,70 ,81 ,88 ,113 ,91 ,63 ,59 ,46 ,95 ,64 ,74 ,68
Durango ,9.00 ,139 ,6 ,4 ,3 ,12 ,15 ,24 ,10 ,11 ,16 ,13 ,21 ,4
Guanajuato ,23.70 ,1 190 ,65 ,120 ,89 ,122 ,89 ,86 ,121 ,67 ,134 ,85 ,104 ,108
Guerrero ,12.27 ,386 ,23 ,56 ,24 ,91 ,30 ,23 ,26 ,42 ,14 ,11 ,16 ,30
Hidalgo ,79.32 ,1 911 ,100 ,137 ,263 ,192 ,136 ,184 ,199 ,184 ,132 ,131 ,140 ,113
Jalisco ,38.03 ,2 647 ,243 ,226 ,242 ,277 ,207 ,228 ,334 ,182 ,255 ,157 ,138 ,158
México ,4.56 ,668 ,35 ,85 ,41 ,47 ,86 ,82 ,102 ,30 ,61 ,37 ,27 ,35
Michoacán ,28.48 ,1 133 ,45 ,68 ,76 ,126 ,62 ,76 ,141 ,115 ,149 ,48 ,77 ,150
Morelos ,9.57 ,159 ,11 ,18 ,14 ,8 ,8 ,22 ,24 ,12 ,13 ,8 ,8 ,13
Nayarit ,104.34 ,1 009 ,60 ,67 ,56 ,96 ,69 ,55 ,83 ,61 ,96 ,146 ,108 ,112
Nuevo León ,22.92 ,1 007 ,43 ,109 ,35 ,66 ,113 ,36 ,149 ,38 ,93 ,133 ,100 ,92
Oaxaca ,25.59 ,909 ,63 ,67 ,80 ,97 ,51 ,47 ,152 ,97 ,56 ,72 ,71 ,56
Puebla ,9.53 ,533 ,43 ,18 ,69 ,87 ,43 ,46 ,61 ,22 ,32 ,19 ,26 ,67
Querétaro ,204.37 ,3 454 ,82 ,45 ,93 ,266 ,320 ,156 ,349 ,242 ,358 ,520 ,423 ,600
Quintana Roo ,25.57 ,324 ,13 ,37 ,30 ,41 ,38 ,24 ,29 ,15 ,27 ,16 ,28 ,26
San Luis Potosí ,6.47 ,160 ,8 ,16 ,19 ,18 ,15 ,6 ,10 ,11 ,12 ,19 ,12 ,14
Sinaloa ,18.43 ,488 ,31 ,46 ,12 ,49 ,53 ,32 ,33 ,26 ,44 ,55 ,40 ,67
Sonora ,9.57 ,238 ,21 ,20 ,19 ,35 ,11 ,28 ,27 ,15 ,17 ,13 ,9 ,23
Tabasco ,24.95 ,509 ,24 ,51 ,26 ,21 ,32 ,62 ,35 ,65 ,65 ,36 ,46 ,46
Tamaulipas ,2.00 ,63 ,0 ,3 ,5 ,7 ,6 ,4 ,13 ,7 ,7 ,3 ,4 ,4
Tlaxcala ,15.18 ,170 ,21 ,15 ,19 ,21 ,14 ,14 ,15 ,13 ,13 ,10 ,7 ,8
Veracruz ,5.33 ,387 ,15 ,36 ,28 ,28 ,31 ,43 ,50 ,37 ,30 ,29 ,20 ,40
Yucatán ,55.11 ,1 046 ,76 ,60 ,72 ,133 ,84 ,98 ,84 ,75 ,94 ,103 ,36 ,131
Zacatecas ,144.35 ,1 994 ,97 ,239 ,133 ,276 ,264 ,182 ,204 ,94 ,125 ,128 ,147 ,105
TOTAL GLOBAL ,24.28 ,25 907 ,1 442 ,1 950 ,1 853 ,2 800 ,2 217 ,2 018 ,2 795 ,1 793 ,2 330 ,2 263 ,1 970 ,2 476
