Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,83 ,4 ,8 ,6 ,5 ,22 ,6 ,6 ,6 ,7 ,6 ,3 ,4
Baja California ,568 ,20 ,60 ,44 ,42 ,34 ,66 ,62 ,51 ,51 ,38 ,72 ,28
Baja California Sur ,100 ,4 ,9 ,15 ,11 ,7 ,15 ,3 ,9 ,8 ,9 ,5 ,5
Campeche ,1 458 ,114 ,137 ,152 ,85 ,142 ,176 ,97 ,149 ,91 ,141 ,59 ,115
Coahuila ,95 ,4 ,8 ,11 ,14 ,10 ,15 ,5 ,10 ,3 ,7 ,6 ,2
Colima ,159 ,0 ,4 ,8 ,11 ,28 ,18 ,24 ,15 ,6 ,11 ,13 ,21
Chiapas ,907 ,44 ,126 ,100 ,43 ,66 ,124 ,96 ,95 ,71 ,55 ,54 ,33
Chihuahua ,3 806 ,200 ,218 ,360 ,353 ,428 ,502 ,377 ,305 ,318 ,263 ,277 ,205
Distrito Federal ,1 378 ,68 ,103 ,140 ,184 ,116 ,168 ,146 ,78 ,90 ,105 ,83 ,97
Durango ,631 ,40 ,65 ,80 ,44 ,56 ,74 ,69 ,48 ,42 ,55 ,27 ,31
Guanajuato ,5 421 ,305 ,315 ,415 ,440 ,379 ,521 ,271 ,348 ,589 ,424 ,800 ,614
Guerrero ,498 ,100 ,32 ,20 ,19 ,55 ,35 ,44 ,40 ,34 ,27 ,65 ,27
Hidalgo ,1 704 ,77 ,159 ,161 ,154 ,140 ,219 ,146 ,172 ,137 ,107 ,137 ,95
Jalisco ,2 652 ,133 ,190 ,289 ,235 ,230 ,322 ,139 ,224 ,271 ,217 ,153 ,249
México ,2 574 ,38 ,49 ,264 ,284 ,250 ,376 ,218 ,273 ,284 ,196 ,181 ,161
Michoacán ,5 109 ,445 ,311 ,824 ,215 ,352 ,716 ,243 ,391 ,409 ,427 ,432 ,344
Morelos ,754 ,14 ,18 ,40 ,17 ,20 ,148 ,55 ,59 ,21 ,225 ,22 ,115
Nayarit ,1 157 ,39 ,98 ,89 ,82 ,102 ,168 ,131 ,150 ,185 ,46 ,32 ,35
Nuevo León ,1 772 ,50 ,85 ,107 ,112 ,153 ,148 ,155 ,160 ,180 ,191 ,315 ,116
Oaxaca ,916 ,48 ,58 ,83 ,82 ,43 ,150 ,111 ,58 ,69 ,76 ,71 ,67
Puebla ,861 ,55 ,63 ,90 ,77 ,65 ,103 ,68 ,46 ,91 ,67 ,63 ,73
Querétaro ,4 135 ,265 ,165 ,365 ,338 ,509 ,542 ,421 ,295 ,407 ,291 ,315 ,222
Quintana Roo ,792 ,13 ,22 ,50 ,104 ,67 ,100 ,28 ,72 ,94 ,86 ,62 ,94
San Luis Potosí ,357 ,13 ,12 ,17 ,15 ,20 ,22 ,51 ,41 ,57 ,30 ,32 ,47
Sinaloa ,427 ,36 ,21 ,28 ,29 ,13 ,64 ,13 ,61 ,49 ,34 ,38 ,41
Sonora ,300 ,7 ,7 ,9 ,13 ,27 ,27 ,27 ,28 ,34 ,26 ,40 ,55
Tabasco ,2 193 ,85 ,90 ,255 ,269 ,239 ,307 ,183 ,165 ,191 ,175 ,173 ,61
Tamaulipas ,588 ,54 ,33 ,46 ,55 ,77 ,48 ,42 ,44 ,46 ,58 ,43 ,42
Tlaxcala ,429 ,16 ,35 ,52 ,39 ,22 ,32 ,40 ,14 ,29 ,68 ,36 ,46
Veracruz ,1 228 ,129 ,133 ,130 ,93 ,127 ,143 ,125 ,83 ,93 ,58 ,51 ,63
Yucatán ,1 930 ,98 ,100 ,169 ,154 ,186 ,179 ,172 ,206 ,253 ,139 ,136 ,138
Zacatecas ,1 075 ,62 ,76 ,140 ,110 ,94 ,117 ,100 ,82 ,96 ,103 ,52 ,43
TOTAL GLOBAL ,46 057 ,2 580 ,2 810 ,4 559 ,3 728 ,4 079 ,5 651 ,3 668 ,3 778 ,4 306 ,3 761 ,3 848 ,3 289
