Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,37 ,2 ,3 ,4 ,3 ,3 ,2 ,1 ,0 ,4 ,5 ,4 ,6
Baja California ,648 ,21 ,69 ,81 ,185 ,99 ,41 ,32 ,31 ,30 ,14 ,23 ,22
Baja California Sur ,537 ,45 ,50 ,44 ,44 ,54 ,73 ,70 ,36 ,34 ,59 ,5 ,23
Campeche ,1 438 ,118 ,100 ,96 ,119 ,187 ,101 ,235 ,101 ,46 ,169 ,103 ,63
Coahuila ,169 ,8 ,9 ,5 ,6 ,14 ,77 ,15 ,6 ,6 ,12 ,10 ,1
Colima ,289 ,28 ,9 ,3 ,44 ,27 ,82 ,24 ,9 ,34 ,7 ,5 ,17
Chiapas ,1 859 ,195 ,137 ,159 ,172 ,247 ,193 ,121 ,96 ,105 ,202 ,173 ,59
Chihuahua ,4 654 ,329 ,364 ,326 ,371 ,480 ,466 ,490 ,349 ,426 ,528 ,298 ,227
Distrito Federal ,1 384 ,84 ,97 ,101 ,101 ,128 ,140 ,119 ,106 ,103 ,179 ,130 ,96
Durango ,845 ,86 ,75 ,45 ,89 ,110 ,66 ,59 ,63 ,69 ,101 ,56 ,26
Guanajuato ,12 280 ,1 017 ,813 ,913 ,872 ,1 027 ,834 ,1 152 ,1 098 ,1 349 ,1 422 ,1 076 ,707
Guerrero ,2 968 ,264 ,275 ,327 ,279 ,423 ,234 ,208 ,150 ,148 ,293 ,216 ,151
Hidalgo ,2 302 ,189 ,246 ,199 ,255 ,186 ,235 ,216 ,178 ,136 ,250 ,119 ,93
Jalisco ,4 129 ,350 ,328 ,332 ,375 ,465 ,321 ,345 ,343 ,308 ,456 ,311 ,195
México ,9 010 ,374 ,394 ,405 ,470 ,666 ,706 ,707 ,1 180 ,1 207 ,1 411 ,836 ,654
Michoacán ,5 305 ,485 ,381 ,384 ,460 ,974 ,538 ,518 ,328 ,287 ,393 ,333 ,224
Morelos ,672 ,74 ,36 ,62 ,37 ,47 ,46 ,52 ,62 ,92 ,91 ,53 ,20
Nayarit ,446 ,80 ,52 ,35 ,29 ,41 ,32 ,30 ,10 ,22 ,40 ,58 ,17
Nuevo León ,2 135 ,153 ,247 ,228 ,202 ,249 ,205 ,112 ,147 ,171 ,204 ,168 ,49
Oaxaca ,584 ,64 ,63 ,53 ,56 ,51 ,58 ,61 ,41 ,25 ,46 ,36 ,30
Puebla ,1 659 ,131 ,114 ,157 ,190 ,223 ,157 ,140 ,118 ,119 ,151 ,87 ,72
Querétaro ,4 167 ,277 ,211 ,351 ,346 ,525 ,299 ,460 ,505 ,316 ,409 ,309 ,159
Quintana Roo ,1 503 ,66 ,88 ,91 ,167 ,196 ,160 ,132 ,117 ,82 ,175 ,121 ,108
San Luis Potosí ,897 ,75 ,119 ,112 ,115 ,79 ,40 ,62 ,97 ,70 ,52 ,45 ,31
Sinaloa ,286 ,20 ,30 ,15 ,42 ,24 ,37 ,13 ,35 ,22 ,21 ,18 ,9
Sonora ,628 ,50 ,55 ,71 ,31 ,44 ,61 ,60 ,68 ,55 ,70 ,42 ,21
Tabasco ,1 681 ,130 ,168 ,150 ,150 ,172 ,152 ,167 ,125 ,130 ,162 ,124 ,51
Tamaulipas ,1 464 ,146 ,179 ,147 ,146 ,168 ,120 ,97 ,104 ,73 ,132 ,107 ,45
Tlaxcala ,882 ,48 ,52 ,47 ,69 ,129 ,75 ,95 ,50 ,48 ,74 ,74 ,121
Veracruz ,3 738 ,199 ,220 ,185 ,244 ,409 ,373 ,481 ,339 ,441 ,431 ,219 ,197
Yucatán ,2 450 ,158 ,189 ,249 ,185 ,257 ,191 ,222 ,218 ,237 ,261 ,154 ,129
Zacatecas ,1 244 ,62 ,92 ,98 ,115 ,119 ,140 ,83 ,81 ,115 ,193 ,94 ,52
TOTAL GLOBAL ,72 290 ,5 328 ,5 265 ,5 475 ,5 969 ,7 823 ,6 255 ,6 579 ,6 191 ,6 310 ,8 013 ,5 407 ,3 675
