Estado ,Enero ,Febrero ,Marzo ,Abril ,Mayo ,Junio ,Julio ,Agosto ,Septiembre ,Octubre ,Noviembre ,Diciembre ,Total
Aguascalientes ,3 ,6 ,5 ,7 ,15 ,1 ,5 ,4 ,3 ,2 ,0 ,4 ,55
Baja California ,3 ,28 ,202 ,31 ,42 ,26 ,25 ,34 ,32 ,16 ,12 ,8 ,459
Baja California Sur ,68 ,45 ,37 ,58 ,60 ,69 ,75 ,64 ,67 ,100 ,58 ,56 ,757
Campeche ,108 ,147 ,211 ,78 ,100 ,188 ,236 ,83 ,184 ,172 ,121 ,26 ,1 654
Coahuila ,1 ,15 ,19 ,12 ,22 ,22 ,84 ,10 ,9 ,13 ,6 ,9 ,222
Colima ,24 ,4 ,4 ,9 ,5 ,8 ,24 ,6 ,22 ,26 ,72 ,44 ,248
Chiapas ,104 ,182 ,107 ,79 ,77 ,94 ,49 ,48 ,30 ,61 ,51 ,34 ,916
Chihuahua ,341 ,383 ,410 ,470 ,382 ,354 ,464 ,329 ,308 ,380 ,233 ,219 ,4 273
Distrito Federal ,101 ,137 ,149 ,295 ,147 ,153 ,185 ,134 ,111 ,120 ,117 ,100 ,1 749
Durango ,55 ,19 ,33 ,26 ,23 ,26 ,56 ,27 ,33 ,35 ,24 ,17 ,374
Guanajuato ,739 ,670 ,653 ,491 ,310 ,338 ,406 ,284 ,332 ,348 ,329 ,251 ,5 151
Guerrero ,243 ,299 ,270 ,283 ,286 ,269 ,293 ,201 ,261 ,381 ,330 ,230 ,3 346
Hidalgo ,170 ,188 ,165 ,166 ,259 ,155 ,263 ,284 ,179 ,249 ,149 ,52 ,2 279
Jalisco ,383 ,286 ,318 ,343 ,351 ,345 ,439 ,341 ,445 ,501 ,338 ,300 ,4 390
México ,221 ,347 ,498 ,1 189 ,1 110 ,1 240 ,1 428 ,1 173 ,1 098 ,1 321 ,1 126 ,680 ,11 431
Michoacán ,441 ,471 ,521 ,542 ,614 ,530 ,638 ,792 ,842 ,992 ,694 ,589 ,7 666
Morelos ,35 ,108 ,105 ,133 ,85 ,111 ,94 ,105 ,126 ,124 ,105 ,91 ,1 222
Nayarit ,52 ,153 ,74 ,41 ,75 ,61 ,68 ,105 ,63 ,178 ,60 ,70 ,1 000
Nuevo León ,329 ,373 ,305 ,177 ,166 ,176 ,125 ,121 ,79 ,157 ,93 ,135 ,2 236
Oaxaca ,26 ,27 ,59 ,90 ,52 ,43 ,36 ,42 ,50 ,61 ,44 ,42 ,572
Puebla ,85 ,78 ,98 ,114 ,138 ,126 ,168 ,62 ,145 ,145 ,82 ,58 ,1 299
Querétaro ,399 ,431 ,536 ,766 ,471 ,250 ,461 ,467 ,648 ,868 ,686 ,578 ,6 561
Quintana Roo ,58 ,85 ,87 ,181 ,148 ,156 ,124 ,91 ,83 ,80 ,76 ,61 ,1 230
San Luis Potosí ,31 ,21 ,24 ,37 ,40 ,92 ,53 ,80 ,69 ,58 ,60 ,37 ,602
Sinaloa ,21 ,13 ,4 ,14 ,37 ,30 ,26 ,21 ,15 ,17 ,12 ,19 ,229
Sonora ,56 ,69 ,56 ,82 ,19 ,54 ,42 ,39 ,54 ,118 ,34 ,38 ,661
Tabasco ,38 ,123 ,36 ,85 ,73 ,121 ,146 ,96 ,106 ,178 ,83 ,37 ,1 122
Tamaulipas ,161 ,170 ,241 ,409 ,264 ,246 ,315 ,272 ,329 ,382 ,290 ,72 ,3 151
Tlaxcala ,58 ,63 ,82 ,122 ,101 ,86 ,125 ,98 ,104 ,136 ,107 ,96 ,1 178
Veracruz ,184 ,162 ,127 ,158 ,159 ,189 ,221 ,136 ,204 ,247 ,192 ,203 ,2 182
Yucatán ,148 ,187 ,141 ,186 ,161 ,139 ,161 ,192 ,154 ,246 ,142 ,145 ,2 002
Zacatecas ,62 ,84 ,123 ,87 ,131 ,110 ,87 ,86 ,140 ,132 ,43 ,41 ,1 126
TOTAL GLOBAL ,4 748 ,5 374 ,5 700 ,6 761 ,5 923 ,5 808 ,6 922 ,5 827 ,6 325 ,7 844 ,5 769 ,4 342 ,71 343
