Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,2.78 ,15 ,4 ,2 ,0 ,2 ,0 ,3 ,1 ,0 ,0 ,2 ,0 ,1
Baja California ,2.63 ,41 ,2 ,1 ,0 ,8 ,8 ,7 ,9 ,1 ,1 ,3 ,1 ,0
Baja California Sur ,5.69 ,16 ,4 ,0 ,0 ,1 ,0 ,2 ,2 ,3 ,0 ,3 ,0 ,1
Campeche ,36.24 ,140 ,5 ,2 ,6 ,3 ,4 ,18 ,6 ,22 ,22 ,35 ,13 ,4
Coahuila ,1.86 ,24 ,3 ,2 ,3 ,1 ,4 ,1 ,5 ,3 ,0 ,2 ,0 ,0
Colima ,10.21 ,30 ,2 ,7 ,3 ,1 ,3 ,4 ,2 ,1 ,5 ,2 ,0 ,0
Chiapas ,2.34 ,51 ,4 ,5 ,5 ,7 ,5 ,4 ,7 ,3 ,3 ,4 ,1 ,3
Chihuahua ,29.22 ,494 ,6 ,7 ,52 ,29 ,61 ,37 ,24 ,68 ,62 ,72 ,49 ,27
Distrito Federal ,8.45 ,361 ,40 ,27 ,24 ,52 ,18 ,38 ,32 ,16 ,19 ,37 ,31 ,27
Durango ,3.30 ,25 ,3 ,3 ,1 ,1 ,1 ,1 ,8 ,0 ,0 ,1 ,6 ,0
Guanajuato ,2.97 ,71 ,5 ,10 ,5 ,8 ,8 ,4 ,9 ,3 ,3 ,8 ,1 ,7
Guerrero ,5.25 ,80 ,6 ,8 ,9 ,7 ,3 ,5 ,6 ,2 ,5 ,19 ,7 ,3
Hidalgo ,25.38 ,293 ,38 ,30 ,21 ,35 ,29 ,33 ,30 ,23 ,9 ,21 ,17 ,7
Jalisco ,20.95 ,712 ,35 ,50 ,51 ,47 ,34 ,60 ,85 ,51 ,83 ,80 ,56 ,80
México ,3.92 ,282 ,12 ,13 ,19 ,18 ,40 ,19 ,22 ,30 ,19 ,38 ,35 ,17
Michoacán ,3.86 ,74 ,6 ,11 ,7 ,9 ,3 ,5 ,5 ,4 ,4 ,9 ,3 ,8
Morelos ,6.83 ,55 ,7 ,2 ,16 ,0 ,2 ,0 ,8 ,4 ,1 ,1 ,0 ,14
Nayarit ,36.25 ,174 ,21 ,21 ,26 ,22 ,20 ,13 ,19 ,5 ,4 ,12 ,10 ,1
Nuevo León ,7.65 ,167 ,10 ,21 ,39 ,18 ,5 ,9 ,10 ,7 ,13 ,10 ,16 ,9
Oaxaca ,6.11 ,104 ,9 ,7 ,10 ,6 ,8 ,10 ,17 ,3 ,8 ,13 ,10 ,3
Puebla ,3.77 ,101 ,0 ,9 ,12 ,14 ,6 ,18 ,10 ,10 ,6 ,11 ,4 ,1
Querétaro ,10.83 ,88 ,0 ,0 ,2 ,5 ,3 ,6 ,8 ,19 ,21 ,9 ,5 ,10
Quintana Roo ,11.16 ,69 ,15 ,10 ,7 ,1 ,1 ,1 ,3 ,5 ,1 ,22 ,0 ,3
San Luis Potosí ,1.00 ,12 ,1 ,0 ,2 ,1 ,3 ,3 ,2 ,0 ,0 ,0 ,0 ,0
Sinaloa ,4.81 ,64 ,11 ,2 ,1 ,1 ,4 ,4 ,11 ,5 ,1 ,8 ,6 ,10
Sonora ,6.16 ,77 ,7 ,4 ,8 ,7 ,8 ,5 ,11 ,10 ,9 ,3 ,3 ,2
Tabasco ,7.49 ,75 ,6 ,1 ,8 ,8 ,5 ,13 ,14 ,6 ,3 ,3 ,4 ,4
Tamaulipas ,0.64 ,10 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,1 ,4
Tlaxcala ,7.81 ,42 ,3 ,4 ,4 ,0 ,5 ,6 ,4 ,3 ,7 ,2 ,4 ,0
Veracruz ,2.40 ,84 ,8 ,3 ,4 ,2 ,5 ,6 ,21 ,7 ,13 ,6 ,3 ,6
Yucatán ,5.47 ,51 ,2 ,4 ,4 ,4 ,6 ,4 ,6 ,9 ,4 ,6 ,0 ,2
Zacatecas ,13.29 ,89 ,3 ,7 ,20 ,21 ,4 ,4 ,1 ,2 ,6 ,8 ,12 ,1
TOTAL GLOBAL ,7.63 ,3 971 ,279 ,273 ,369 ,339 ,306 ,343 ,398 ,327 ,334 ,450 ,298 ,255
