Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,11 ,1 ,1 ,2 ,0 ,2 ,0 ,1 ,1 ,2 ,1 ,0 ,0
Baja California ,23 ,1 ,0 ,1 ,2 ,1 ,0 ,0 ,2 ,4 ,3 ,5 ,4
Baja California Sur ,16 ,0 ,2 ,6 ,0 ,1 ,1 ,1 ,0 ,2 ,1 ,1 ,1
Campeche ,384 ,36 ,37 ,25 ,15 ,32 ,52 ,18 ,50 ,22 ,51 ,9 ,37
Coahuila ,18 ,1 ,0 ,0 ,3 ,1 ,7 ,1 ,2 ,0 ,1 ,2 ,0
Colima ,21 ,0 ,0 ,2 ,2 ,4 ,3 ,3 ,0 ,0 ,2 ,0 ,5
Chiapas ,98 ,4 ,6 ,6 ,9 ,5 ,14 ,19 ,16 ,5 ,6 ,7 ,1
Chihuahua ,710 ,44 ,40 ,49 ,73 ,83 ,106 ,62 ,49 ,59 ,58 ,42 ,45
Distrito Federal ,200 ,19 ,26 ,20 ,21 ,18 ,20 ,10 ,11 ,13 ,17 ,7 ,18
Durango ,117 ,10 ,18 ,15 ,8 ,16 ,9 ,7 ,10 ,10 ,9 ,0 ,5
Guanajuato ,165 ,9 ,13 ,20 ,14 ,15 ,23 ,17 ,8 ,9 ,6 ,22 ,9
Guerrero ,85 ,11 ,4 ,6 ,1 ,14 ,9 ,10 ,6 ,9 ,7 ,2 ,6
Hidalgo ,275 ,12 ,28 ,26 ,18 ,21 ,22 ,22 ,37 ,19 ,25 ,31 ,14
Jalisco ,559 ,34 ,47 ,66 ,52 ,61 ,60 ,25 ,43 ,40 ,38 ,29 ,64
México ,560 ,13 ,5 ,54 ,34 ,46 ,66 ,33 ,74 ,70 ,50 ,67 ,48
Michoacán ,144 ,9 ,33 ,45 ,9 ,9 ,7 ,13 ,3 ,3 ,8 ,5 ,0
Morelos ,32 ,2 ,0 ,4 ,0 ,0 ,4 ,1 ,1 ,1 ,13 ,2 ,4
Nayarit ,169 ,7 ,32 ,33 ,15 ,6 ,31 ,9 ,7 ,16 ,3 ,7 ,3
Nuevo León ,165 ,10 ,17 ,9 ,16 ,9 ,12 ,13 ,15 ,39 ,10 ,7 ,8
Oaxaca ,86 ,6 ,3 ,9 ,5 ,3 ,30 ,2 ,11 ,2 ,4 ,3 ,8
Puebla ,205 ,18 ,8 ,9 ,7 ,34 ,42 ,13 ,9 ,19 ,14 ,8 ,24
Querétaro ,316 ,21 ,19 ,33 ,21 ,42 ,16 ,66 ,13 ,18 ,18 ,24 ,25
Quintana Roo ,73 ,1 ,7 ,10 ,8 ,10 ,7 ,8 ,4 ,9 ,3 ,2 ,4
San Luis Potosí ,20 ,3 ,0 ,4 ,2 ,3 ,2 ,1 ,3 ,0 ,1 ,1 ,0
Sinaloa ,107 ,11 ,5 ,10 ,14 ,4 ,10 ,3 ,19 ,11 ,6 ,8 ,6
Sonora ,65 ,2 ,1 ,1 ,3 ,6 ,5 ,9 ,11 ,8 ,4 ,8 ,7
Tabasco ,117 ,2 ,9 ,30 ,12 ,26 ,5 ,5 ,7 ,6 ,9 ,5 ,1
Tamaulipas ,42 ,7 ,0 ,1 ,4 ,6 ,5 ,7 ,2 ,2 ,6 ,1 ,1
Tlaxcala ,54 ,2 ,5 ,9 ,2 ,1 ,9 ,7 ,2 ,0 ,10 ,4 ,3
Veracruz ,204 ,22 ,35 ,22 ,25 ,24 ,26 ,8 ,15 ,9 ,12 ,2 ,4
Yucatán ,106 ,3 ,3 ,7 ,9 ,3 ,2 ,6 ,7 ,50 ,6 ,3 ,7
Zacatecas ,21 ,1 ,0 ,1 ,3 ,1 ,0 ,2 ,6 ,0 ,5 ,1 ,1
TOTAL GLOBAL ,5 168 ,322 ,404 ,535 ,407 ,507 ,605 ,402 ,444 ,457 ,407 ,315 ,363
