Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0
Baja California ,17 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,6 ,1 ,1 ,3 ,1
Baja California Sur ,84 ,10 ,4 ,5 ,6 ,6 ,14 ,5 ,5 ,7 ,10 ,7 ,5
Campeche ,198 ,10 ,0 ,29 ,26 ,32 ,30 ,20 ,12 ,2 ,5 ,16 ,16
Coahuila ,10 ,0 ,1 ,0 ,2 ,2 ,2 ,0 ,0 ,1 ,1 ,0 ,1
Colima ,58 ,5 ,5 ,0 ,4 ,6 ,9 ,6 ,5 ,7 ,4 ,2 ,5
Chiapas ,158 ,1 ,0 ,3 ,13 ,21 ,11 ,23 ,28 ,18 ,24 ,11 ,5
Chihuahua ,1 136 ,81 ,85 ,84 ,71 ,125 ,87 ,85 ,124 ,122 ,102 ,107 ,63
Distrito Federal ,204 ,12 ,15 ,11 ,16 ,30 ,19 ,15 ,21 ,16 ,17 ,14 ,18
Durango ,152 ,13 ,15 ,12 ,5 ,17 ,22 ,8 ,11 ,8 ,11 ,23 ,7
Guanajuato ,236 ,13 ,23 ,19 ,21 ,17 ,23 ,12 ,14 ,31 ,32 ,17 ,14
Guerrero ,98 ,14 ,5 ,9 ,13 ,9 ,14 ,4 ,8 ,6 ,9 ,1 ,6
Hidalgo ,389 ,28 ,35 ,30 ,18 ,33 ,39 ,23 ,19 ,45 ,61 ,33 ,25
Jalisco ,629 ,33 ,70 ,48 ,41 ,100 ,56 ,47 ,51 ,56 ,39 ,43 ,45
México ,652 ,32 ,29 ,30 ,39 ,34 ,72 ,43 ,42 ,104 ,78 ,143 ,6
Michoacán ,178 ,21 ,16 ,13 ,15 ,15 ,17 ,5 ,9 ,21 ,19 ,16 ,11
Morelos ,85 ,6 ,8 ,4 ,3 ,11 ,4 ,17 ,3 ,5 ,6 ,2 ,16
Nayarit ,57 ,3 ,14 ,6 ,3 ,10 ,3 ,1 ,3 ,2 ,8 ,4 ,0
Nuevo León ,66 ,2 ,29 ,7 ,1 ,1 ,3 ,4 ,6 ,1 ,8 ,2 ,2
Oaxaca ,95 ,10 ,12 ,16 ,7 ,4 ,3 ,11 ,5 ,4 ,12 ,5 ,6
Puebla ,187 ,14 ,9 ,20 ,8 ,10 ,16 ,31 ,6 ,12 ,29 ,18 ,14
Querétaro ,521 ,40 ,43 ,36 ,26 ,23 ,19 ,43 ,47 ,130 ,76 ,29 ,9
Quintana Roo ,133 ,13 ,15 ,13 ,27 ,12 ,8 ,17 ,10 ,11 ,4 ,1 ,2
San Luis Potosí ,41 ,2 ,5 ,16 ,1 ,7 ,3 ,3 ,0 ,1 ,3 ,0 ,0
Sinaloa ,59 ,0 ,4 ,6 ,4 ,7 ,2 ,5 ,5 ,8 ,10 ,7 ,1
Sonora ,86 ,7 ,1 ,3 ,1 ,21 ,14 ,13 ,11 ,0 ,10 ,1 ,4
Tabasco ,80 ,1 ,9 ,3 ,0 ,10 ,26 ,10 ,5 ,5 ,3 ,4 ,4
Tamaulipas ,52 ,3 ,6 ,6 ,2 ,4 ,4 ,1 ,2 ,6 ,2 ,13 ,3
Tlaxcala ,13 ,1 ,5 ,2 ,0 ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,0
Veracruz ,224 ,13 ,19 ,29 ,20 ,21 ,18 ,24 ,15 ,17 ,17 ,18 ,13
Yucatán ,120 ,7 ,3 ,24 ,6 ,11 ,9 ,24 ,2 ,3 ,29 ,1 ,1
Zacatecas ,37 ,1 ,1 ,3 ,3 ,3 ,9 ,2 ,3 ,5 ,1 ,4 ,2
TOTAL GLOBAL ,6 057 ,399 ,487 ,489 ,402 ,602 ,558 ,504 ,478 ,655 ,633 ,545 ,305
