Estado ,Total ,Enero ,Febrero ,Marzo ,Abril ,Mayo ,Junio ,Julio ,Agosto ,Septiembre ,Octubre ,Noviembre ,Diciembre
Aguascalientes ,10 ,1 ,1 ,1 ,2 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0
Baja California ,12 ,0 ,5 ,1 ,1 ,1 ,1 ,1 ,0 ,2 ,0 ,0 ,0
Baja California Sur ,88 ,5 ,5 ,7 ,10 ,6 ,5 ,10 ,8 ,7 ,12 ,8 ,5
Campeche ,263 ,14 ,12 ,29 ,19 ,12 ,30 ,49 ,11 ,34 ,28 ,24 ,1
Coahuila ,35 ,0 ,2 ,2 ,4 ,7 ,4 ,8 ,2 ,1 ,4 ,0 ,1
Colima ,	37 ,1 ,0 ,0 ,1 ,1 ,0 ,3 ,0 ,9 ,1 ,16 ,5
Chiapas ,64 ,8 ,8 ,9 ,3 ,10 ,7 ,1 ,2 ,2 ,4 ,5 ,5
Chihuahua ,1 131 ,86 ,92 ,110 ,125 ,107 ,89 ,133 ,85 ,75 ,107 ,61 ,61
Distrito Federal ,245 ,21 ,18 ,14 ,66 ,22 ,17 ,21 ,23 ,10 ,9 ,11 ,13
Durango ,28 ,13 ,3 ,0 ,0 ,0 ,1 ,4 ,3 ,2 ,1 ,1 ,0
Guanajuato ,196 ,28 ,15 ,30 ,17 ,13 ,18 ,8 ,8 ,7 ,12 ,24 ,16
Guerrero ,123 ,22 ,8 ,21 ,10 ,6 ,12 ,2 ,1 ,5 ,21 ,9 ,6
Hidalgo ,437 ,24 ,41 ,39 ,23 ,31 ,31 ,49 ,49 ,47 ,59 ,44 ,0
Jalisco ,616 ,80 ,38 ,47 ,44 ,57 ,48 ,60 ,51 ,55 ,58 ,41 ,37
México ,	1 222 ,41 ,56 ,72 ,180 ,103 ,130 ,120 ,109 ,88 ,158 ,107 ,58
Michoacán ,174 ,9 ,13 ,13 ,13 ,6 ,12 ,11 ,16 ,18 ,30 ,27 ,6
Morelos ,71 ,2 ,12 ,6 ,3 ,5 ,9 ,3 ,14 ,3 ,0 ,2 ,12
Nayarit ,106 ,1 ,9 ,3 ,12 ,7 ,8 ,3 ,14 ,7 ,6 ,8 ,28
Nuevo León ,58 ,1 ,10 ,10 ,6 ,4 ,1 ,5 ,1 ,5 ,11 ,1 ,3
Oaxaca ,88 ,7 ,4 ,10 ,16 ,14 ,4 ,4 ,5 ,7 ,8 ,3 ,6
Puebla ,110 ,1 ,11 ,13 ,4 ,12 ,6 ,19 ,9 ,14 ,11 ,3 ,7
Querétaro ,581 ,57 ,52 ,77 ,78 ,38 ,11 ,37 ,24 ,73 ,52 ,48 ,34
Quintana Roo ,101 ,3 ,2 ,13 ,13 ,6 ,9 ,26 ,10 ,7 ,7 ,1 ,4
San Luis Potosí ,22 ,0 ,2 ,1 ,1 ,1 ,0 ,1 ,4 ,1 ,2 ,2 ,7
Sinaloa ,52 ,10 ,2 ,2 ,1 ,17 ,6 ,0 ,3 ,0 ,3 ,3 ,5
Sonora ,79 ,2 ,6 ,3 ,8 ,1 ,7 ,6 ,4 ,4 ,17 ,10 ,11
Tabasco ,162 ,4 ,41 ,5 ,16 ,12 ,29 ,27 ,3 ,7 ,4 ,0 ,14
Tamaulipas ,64 ,3 ,2 ,4 ,10 ,9 ,2 ,2 ,2 ,7 ,7 ,13 ,3
Tlaxcala ,21 ,0 ,2 ,1 ,1 ,3 ,1 ,1 ,2 ,5 ,3 ,1 ,1
Veracruz ,303 ,44 ,14 ,15 ,22 ,18 ,14 ,21 ,17 ,27 ,23 ,32 ,56
Yucatán ,90 ,2 ,8 ,25 ,3 ,3 ,8 ,6 ,3 ,4 ,7 ,2 ,19
Zacatecas ,79 ,1 ,1 ,7 ,4 ,9 ,2 ,3 ,19 ,12 ,19 ,1 ,1
TOTAL GLOBAL ,6 668 ,491 ,495 ,590 ,716 ,544 ,522 ,645 ,503 ,545 ,684 ,508 ,425
