"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes ,  31 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,S.R. ,  1 ,  32
Baja California ,  601 ,  3 ,  0 ,  3 ,S.R. ,S.R. ,  2 ,  2 ,  5 ,  616
Baja California Sur ,  471 ,  1 ,  3 ,S.R. ,S.R. ,S.R. ,  0 ,  0 ,S.R. ,  475
Campeche , 1 252 ,  1 ,  0 ,  8 ,  0 ,  0 ,  1 ,  1 ,  0 , 1 263
Coahuila ,  73 ,  2 ,  0 ,  3 ,  49 ,S.R. ,  3 ,S.R. ,  2 ,  132
Colima ,  261 ,  0 ,  0 ,S.R. ,  6 ,S.R. ,  1 ,  0 ,  1 ,  269
Chiapas , 1 698 ,  1 ,  23 ,  12 ,S.R. ,  0 ,  0 ,  0 ,  3 , 1 737
Chihuahua , 3 316 ,  5 ,  0 ,  26 ,S.R. ,S.R. ,  4 ,S.R. ,  7 , 3 358
Distrito Federal , 1 164 ,  15 ,  37 ,  0 ,  3 ,  0 ,  1 ,  0 ,  1 , 1 221
Durango ,  694 ,  0 ,  1 ,  8 ,  0 ,S.R. ,S.R. ,  0 ,  0 ,  703
Guanajuato , 11 820 ,  9 ,  2 ,  0 ,S.R. ,  12 ,  4 ,S.R. ,  8 , 11 855
Guerrero , 2 769 ,  2 ,  6 ,  63 ,S.R. ,S.R. ,  0 ,  0 ,  0 , 2 840
Hidalgo , 1 857 ,  0 ,  0 ,  7 ,  33 ,  0 ,  0 ,S.R. ,  0 , 1 897
Jalisco , 2 300 ,  8 ,  0 ,  0 ,  14 ,  0 ,  0 ,  0 , 1 041 , 3 363
México , 7 345 ,  3 ,  6 ,  6 ,  471 ,S.R. ,  8 ,S.R. ,  6 , 7 845
Michoacán , 5 129 ,  1 ,  5 ,  16 ,S.R. ,S.R. ,  0 ,  5 ,S.R. , 5 156
Morelos ,  626 ,  0 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,S.R. ,S.R. ,  626
Nayarit ,  410 ,  0 ,  2 ,  3 ,  7 ,S.R. ,  0 ,  0 ,  0 ,  422
Nuevo León , 1 952 ,  2 ,  0 ,  0 ,S.R. ,  0 ,  1 ,S.R. ,  120 , 2 075
Oaxaca ,  470 ,  0 ,  1 ,  46 ,  0 ,  0 ,  0 ,  3 ,  2 ,  522
Puebla , 1 479 ,  2 ,  1 ,  22 ,  0 ,  1 ,  2 ,S.R. ,  6 , 1 513
Querétaro , 3 739 ,  0 ,  1 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  5 , 3 745
Quintana Roo , 1 319 ,  0 ,  5 ,S.R. ,S.R. ,S.R. ,  0 ,  0 ,  0 , 1 324
San Luis Potosí ,  863 ,  2 ,  0 ,  10 ,S.R. ,  0 ,  0 ,S.R. ,  6 ,  881
Sinaloa ,  104 ,  0 ,  1 ,  1 ,  124 ,  0 ,  0 ,  0 ,  4 ,  234
Sonora ,  549 ,  0 ,  0 ,  0 ,S.R. ,S.R. ,  1 ,  7 ,  10 ,  567
Tabasco , 1 552 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,  0 ,  0 ,  3 , 1 555
Tamaulipas , 1 420 ,  3 ,  0 ,  1 ,  0 ,  0 ,  1 ,  0 ,  1 , 1 426
Tlaxcala ,  847 ,  0 ,  0 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,  847
Veracruz , 3 284 ,  2 ,  1 ,  22 ,  0 ,  3 ,  0 ,  1 ,  0 , 3 313
Yucatán , 2 374 ,  0 ,  0 ,  23 ,  0 ,S.R. ,  0 ,  0 ,  1 , 2 398
Zacatecas , 1 193 ,  0 ,  4 ,  11 ,  0 ,S.R. ,  0 ,S.R. ,  1 , 1 209
TOTAL GLOBAL , 62 962 ,  62 ,  99 ,  291 ,  707 ,  16 ,  29 ,  19 , 1 234 , 65 419
