Estado ,SSA ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEDEMAR ,OTRAS ,Total
Aguascalientes ,25 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,28
Baja California ,67 ,33 ,2 ,11 ,0 ,0 ,1 ,0 ,23 ,137
Baja California Sur ,73 ,0 ,1 ,0 ,1 ,0 ,2 ,1 ,0 ,78
Campeche ,110 ,0 ,1 ,15 ,0 ,0 ,0 ,0 ,25 ,151
Coahuila ,49 ,0 ,3 ,6 ,16 ,0 ,0 ,0 ,21 ,95
Colima ,8 ,0 ,2 ,0 ,5 ,0 ,0 ,0 ,0 ,15
Chiapas ,132 ,0 ,11 ,112 ,0 ,0 ,0 ,0 ,4 ,259
Chihuahua ,171 ,9 ,2 ,60 ,0 ,0 ,0 ,0 ,22 ,264
Distrito Federal ,239 ,4 ,206 ,0 ,0 ,0 ,6 ,0 ,3 ,458
Durango ,51 ,0 ,1 ,15 ,0 ,0 ,1 ,0 ,1 ,69
Guanajuato ,139 ,0 ,5 ,0 ,0 ,0 ,1 ,0 ,0 ,145
Guerrero ,119 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,3 ,131
Hidalgo ,229 ,0 ,1 ,25 ,76 ,0 ,0 ,0 ,3 ,334
Jalisco ,309 ,0 ,0 ,0 ,175 ,0 ,20 ,0 ,1820 ,2324
México ,144 ,4 ,3 ,0 ,211 ,0 ,0 ,0 ,14 ,376
Michoacán ,252 ,3 ,18 ,25 ,0 ,0 ,0 ,2 ,0 ,300
Morelos ,33 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,34
Nayarit ,66 ,2 ,1 ,5 ,1 ,0 ,0 ,0 ,0 ,75
Nuevo León ,117 ,9 ,1 ,0 ,0 ,0 ,3 ,0 ,373 ,503
Oaxaca ,206 ,0 ,15 ,116 ,18 ,1 ,0 ,3 ,0 ,359
Puebla ,144 ,11 ,4 ,36 ,33 ,0 ,1 ,0 ,13 ,242
Querétaro ,107 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107
Quintana Roo ,69 ,0 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,92
San Luis Potosi ,106 ,0 ,1 ,27 ,0 ,0 ,0 ,0 ,0 ,134
Sinaloa ,25 ,2 ,7 ,7 ,65 ,0 ,2 ,0 ,11 ,119
Sonora ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,4
Tabasco ,176 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,6 ,185
Tamaulipas ,47 ,0 ,3 ,13 ,0 ,0 ,2 ,0 ,127 ,192
Tlaxcala ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45
Veracruz ,169 ,19 ,2 ,80 ,0 ,2 ,0 ,0 ,0 ,272
Yucatán ,68 ,0 ,0 ,9 ,2 ,0 ,0 ,0 ,2 ,81
Zacatecas ,223 ,0 ,0 ,11 ,0 ,0 ,1 ,0 ,0 ,235
TOTAL GLOBAL ,3718 ,96 ,330 ,573 ,603 ,5 ,40 ,6 ,2472 ,7843
