Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,  239 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  2 ,  243
Baja California ,  60 ,  34 ,  1 ,  0 ,  0 ,  0 ,  5 ,  2 ,  39 ,  141
Baja California Sur ,  188 ,  0 ,  14 ,  0 ,  0 ,  0 ,  10 ,  0 ,  0 ,  212
Campeche ,  144 ,  0 ,  0 ,  1 ,  0 ,  0 ,  0 ,  1 ,  2 ,  148
Coahuila ,  48 ,  1 ,  2 ,  11 ,  1 ,  0 ,  0 ,  0 ,  37 ,  100
Colima ,  195 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  197
Chiapas ,  231 ,  0 ,  15 ,  50 ,  0 ,  0 ,  9 ,  1 ,  1 ,  307
Chihuahua ,  849 ,  5 ,  1 ,  40 ,  0 ,  0 ,  3 ,  0 ,  3 ,  901
Distrito Federal ,  461 ,  0 ,  257 ,  0 ,  3 ,  0 ,  34 ,  0 ,  3 ,  758
Durango ,  69 ,  0 ,  3 ,  22 ,  0 ,  0 ,  0 ,  0 ,  0 ,  94
Guanajuato ,  252 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  2 ,  255
Guerrero ,  147 ,  1 ,  5 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  153
Hidalgo , 1 351 ,  0 ,  1 ,  15 ,  101 ,  0 ,  0 ,  0 ,  0 , 1 468
Jalisco ,  374 ,  3 ,  1 ,  0 ,  6 ,  0 ,  0 ,  0 , 1 368 , 1 752
México ,  175 ,  17 ,  0 ,  0 ,  145 ,  0 ,  7 ,  0 ,  11 ,  355
Michoacán ,  505 ,  0 ,  10 ,  53 ,  0 ,  0 ,  5 ,  0 ,  0 ,  573
Morelos ,  244 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  245
Nayarit ,  392 ,  3 ,  2 ,  10 ,  58 ,  0 ,  0 ,  0 ,  2 ,  467
Nuevo León ,  286 ,  5 ,  0 ,  2 ,  0 ,  3 ,  0 ,  0 ,  274 ,  570
Oaxaca ,  299 ,  0 ,  3 ,  87 ,  30 ,  4 ,  2 ,  0 ,  2 ,  427
Puebla ,  152 ,  6 ,  1 ,  19 ,  30 ,  0 ,  11 ,  0 ,  29 ,  248
Querétaro ,  86 ,  0 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  3 ,  91
Quintana Roo ,  87 ,  2 ,  8 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  97
San Luis Potosí ,  65 ,  3 ,  1 ,  15 ,  0 ,  0 ,  0 ,  0 ,  7 ,  91
Sinaloa ,  45 ,  1 ,  1 ,  3 ,  45 ,  0 ,  10 ,  0 ,  5 ,  110
Sonora ,  178 ,  2 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  9 ,  190
Tabasco ,  276 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  2 ,  4 ,  283
Tamaulipas ,  56 ,  0 ,  2 ,  10 ,  1 ,  0 ,  5 ,  0 ,  2 ,  76
Tlaxcala ,  164 ,  0 ,  0 ,  0 ,  0 ,  0 ,  2 ,  0 ,  0 ,  166
Veracruz ,  185 ,  5 ,  1 ,  49 ,  4 ,  0 ,  0 ,  2 ,  0 ,  246
Yucatán ,  421 ,  0 ,  0 ,  21 ,  1 ,  0 ,  0 ,  1 ,  1 ,  445
Zacatecas ,  936 ,  0 ,  1 ,  10 ,  0 ,  0 ,  0 ,  0 ,  0 ,  947
TOTAL GLOBAL , 9 160 ,  91 ,  336 ,  418 ,  425 ,  7 ,  103 ,  9 , 1 807 , 12 356
