Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras ,Total
Aguascalientes ,114 ,0 ,0 ,N.A. ,0 ,N.A. ,0 ,N.A. ,0 ,114
Baja California ,228 ,3 ,0 ,0 ,N.A. ,N.A. ,2 ,1 ,69 ,303
Baja California Sur ,107 ,0 ,1 ,N.A. ,N.A. ,N.A. ,2 ,0 ,N.A. ,110
Campeche ,291 ,1 ,1 ,5 ,0 ,0 ,1 ,0 ,0 ,299
Coahuila ,54 ,4 ,11 ,5 ,0 ,N.A. ,1 ,N.A. ,17 ,92
Colima ,204 ,0 ,0 ,N.A. ,2 ,N.A. ,0 ,0 ,0 ,206
Chiapas ,190 ,0 ,10 ,33 ,N.A. ,0 ,6 ,2 ,3 ,244
Chihuahua ,1 194 ,1 ,7 ,30 ,N.A. ,N.A. ,0 ,N.A. ,4 ,1 236
Distrito Federal ,1 087 ,0 ,190 ,2 ,0 ,0 ,40 ,1 ,8 ,1 328
Durango ,53 ,0 ,2 ,11 ,0 ,N.A. ,0 ,N.A. ,0 ,66
Guanajuato ,855 ,1 ,0 ,0 ,N.A. ,0 ,0 ,N.A. ,4 ,860
Guerrero ,450 ,1 ,3 ,0 ,N.A. ,N.A. ,0 ,0 ,0 ,454
Hidalgo ,1 285 ,0 ,1 ,11 ,54 ,0 ,0 ,N.A. ,0 ,1 351
Jalisco ,423 ,3 ,0 ,1 ,18 ,0 ,1 ,0 ,1 737 ,2 183
México ,273 ,14 ,7 ,0 ,291 ,N.A. ,6 ,N.A. ,11 ,602
Michoacán ,594 ,1 ,0 ,37 ,N.A. ,N.A. ,1 ,0 ,N.A. ,633
Morelos ,209 ,0 ,0 ,0 ,N.A. ,N.A. ,0 ,N.A. ,N.A. ,209
Nayarit ,739 ,1 ,1 ,14 ,47 ,N.A. ,0 ,0 ,0 ,802
Nuevo León ,572 ,2 ,0 ,1 ,0 ,5 ,0 ,N.A. ,248 ,828
Oaxaca ,572 ,0 ,6 ,46 ,72 ,1 ,20 ,0 ,1 ,718
Puebla ,660 ,10 ,0 ,37 ,0 ,0 ,5 ,N.A. ,26 ,738
Querétaro ,438 ,1 ,2 ,1 ,0 ,N.A. ,N.A. ,N.A. ,0 ,442
Quintana Roo ,91 ,4 ,7 ,N.A. ,N.A. ,N.A. ,0 ,0 ,N.A. ,102
San Luis Potosí ,77 ,3 ,2 ,13 ,N.A. ,0 ,0 ,N.A. ,10 ,105
Sinaloa ,160 ,0 ,17 ,4 ,50 ,0 ,1 ,0 ,4 ,236
Sonora ,187 ,0 ,0 ,0 ,N.A. ,N.A. ,0 ,0 ,9 ,196
Tabasco ,260 ,0 ,9 ,N.A. ,N.A. ,1 ,0 ,0 ,31 ,301
Tamaulipas ,36 ,2 ,0 ,6 ,2 ,0 ,2 ,0 ,1 ,49
Tlaxcala ,194 ,0 ,0 ,0 ,0 ,N.A. ,1 ,N.A. ,0 ,195
Veracruz ,231 ,2 ,1 ,31 ,29 ,0 ,0 ,3 ,N.A. ,297
Yucatán ,732 ,0 ,0 ,28 ,2 ,N.A. ,3 ,0 ,0 ,765
Zacatecas ,1 260 ,1 ,0 ,13 ,0 ,N.A. ,0 ,N.A. ,2 ,1 276
TOTAL GLOBAL ,13 820 ,55 ,278 ,329 ,567 ,7 ,92 ,7 ,2 185 ,17 340
