Estado ,SSA ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEDEMAR ,OTRAS ,Total
Aguascalientes ,30 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,35
Baja California ,102 ,91 ,2 ,19 ,0 ,0 ,1 ,0 ,31 ,246
Baja California Sur ,102 ,0 ,3 ,0 ,2 ,0 ,2 ,1 ,0 ,110
Campeche ,171 ,0 ,2 ,19 ,0 ,0 ,0 ,0 ,154 ,346
Coahuila ,70 ,0 ,3 ,10 ,23 ,0 ,0 ,0 ,128 ,234
Colima ,12 ,0 ,2 ,0 ,6 ,0 ,0 ,0 ,0 ,20
Chiapas ,212 ,0 ,25 ,120 ,0 ,3 ,0 ,0 ,5 ,365
Chihuahua ,243 ,10 ,2 ,142 ,0 ,0 ,0 ,0 ,35 ,432
Distrito Federal ,290 ,16 ,296 ,0 ,0 ,0 ,6 ,0 ,3 ,611
Durango ,92 ,0 ,1 ,26 ,0 ,0 ,2 ,0 ,1 ,122
Guanajuato ,192 ,0 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,200
Guerrero ,224 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,3 ,244
Hidalgo ,308 ,0 ,3 ,30 ,155 ,0 ,0 ,0 ,3 ,499
Jalisco ,470 ,0 ,1 ,0 ,315 ,0 ,22 ,0 ,3142 ,3950
México ,200 ,9 ,5 ,0 ,345 ,0 ,0 ,0 ,22 ,581
Michoacán ,339 ,3 ,35 ,30 ,0 ,0 ,0 ,4 ,0 ,411
Morelos ,46 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,48
Nayarit ,88 ,6 ,1 ,7 ,3 ,0 ,0 ,0 ,0 ,105
Nuevo León ,137 ,15 ,1 ,0 ,0 ,0 ,4 ,0 ,424 ,581
Oaxaca ,279 ,0 ,17 ,153 ,25 ,1 ,1 ,3 ,2 ,481
Puebla ,197 ,13 ,6 ,53 ,40 ,0 ,2 ,0 ,23 ,334
Querétaro ,171 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,172
Quintana Roo ,92 ,0 ,32 ,0 ,0 ,0 ,0 ,0 ,0 ,124
San Luis Potosi ,152 ,0 ,1 ,35 ,0 ,0 ,0 ,0 ,0 ,188
Sinaloa ,42 ,2 ,7 ,10 ,77 ,0 ,3 ,1 ,11 ,153
Sonora ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,5
Tabasco ,252 ,0 ,2 ,0 ,0 ,3 ,0 ,0 ,9 ,266
Tamaulipas ,83 ,0 ,5 ,16 ,0 ,0 ,2 ,0 ,211 ,317
Tlaxcala ,58 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58
Veracruz ,271 ,27 ,3 ,106 ,0 ,2 ,0 ,0 ,0 ,409
Yucatán ,96 ,0 ,0 ,14 ,5 ,0 ,0 ,0 ,13 ,128
Zacatecas ,279 ,0 ,0 ,18 ,0 ,0 ,1 ,0 ,0 ,298
TOTAL GLOBAL ,5300 ,194 ,489 ,808 ,996 ,9 ,47 ,9 ,4221 ,12073
