Estado ,Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes ,  69 ,  2 ,  1 ,S/R ,  0 ,S/R ,  0 ,S/R ,  11 ,  83
Baja California ,  518 ,  6 ,  1 ,  0 ,S/R ,S/R ,  0 ,  2 ,  41 ,  568
Baja California Sur ,  99 ,  1 ,  0 ,S/R ,S/R ,S/R ,  0 ,  0 ,S/R ,  100
Campeche , 1 443 ,  3 ,  0 ,  4 ,  0 ,  1 ,  0 ,  1 ,  6 , 1 458
Coahuila ,  45 ,  0 ,  1 ,  2 ,  0 ,S/R ,  1 ,S/R ,  46 ,  95
Colima ,  157 ,  0 ,  0 ,S/R ,  1 ,S/R ,  0 ,  0 ,  1 ,  159
Chiapas ,  844 ,  0 ,  27 ,  32 ,S/R ,  0 ,  0 ,  0 ,  4 ,  907
Chihuahua , 3 760 ,  8 ,  2 ,  29 ,S/R ,S/R ,  0 ,S/R ,  7 , 3 806
Distrito Federal , 1 188 ,  2 ,  136 ,  0 ,  3 ,  0 ,  42 ,  0 ,  7 , 1 378
Durango ,  614 ,  0 ,  9 ,  6 ,  0 ,S/R ,  2 ,S/R ,  0 ,  631
Guanajuato , 5 399 ,  1 ,  7 ,  0 ,S/R ,  11 ,  0 ,S/R ,  3 , 5 421
Guerrero ,  490 ,  0 ,  6 ,  1 ,S/R ,S/R ,  1 ,  0 ,S/R ,  498
Hidalgo , 1 642 ,  0 ,  0 ,  21 ,  41 ,  0 ,  0 ,S/R ,  0 , 1 704
Jalisco ,  855 ,  3 ,  0 ,  0 ,  15 ,  0 ,  0 ,  0 , 1 779 , 2 652
México , 1 491 ,  8 ,  1 ,  1 , 1 051 ,S/R ,  9 ,S/R ,  13 , 2 574
Michoacán , 5 086 ,  0 ,  0 ,  19 ,S/R ,S/R ,  1 ,  3 ,S/R , 5 109
Morelos ,  753 ,  0 ,  0 ,  0 ,S/R ,S/R ,  1 ,S/R ,S/R ,  754
Nayarit , 1 110 ,  2 ,  0 ,  10 ,  35 ,S/R ,  0 ,  0 ,  0 , 1 157
Nuevo León , 1 554 ,  1 ,  1 ,  1 ,S/R ,  0 ,  1 ,S/R ,  214 , 1 772
Oaxaca ,  826 ,  0 ,  7 ,  71 ,  3 ,  0 ,  4 ,  0 ,  5 ,  916
Puebla ,  727 ,  94 ,  2 ,  33 ,  0 ,  0 ,  1 ,S/R ,  4 ,  861
Querétaro , 4 113 ,  1 ,  2 ,  0 ,  19 ,S/R ,  0 ,S/R ,  0 , 4 135
Quintana Roo ,  789 ,  1 ,  1 ,S/R ,S/R ,S/R ,  1 ,  0 ,S/R ,  792
San Luis Potosí ,  326 ,  6 ,  1 ,  19 ,S/R ,  0 ,  0 ,S/R ,  5 ,  357
Sinaloa ,  304 ,  1 ,  6 ,  0 ,  112 ,  0 ,  0 ,  0 ,  4 ,  427
Sonora ,  281 ,  11 ,  1 ,  0 ,S/R ,S/R ,  2 ,  3 ,  2 ,  300
Tabasco , 2 187 ,  0 ,  0 ,S/R ,S/R ,  0 ,  0 ,  0 ,  6 , 2 193
Tamaulipas ,  505 ,  5 ,  0 ,  9 ,  67 ,  0 ,  2 ,  0 ,  0 ,  588
Tlaxcala ,  429 ,  0 ,  0 ,  0 ,  0 ,S/R ,  0 ,S/R ,  0 ,  429
Veracruz , 1 197 ,  0 ,  1 ,  22 ,  1 ,  5 ,  0 ,  2 ,  0 , 1 228
Yucatán , 1 822 ,  0 ,  1 ,  35 ,  5 ,S/R ,  0 ,  0 ,  67 , 1 930
Zacatecas , 1 050 ,  4 ,  0 ,  17 ,  0 ,S/R ,  0 ,S/R ,  4 , 1 075
TOTAL GLOBAL , 41 673 ,  160 ,  214 ,  332 , 1 353 ,  17 ,  68 ,  11 , 2 229 , 46 057
