Estado ,"","","","","","","","","",Total
"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes ,  61 ,  0 ,  1 ,S.R. ,  0 ,S.R. ,  1 ,S.R. ,  0 ,  63
Baja California ,  917 ,  5 ,  2 ,  6 ,S.R. ,S.R. ,  1 ,  0 ,  13 ,  944
Baja California Sur ,  324 ,  0 ,  1 ,S.R. ,S.R. ,S.R. ,  0 ,  0 ,S.R. ,  325
Campeche , 1 168 ,  0 ,  3 ,  3 ,  1 ,  0 ,  0 ,  0 ,  1 , 1 176
Coahuila ,  58 ,  3 ,  1 ,  2 ,  0 ,S.R. ,  0 ,S.R. ,  11 ,  75
Colima ,  395 ,  0 ,  0 ,S.R. ,  1 ,S.R. ,  0 ,  0 ,  0 ,  396
Chiapas ,  988 ,  1 ,  22 ,  23 ,S.R. ,  0 ,  0 ,  0 ,  0 , 1 034
Chihuahua , 4 501 ,  10 ,  2 ,  30 ,S.R. ,S.R. ,  2 ,S.R. ,  3 , 4 548
Distrito Federal , 1 129 ,  2 ,  439 ,  1 ,  4 ,  0 ,  11 ,  0 ,  3 , 1 589
Durango ,  575 ,  0 ,  0 ,  18 ,  0 ,S.R. ,  1 ,S.R. ,  0 ,  594
Guanajuato , 8 190 ,  3 ,  3 ,  1 ,S.R. ,  12 ,  9 ,S.R. ,  4 , 8 222
Guerrero , 1 885 ,  1 ,  1 ,  1 ,S.R. ,S.R. ,  0 ,  0 ,  0 , 1 888
Hidalgo , 1 803 ,  0 ,  0 ,  17 ,  39 ,  0 ,  0 ,S.R. ,  0 , 1 859
Jalisco , 1 291 ,  5 ,  0 ,  0 ,  11 ,  0 ,  0 ,  0 , 2 053 , 3 360
México , 2 440 ,  10 ,  2 ,  3 , 1 389 ,S.R. ,  2 ,S.R. ,  10 , 3 856
Michoacán , 3 855 ,  1 ,  1 ,  56 ,S.R. ,S.R. ,  1 ,  0 ,S.R. , 3 914
Morelos ,  951 ,  1 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,S.R. ,S.R. ,  952
Nayarit ,  470 ,  0 ,  0 ,  5 ,  16 ,S.R. ,  0 ,  0 ,  0 ,  491
Nuevo León , 1 696 ,  1 ,  1 ,  0 ,S.R. ,  0 ,  0 ,S.R. ,  155 , 1 853
Oaxaca ,  879 ,  0 ,  3 ,  61 ,  0 ,  2 ,  2 ,  1 ,  4 ,  952
Puebla , 1 307 ,  29 ,  0 ,  14 ,  0 ,  0 ,  2 ,S.R. ,  9 , 1 361
Querétaro , 4 116 ,  2 ,  6 ,  0 ,  0 ,S.R. ,  2 ,S.R. ,  7 , 4 133
Quintana Roo , 1 395 ,  3 ,  10 ,S.R. ,S.R. ,S.R. ,  2 ,  0 ,  0 , 1 410
San Luis Potosí ,  889 ,  4 ,  6 ,  11 ,S.R. ,  0 ,  2 ,S.R. ,  5 ,  917
Sinaloa ,  298 ,  0 ,  12 ,  4 ,  67 ,  0 ,  1 ,  1 ,  5 ,  388
Sonora ,  319 ,  2 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,  8 ,  3 ,  332
Tabasco , 1 881 ,  0 ,  2 ,S.R. ,S.R. ,  1 ,  0 ,  0 ,  8 , 1 892
Tamaulipas , 1 193 ,  4 ,  0 ,  5 ,  0 ,  0 ,  1 ,  0 ,  1 , 1 204
Tlaxcala ,  503 ,  0 ,  0 ,  0 ,  0 ,S.R. ,  1 ,S.R. ,  0 ,  504
Veracruz , 1 139 ,  9 ,  2 ,  44 ,  0 ,  11 ,  4 ,  1 ,  0 , 1 210
Yucatán , 2 589 ,  0 ,  0 ,  55 ,  1 ,S.R. ,  0 ,  0 ,  1 , 2 646
Zacatecas , 1 001 ,  0 ,  0 ,  21 ,  0 ,S.R. ,  0 ,S.R. ,  2 , 1 024
TOTAL GLOBAL , 50 206 ,  96 ,  520 ,  381 , 1 529 ,  26 ,  45 ,  11 , 2 298 , 55 112
