Estado ,SALUD ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,OTRAS ,Total
Aguascalientes ,  9 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  10
Baja California ,  9 ,  5 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  20 ,  34
Baja California Sur ,  23 ,  0 ,  1 ,  0 ,  0 ,  0 ,  2 ,  0 ,  0 ,  26
Campeche ,  57 ,  0 ,  0 ,  1 ,  0 ,  0 ,  8 ,  0 ,  33 ,  99
Coahuila ,  5 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  6 ,  12
Colima ,  11 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  0 ,  14
Chiapas ,  49 ,  0 ,  5 ,  12 ,  0 ,  0 ,  17 ,  0 ,  0 ,  83
Chihuahua ,  251 ,  35 ,  0 ,  10 ,  0 ,  0 ,  2 ,  0 ,  19 ,  317
Distrito Federal ,  95 ,  0 ,  53 ,  0 ,  0 ,  0 ,  2 ,  0 ,  23 ,  173
Durango ,  23 ,  0 ,  0 ,  4 ,  0 ,  0 ,  0 ,  0 ,  0 ,  27
Guanajuato ,  23 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  2 ,  26
Guerrero ,  59 ,  1 ,  1 ,  0 ,  0 ,  0 ,  2 ,  0 ,  0 ,  63
Hidalgo ,  76 ,  0 ,  0 ,  1 ,  129 ,  0 ,  1 ,  0 ,  0 ,  207
Jalisco ,  108 ,  1 ,  2 ,  0 ,  191 ,  0 ,  1 ,  0 , 1 515 , 1 818
México ,  41 ,  2 ,  0 ,  0 ,  144 ,  0 ,  0 ,  0 ,  6 ,  193
Michoacán ,  77 ,  0 ,  3 ,  4 ,  0 ,  0 ,  0 ,  0 ,  0 ,  84
Morelos ,  118 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  119
Nayarit ,  48 ,  0 ,  0 ,  4 ,  0 ,  0 ,  0 ,  0 ,  0 ,  52
Nuevo León ,  39 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  9 ,  49
Oaxaca ,  39 ,  0 ,  0 ,  11 ,  6 ,  0 ,  0 ,  0 ,  2 ,  58
Puebla ,  17 ,  5 ,  0 ,  2 ,  54 ,  0 ,  0 ,  0 ,  6 ,  84
Querétaro ,  12 ,  0 ,  2 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  15
Quintana Roo ,  72 ,  2 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  76
San Luis Potosí ,  11 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  11
Sinaloa ,  5 ,  0 ,  1 ,  1 ,  2 ,  0 ,  0 ,  0 ,  22 ,  31
Sonora ,  17 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  17
Tabasco ,  104 ,  4 ,  0 ,  0 ,  0 ,  6 ,  0 ,  0 ,  5 ,  119
Tamaulipas ,  26 ,  1 ,  0 ,  0 ,  1 ,  0 ,  1 ,  0 ,  2 ,  31
Tlaxcala ,  37 ,  0 ,  0 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0 ,  38
Veracruz ,  71 ,  0 ,  4 ,  0 ,  0 ,  4 ,  1 ,  0 ,  0 ,  80
Yucatán ,  14 ,  0 ,  1 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  17
Zacatecas ,  44 ,  0 ,  0 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  46
TOTAL GLOBAL , 1 590 ,  61 ,  77 ,  54 ,  529 ,  10 ,  37 ,  1 , 1 670 , 4 029
