"",Salud ,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras,""
Aguascalientes ,  2 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,S.R. ,  0 ,  2
Baja California ,  16 ,  0 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,  0 ,  1 ,  17
Baja California Sur ,  82 ,  0 ,  1 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,S.R. ,  84
Campeche ,  193 ,  0 ,  3 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  198
Coahuila ,  6 ,  0 ,  0 ,  0 ,  3 ,S.R. ,  1 ,S.R. ,  0 ,  10
Colima ,  58 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,  0 ,  0 ,  58
Chiapas ,  154 ,  0 ,  1 ,  3 ,S.R. ,  0 ,  0 ,  0 ,  0 ,  158
Chihuahua , 1 126 ,  2 ,  1 ,  5 ,S.R. ,S.R. ,  2 ,S.R. ,  0 , 1 136
Distrito Federal ,  181 ,  0 ,  20 ,  1 ,  1 ,  0 ,  0 ,  0 ,  1 ,  204
Durango ,  147 ,  0 ,  4 ,  0 ,  0 ,S.R. ,  1 ,  0 ,  0 ,  152
Guanajuato ,  235 ,  0 ,  0 ,  0 ,S.R. ,  1 ,  0 ,S.R. ,  0 ,  236
Guerrero ,  96 ,  0 ,  0 ,  2 ,S.R. ,S.R. ,  0 ,  0 ,  0 ,  98
Hidalgo ,  377 ,  0 ,  0 ,  0 ,  12 ,  0 ,  0 ,S.R. ,  0 ,  389
Jalisco ,  125 ,  2 ,  0 ,  0 ,  1 ,  0 ,  0 ,  0 ,  501 ,  629
México ,  356 ,  2 ,  0 ,  0 ,  292 ,S.R. ,  0 ,S.R. ,  2 ,  652
Michoacán ,  174 ,  1 ,  1 ,  2 ,S.R. ,S.R. ,  0 ,  0 ,S.R. ,  178
Morelos ,  85 ,  0 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,S.R. ,S.R. ,  85
Nayarit ,  55 ,  0 ,  1 ,  0 ,  1 ,S.R. ,  0 ,  0 ,  0 ,  57
Nuevo León ,  62 ,  0 ,  0 ,  0 ,S.R. ,  0 ,  0 ,S.R. ,  4 ,  66
Oaxaca ,  84 ,  0 ,  6 ,  1 ,  2 ,  0 ,  0 ,  1 ,  1 ,  95
Puebla ,  183 ,  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,S.R. ,  3 ,  187
Querétaro ,  516 ,  0 ,  2 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  3 ,  521
Quintana Roo ,  131 ,  0 ,  1 ,S.R. ,S.R. ,S.R. ,  1 ,  0 ,  0 ,  133
San Luis Potosí ,  35 ,  0 ,  6 ,  0 ,S.R. ,  0 ,  0 ,S.R. ,  0 ,  41
Sinaloa ,  34 ,  0 ,  2 ,  0 ,  22 ,  0 ,  0 ,  0 ,  1 ,  59
Sonora ,  84 ,  0 ,  0 ,  0 ,S.R. ,S.R. ,  1 ,  0 ,  1 ,  86
Tabasco ,  80 ,  0 ,  0 ,S.R. ,S.R. ,  0 ,  0 ,  0 ,  0 ,  80
Tamaulipas ,  50 ,  0 ,  0 ,  2 ,  0 ,  0 ,  0 ,  0 ,  0 ,  52
Tlaxcala ,  13 ,  0 ,  0 ,  0 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,  13
Veracruz ,  219 ,  0 ,  0 ,  2 ,  0 ,  0 ,  0 ,  3 ,  0 ,  224
Yucatán ,  119 ,  0 ,  0 ,  1 ,  0 ,S.R. ,  0 ,  0 ,  0 ,  120
Zacatecas ,  32 ,  0 ,  0 ,  5 ,  0 ,S.R. ,  0 ,S.R. ,  0 ,  37
TOTAL GLOBAL , 5 110 ,  8 ,  49 ,  26 ,  334 ,  1 ,  7 ,  4 ,  518 , 6 057
