Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  2 ,  2 ,  5 ,  14 ,  13 ,  25 ,  1 ,  1 ,  0 ,  1 ,  0 ,  64
Baja California ,  3 ,  4 ,  8 ,  8 ,  10 ,  14 ,  92 ,  7 ,  4 ,  1 ,  1 ,  0 ,  152
Baja California Sur ,  1 ,  3 ,  7 ,  3 ,  17 ,  27 ,  88 ,  8 ,  5 ,  0 ,  2 ,  0 ,  161
Campeche ,  0 ,  2 ,  1 ,  3 ,  12 ,  27 ,  71 ,  6 ,  3 ,  1 ,  4 ,  0 ,  130
Coahuila ,  1 ,  0 ,  1 ,  1 ,  6 ,  14 ,  26 ,  4 ,  2 ,  1 ,  0 ,  0 ,  56
Colima ,  0 ,  1 ,  1 ,  2 ,  3 ,  1 ,  21 ,  2 ,  3 ,  2 ,  0 ,  0 ,  36
Chiapas ,  1 ,  1 ,  6 ,  7 ,  44 ,  87 ,  135 ,  29 ,  13 ,  2 ,  4 ,  0 ,  329
Chihuahua ,  0 ,  12 ,  33 ,  65 ,  75 ,  121 ,  462 ,  43 ,  45 ,  9 ,  9 ,  1 ,  875
Distrito Federal ,  3 ,  13 ,  23 ,  51 ,  55 ,  104 ,  263 ,  31 ,  21 ,  4 ,  10 ,  0 ,  578
Durango ,  0 ,  2 ,  0 ,  0 ,  8 ,  12 ,  29 ,  2 ,  3 ,  1 ,  0 ,  0 ,  57
Guanajuato ,  1 ,  2 ,  2 ,  2 ,  11 ,  21 ,  50 ,  6 ,  5 ,  0 ,  2 ,  0 ,  102
Guerrero ,  0 ,  5 ,  3 ,  12 ,  9 ,  16 ,  49 ,  8 ,  5 ,  0 ,  4 ,  0 ,  111
Hidalgo ,  14 ,  36 ,  32 ,  46 ,  83 ,  104 ,  277 ,  44 ,  37 ,  6 ,  5 ,  0 ,  684
Jalisco ,  10 ,  70 ,  101 ,  113 ,  382 ,  746 ,  899 ,  167 ,  75 ,  15 ,  24 ,  0 , 2 602
México ,  15 ,  45 ,  64 ,  50 ,  24 ,  29 ,  122 ,  11 ,  20 ,  6 ,  7 ,  1 ,  394
Michoacán ,  0 ,  4 ,  7 ,  28 ,  44 ,  72 ,  214 ,  22 ,  20 ,  5 ,  10 ,  0 ,  426
Morelos ,  1 ,  2 ,  8 ,  15 ,  15 ,  36 ,  78 ,  11 ,  8 ,  2 ,  4 ,  0 ,  180
Nayarit ,  0 ,  1 ,  11 ,  22 ,  38 ,  69 ,  163 ,  21 ,  18 ,  4 ,  0 ,  0 ,  347
Nuevo León ,  2 ,  6 ,  13 ,  12 ,  41 ,  89 ,  135 ,  46 ,  6 ,  4 ,  1 ,  0 ,  355
Oaxaca ,  1 ,  6 ,  7 ,  13 ,  28 ,  53 ,  172 ,  20 ,  23 ,  7 ,  9 ,  0 ,  339
Puebla ,  2 ,  8 ,  19 ,  42 ,  42 ,  17 ,  71 ,  12 ,  9 ,  4 ,  5 ,  0 ,  231
Querétaro ,  1 ,  2 ,  3 ,  4 ,  8 ,  9 ,  32 ,  3 ,  6 ,  0 ,  4 ,  0 ,  72
Quintana Roo ,  0 ,  2 ,  0 ,  5 ,  8 ,  25 ,  64 ,  9 ,  2 ,  0 ,  1 ,  0 ,  116
San Luis Potosí ,  0 ,  0 ,  7 ,  2 ,  8 ,  8 ,  40 ,  8 ,  3 ,  2 ,  1 ,  0 ,  79
Sinaloa ,  1 ,  3 ,  3 ,  6 ,  13 ,  17 ,  28 ,  7 ,  12 ,  1 ,  0 ,  0 ,  91
Sonora ,  0 ,  2 ,  1 ,  4 ,  5 ,  11 ,  44 ,  1 ,  4 ,  0 ,  0 ,  0 ,  72
Tabasco ,  0 ,  4 ,  16 ,  28 ,  22 ,  28 ,  113 ,  17 ,  16 ,  2 ,  0 ,  0 ,  246
Tamaulipas ,  1 ,  3 ,  4 ,  4 ,  10 ,  11 ,  19 ,  5 ,  3 ,  2 ,  3 ,  0 ,  65
Tlaxcala ,  0 ,  0 ,  9 ,  21 ,  22 ,  18 ,  125 ,  4 ,  22 ,  3 ,  4 ,  0 ,  228
Veracruz ,  1 ,  4 ,  6 ,  9 ,  17 ,  26 ,  81 ,  8 ,  6 ,  4 ,  2 ,  0 ,  164
Yucatán ,  2 ,  4 ,  5 ,  5 ,  18 ,  28 ,  62 ,  7 ,  7 ,  1 ,  1 ,  0 ,  140
Zacatecas ,  1 ,  0 ,  8 ,  15 ,  20 ,  32 ,  57 ,  14 ,  19 ,  4 ,  2 ,  0 ,  172
TOTAL GLOBAL ,  62 ,  249 ,  411 ,  603 , 1 112 , 1 885 , 4 107 ,  584 ,  426 ,  93 ,  120 ,  2 , 9 654
