"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,  0 ,  0 ,  1 ,  1 ,  5 ,  6 ,  26 ,  3 ,  1 ,  0 ,  2 ,  0 ,  45
Baja California ,  0 ,  1 ,  2 ,  6 ,  96 ,  79 ,  186 ,  23 ,  28 ,  19 ,  7 ,  0 ,  447
Baja California Sur ,  5 ,  20 ,  9 ,  50 ,  113 ,  99 ,  295 ,  22 ,  38 ,  7 ,  11 ,  0 ,  669
Campeche ,  0 ,  9 ,  45 ,  108 ,  196 ,  142 ,  722 ,  102 ,  44 ,  16 ,  7 ,  0 , 1 391
Coahuila ,  1 ,  7 ,  1 ,  15 ,  39 ,  34 ,  51 ,  15 ,  7 ,  7 ,  10 ,  0 ,  187
Colima ,  1 ,  4 ,  2 ,  13 ,  22 ,  23 ,  98 ,  22 ,  12 ,  5 ,  9 ,  0 ,  211
Chiapas ,  0 ,  4 ,  24 ,  68 ,  131 ,  119 ,  381 ,  47 ,  53 ,  13 ,  12 ,  0 ,  852
Chihuahua ,  1 ,  6 ,  19 ,  177 ,  364 ,  455 , 1 523 ,  244 ,  259 ,  57 ,  36 ,  1 , 3 142
Distrito Federal ,  1 ,  15 ,  33 ,  51 ,  241 ,  190 ,  623 ,  120 ,  144 ,  29 ,  54 ,  3 , 1 504
Durango ,  0 ,  0 ,  2 ,  19 ,  44 ,  63 ,  160 ,  29 ,  16 ,  6 ,  7 ,  0 ,  346
Guanajuato ,  0 ,  8 ,  21 ,  108 ,  510 ,  779 , 2 303 ,  494 ,  451 ,  124 ,  157 ,  0 , 4 955
Guerrero ,  1 ,  3 ,  28 ,  90 ,  449 ,  518 , 1 608 ,  240 ,  211 ,  41 ,  33 ,  1 , 3 223
Hidalgo ,  5 ,  29 ,  68 ,  108 ,  214 ,  314 ,  845 ,  109 ,  96 ,  28 ,  26 ,  0 , 1 842
Jalisco ,  5 ,  26 ,  40 ,  147 ,  433 ,  560 , 1 866 ,  288 ,  258 ,  76 ,  72 ,  3 , 3 774
México ,  14 ,  125 ,  373 ,  709 , 1 506 , 1 911 , 4 229 ,  607 ,  536 ,  96 ,  101 ,  2 , 10 209
Michoacán ,  0 ,  6 ,  9 ,  111 ,  915 , 1 235 , 3 737 ,  525 ,  635 ,  161 ,  158 ,  0 , 7 492
Morelos ,  0 ,  0 ,  4 ,  31 ,  319 ,  183 ,  452 ,  62 ,  58 ,  16 ,  26 ,  0 , 1 151
Nayarit ,  2 ,  6 ,  12 ,  16 ,  82 ,  117 ,  485 ,  95 ,  62 ,  14 ,  3 ,  0 ,  894
Nuevo León ,  1 ,  6 ,  17 ,  43 ,  252 ,  256 , 1 193 ,  197 ,  164 ,  23 ,  26 ,  0 , 2 178
Oaxaca ,  0 ,  5 ,  9 ,  23 ,  60 ,  66 ,  224 ,  42 ,  27 ,  15 ,  13 ,  0 ,  484
Puebla ,  3 ,  17 ,  22 ,  58 ,  219 ,  233 ,  499 ,  57 ,  48 ,  17 ,  11 ,  5 , 1 189
Querétaro ,  0 ,  16 ,  54 ,  428 ,  716 ,  892 , 2 745 ,  456 ,  420 ,  130 ,  123 ,  0 , 5 980
Quintana Roo ,  4 ,  10 ,  20 ,  71 ,  170 ,  195 ,  501 ,  85 ,  42 ,  16 ,  14 ,  1 , 1 129
San Luis Potosí ,  0 ,  2 ,  3 ,  14 ,  93 ,  93 ,  281 ,  48 ,  23 ,  11 ,  12 ,  0 ,  580
Sinaloa ,  1 ,  9 ,  18 ,  14 ,  26 ,  18 ,  72 ,  9 ,  8 ,  1 ,  0 ,  1 ,  177
Sonora ,  0 ,  2 ,  4 ,  6 ,  69 ,  68 ,  281 ,  66 ,  66 ,  8 ,  12 ,  0 ,  582
Tabasco ,  0 ,  2 ,  21 ,  45 ,  152 ,  155 ,  450 ,  69 ,  48 ,  11 ,  7 ,  0 ,  960
Tamaulipas ,  2 ,  5 ,  22 ,  39 ,  341 ,  394 , 1 638 ,  294 ,  251 ,  59 ,  42 ,  0 , 3 087
Tlaxcala ,  0 ,  0 ,  7 ,  31 ,  101 ,  196 ,  599 ,  91 ,  77 ,  17 ,  38 ,  0 , 1 157
Veracruz ,  1 ,  14 ,  69 ,  145 ,  258 ,  282 ,  827 ,  118 ,  125 ,  16 ,  24 ,  0 , 1 879
Yucatán ,  2 ,  7 ,  16 ,  36 ,  237 ,  280 , 1 020 ,  145 ,  127 ,  22 ,  20 ,  0 , 1 912
Zacatecas ,  0 ,  2 ,  6 ,  19 ,  156 ,  193 ,  457 ,  84 ,  90 ,  21 ,  19 ,  0 , 1 047
TOTAL GLOBAL ,  50 ,  366 ,  981 , 2 800 , 8 529 , 10 148 , 30 377 , 4 808 , 4 425 , 1 082 , 1 092 ,  17 , 64 675
