Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  2 ,  11 ,  5 ,  8 ,  16 ,  15 ,  64 ,  5 ,  12 ,  3 ,  6 ,  0 ,  147
Baja California ,  1 ,  2 ,  12 ,  6 ,  34 ,  65 ,  151 ,  30 ,  29 ,  2 ,  4 ,  1 ,  337
Baja California Sur ,  1 ,  4 ,  4 ,  7 ,  9 ,  25 ,  72 ,  8 ,  2 ,  0 ,  1 ,  0 ,  133
Campeche ,  0 ,  57 ,  313 ,  297 ,  210 ,  203 ,  672 ,  75 ,  49 ,  15 ,  14 ,  0 , 1 905
Coahuila ,  0 ,  1 ,  5 ,  1 ,  24 ,  33 ,  63 ,  7 ,  5 ,  2 ,  3 ,  0 ,  144
Colima ,  0 ,  3 ,  2 ,  2 ,  4 ,  5 ,  15 ,  3 ,  2 ,  2 ,  0 ,  0 ,  38
Chiapas ,  2 ,  7 ,  44 ,  39 ,  78 ,  91 ,  255 ,  37 ,  18 ,  6 ,  6 ,  0 ,  583
Chihuahua ,  4 ,  11 ,  23 ,  95 ,  337 ,  346 , 1 047 ,  239 ,  136 ,  33 ,  27 ,  0 , 2 298
Distrito Federal ,  1 ,  27 ,  120 ,  149 ,  116 ,  111 ,  334 ,  43 ,  54 ,  17 ,  16 ,  0 ,  988
Durango ,  0 ,  4 ,  14 ,  19 ,  40 ,  29 ,  147 ,  15 ,  17 ,  4 ,  3 ,  0 ,  292
Guanajuato ,  8 ,  45 ,  53 ,  124 ,  354 ,  419 , 1 048 ,  202 ,  175 ,  44 ,  44 ,  0 , 2 516
Guerrero ,  2 ,  7 ,  19 ,  37 ,  50 ,  44 ,  144 ,  21 ,  25 ,  3 ,  21 ,  0 ,  373
Hidalgo ,  8 ,  22 ,  94 ,  111 ,  170 ,  245 ,  818 ,  90 ,  81 ,  17 ,  22 ,  3 , 1 681
Jalisco ,  8 ,  38 ,  61 ,  82 ,  264 ,  417 , 1 398 ,  155 ,  82 ,  25 ,  58 ,  1 , 2 589
México ,  28 ,  97 ,  111 ,  80 ,  63 ,  58 ,  130 ,  27 ,  18 ,  4 ,  2 ,  0 ,  618
Michoacán ,  1 ,  2 ,  19 ,  46 ,  218 ,  231 ,  713 ,  116 ,  102 ,  25 ,  23 ,  0 , 1 496
Morelos ,  0 ,  3 ,  13 ,  16 ,  45 ,  34 ,  177 ,  12 ,  24 ,  3 ,  9 ,  0 ,  336
Nayarit ,  5 ,  27 ,  113 ,  123 ,  149 ,  138 ,  450 ,  57 ,  55 ,  12 ,  21 ,  0 , 1 150
Nuevo León ,  8 ,  41 ,  90 ,  81 ,  124 ,  170 ,  456 ,  87 ,  50 ,  14 ,  14 ,  0 , 1 135
Oaxaca ,  0 ,  6 ,  25 ,  44 ,  107 ,  112 ,  429 ,  64 ,  40 ,  12 ,  15 ,  0 ,  854
Puebla ,  1 ,  25 ,  30 ,  46 ,  72 ,  102 ,  308 ,  46 ,  46 ,  9 ,  17 ,  0 ,  702
Querétaro ,  3 ,  20 ,  49 ,  190 ,  625 ,  795 , 1 980 ,  239 ,  271 ,  77 ,  89 ,  0 , 4 338
Quintana Roo ,  0 ,  3 ,  9 ,  19 ,  25 ,  51 ,  113 ,  26 ,  22 ,  1 ,  4 ,  0 ,  273
San Luis Potosí ,  3 ,  5 ,  7 ,  12 ,  18 ,  37 ,  111 ,  13 ,  15 ,  6 ,  3 ,  0 ,  230
Sinaloa ,  10 ,  55 ,  71 ,  46 ,  25 ,  31 ,  121 ,  18 ,  15 ,  1 ,  4 ,  1 ,  398
Sonora ,  1 ,  5 ,  3 ,  6 ,  21 ,  53 ,  98 ,  21 ,  5 ,  3 ,  6 ,  0 ,  222
Tabasco ,  1 ,  10 ,  74 ,  98 ,  199 ,  155 ,  621 ,  70 ,  62 ,  8 ,  15 ,  0 , 1 313
Tamaulipas ,  4 ,  29 ,  24 ,  21 ,  128 ,  58 ,  248 ,  66 ,  67 ,  3 ,  13 ,  0 ,  661
Tlaxcala ,  0 ,  2 ,  9 ,  21 ,  57 ,  44 ,  142 ,  23 ,  10 ,  3 ,  0 ,  2 ,  313
Veracruz ,  4 ,  9 ,  39 ,  56 ,  87 ,  66 ,  247 ,  36 ,  26 ,  6 ,  8 ,  0 ,  584
Yucatán ,  6 ,  20 ,  28 ,  44 ,  206 ,  245 ,  712 ,  65 ,  72 ,  10 ,  9 ,  0 , 1 417
Zacatecas ,  1 ,  8 ,  24 ,  47 ,  151 ,  173 ,  635 ,  101 ,  85 ,  22 ,  19 ,  0 , 1 266
TOTAL GLOBAL ,  113 ,  606 , 1 507 , 1 973 , 4 026 , 4 601 , 13 919 , 2 017 , 1 672 ,  392 ,  496 ,  8 , 31 330
