Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.
Aguascalientes ,1 ,4 ,3 ,2 ,4 ,3 ,14 ,2 ,1 ,1 ,0 ,0
Baja California ,1 ,23 ,11 ,16 ,14 ,39 ,109 ,14 ,9 ,4 ,6 ,0
Baja California Sur ,0 ,3 ,4 ,4 ,10 ,18 ,66 ,2 ,3 ,0 ,0 ,0
Campeche ,0 ,3 ,7 ,8 ,30 ,83 ,186 ,15 ,8 ,2 ,4 ,0
Coahuila ,2 ,4 ,15 ,16 ,29 ,46 ,100 ,16 ,3 ,0 ,3 ,0
Colima ,1 ,1 ,3 ,0 ,2 ,2 ,10 ,1 ,0 ,0 ,0 ,0
Chiapas ,3 ,8 ,17 ,21 ,44 ,75 ,144 ,29 ,16 ,2 ,6 ,0
Chihuahua ,5 ,18 ,20 ,40 ,55 ,53 ,175 ,20 ,19 ,4 ,23 ,0
Distrito Federal ,4 ,22 ,41 ,50 ,63 ,61 ,237 ,50 ,46 ,13 ,23 ,1
Durango ,1 ,8 ,7 ,11 ,10 ,11 ,49 ,9 ,7 ,3 ,6 ,0
Guanajuato ,5 ,8 ,15 ,14 ,9 ,40 ,79 ,6 ,12 ,3 ,9 ,0
Guerrero ,4 ,10 ,16 ,16 ,29 ,29 ,83 ,19 ,17 ,15 ,6 ,0
Hidalgo ,37 ,48 ,64 ,44 ,43 ,56 ,157 ,23 ,16 ,6 ,5 ,0
Jalisco ,26 ,128 ,212 ,220 ,482 ,710 ,1349 ,383 ,253 ,132 ,54 ,1
México ,47 ,68 ,96 ,68 ,58 ,64 ,132 ,17 ,15 ,9 ,7 ,0
Michoacán ,1 ,9 ,13 ,28 ,57 ,77 ,165 ,25 ,20 ,6 ,9 ,1
Morelos ,0 ,3 ,3 ,3 ,5 ,2 ,23 ,4 ,2 ,1 ,2 ,0
Nayarit ,0 ,2 ,4 ,3 ,16 ,19 ,47 ,5 ,7 ,0 ,2 ,0
Nuevo León ,5 ,12 ,9 ,18 ,65 ,144 ,202 ,79 ,33 ,6 ,8 ,0
Oaxaca ,1 ,16 ,26 ,29 ,41 ,56 ,200 ,39 ,37 ,15 ,21 ,0
Puebla ,4 ,18 ,18 ,22 ,37 ,42 ,122 ,30 ,25 ,8 ,8 ,0
Querétaro ,0 ,3 ,10 ,12 ,16 ,24 ,76 ,11 ,8 ,3 ,9 ,0
Quintana Roo ,1 ,2 ,5 ,6 ,18 ,21 ,54 ,5 ,11 ,0 ,1 ,0
San Luis Potosi ,0 ,3 ,17 ,20 ,12 ,25 ,71 ,11 ,16 ,4 ,8 ,1
Sinaloa ,1 ,7 ,19 ,15 ,17 ,19 ,54 ,10 ,8 ,2 ,1 ,0
Sonora ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,2 ,0
Tabasco ,0 ,5 ,10 ,13 ,23 ,35 ,138 ,16 ,21 ,4 ,1 ,0
Tamaulipas ,6 ,34 ,31 ,25 ,19 ,33 ,106 ,37 ,17 ,2 ,7 ,0
Tlaxcala ,0 ,0 ,1 ,0 ,7 ,13 ,23 ,6 ,6 ,2 ,0 ,0
Veracruz ,4 ,13 ,22 ,30 ,37 ,67 ,154 ,39 ,23 ,7 ,13 ,0
Yucatán ,1 ,4 ,7 ,6 ,8 ,25 ,66 ,6 ,2 ,1 ,2 ,0
Zacatecas ,2 ,5 ,13 ,21 ,45 ,49 ,95 ,29 ,19 ,14 ,6 ,0
TOTAL GLOBAL ,163 ,492 ,739 ,781 ,1305 ,1941 ,4487 ,959 ,681 ,269 ,252 ,4
