"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,  0 ,  2 ,  4 ,  2 ,  5 ,  4 ,  15 ,  1 ,  2 ,  1 ,  1 ,  0 ,  37
Baja California ,  0 ,  3 ,  6 ,  11 ,  84 ,  172 ,  272 ,  42 ,  39 ,  10 ,  9 ,  0 ,  648
Baja California Sur ,  9 ,  20 ,  17 ,  39 ,  71 ,  102 ,  223 ,  28 ,  22 ,  5 ,  1 ,  0 ,  537
Campeche ,  3 ,  9 ,  71 ,  122 ,  236 ,  157 ,  675 ,  88 ,  69 ,  4 ,  4 ,  0 , 1 438
Coahuila ,  0 ,  4 ,  9 ,  8 ,  23 ,  22 ,  56 ,  10 ,  23 ,  8 ,  6 ,  0 ,  169
Colima ,  1 ,  2 ,  7 ,  17 ,  19 ,  40 ,  155 ,  22 ,  22 ,  1 ,  3 ,  0 ,  289
Chiapas ,  0 ,  13 ,  69 ,  118 ,  372 ,  259 ,  825 ,  110 ,  66 ,  16 ,  11 ,  0 , 1 859
Chihuahua ,  2 ,  7 ,  20 ,  187 ,  528 ,  693 , 2 369 ,  343 ,  353 ,  80 ,  71 ,  1 , 4 654
Distrito Federal ,  5 ,  21 ,  38 ,  80 ,  207 ,  146 ,  577 ,  104 ,  118 ,  31 ,  55 ,  2 , 1 384
Durango ,  0 ,  2 ,  13 ,  13 ,  110 ,  142 ,  453 ,  68 ,  33 ,  7 ,  4 ,  0 ,  845
Guanajuato ,  5 ,  30 ,  53 ,  217 , 1 117 , 1 517 , 5 902 , 1 251 , 1 303 ,  400 ,  484 ,  1 , 12 280
Guerrero ,  0 ,  5 ,  32 ,  102 ,  405 ,  493 , 1 485 ,  183 ,  184 ,  39 ,  39 ,  1 , 2 968
Hidalgo ,  6 ,  26 ,  140 ,  182 ,  267 ,  375 , 1 008 ,  129 ,  111 ,  26 ,  32 ,  0 , 2 302
Jalisco ,  7 ,  42 ,  114 ,  191 ,  510 ,  564 , 1 972 ,  268 ,  293 ,  78 ,  83 ,  7 , 4 129
México ,  32 ,  254 ,  598 ,  808 , 1 343 , 1 481 , 3 209 ,  604 ,  431 ,  142 ,  107 ,  1 , 9 010
Michoacán ,  0 ,  15 ,  51 ,  154 ,  770 ,  879 , 2 418 ,  366 ,  390 ,  122 ,  137 ,  3 , 5 305
Morelos ,  2 ,  7 ,  8 ,  27 ,  94 ,  109 ,  294 ,  44 ,  50 ,  21 ,  16 ,  0 ,  672
Nayarit ,  3 ,  5 ,  11 ,  12 ,  37 ,  53 ,  244 ,  39 ,  30 ,  7 ,  5 ,  0 ,  446
Nuevo León ,  11 ,  21 ,  31 ,  82 ,  277 ,  316 , 1 061 ,  141 ,  136 ,  37 ,  22 ,  0 , 2 135
Oaxaca ,  3 ,  15 ,  27 ,  28 ,  69 ,  74 ,  271 ,  26 ,  51 ,  8 ,  12 ,  0 ,  584
Puebla ,  2 ,  11 ,  49 ,  104 ,  224 ,  284 ,  746 ,  113 ,  86 ,  19 ,  21 ,  0 , 1 659
Querétaro ,  6 ,  33 ,  96 ,  404 ,  538 ,  670 , 1 718 ,  279 ,  279 ,  67 ,  77 ,  0 , 4 167
Quintana Roo ,  0 ,  5 ,  51 ,  74 ,  199 ,  235 ,  694 ,  116 ,  96 ,  23 ,  10 ,  0 , 1 503
San Luis Potosí ,  0 ,  0 ,  4 ,  14 ,  155 ,  124 ,  466 ,  43 ,  77 ,  6 ,  8 ,  0 ,  897
Sinaloa ,  8 ,  15 ,  35 ,  30 ,  19 ,  43 ,  105 ,  13 ,  13 ,  2 ,  3 ,  0 ,  286
Sonora ,  3 ,  5 ,  1 ,  8 ,  41 ,  80 ,  284 ,  85 ,  94 ,  11 ,  16 ,  0 ,  628
Tabasco ,  0 ,  8 ,  40 ,  125 ,  335 ,  227 ,  760 ,  80 ,  84 ,  13 ,  9 ,  0 , 1 681
Tamaulipas ,  0 ,  5 ,  8 ,  21 ,  187 ,  212 ,  716 ,  140 ,  131 ,  24 ,  20 ,  0 , 1 464
Tlaxcala ,  1 ,  7 ,  16 ,  32 ,  97 ,  115 ,  469 ,  57 ,  61 ,  12 ,  14 ,  1 ,  882
Veracruz ,  5 ,  51 ,  296 ,  487 ,  548 ,  466 , 1 356 ,  251 ,  210 ,  25 ,  43 ,  0 , 3 738
Yucatán ,  2 ,  12 ,  30 ,  48 ,  285 ,  375 , 1 326 ,  150 ,  168 ,  28 ,  26 ,  0 , 2 450
Zacatecas ,  0 ,  2 ,  5 ,  20 ,  158 ,  194 ,  566 ,  131 ,  109 ,  31 ,  28 ,  0 , 1 244
TOTAL GLOBAL ,  116 ,  657 , 1 950 , 3 767 , 9 330 , 10 623 , 32 690 , 5 325 , 5 134 , 1 304 , 1 377 ,  17 , 72 290
