Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  1 ,  4 ,  0 ,  0 ,  1 ,  0 ,  2 ,  0 ,  0 ,  0 ,  8
Baja California ,  1 ,  4 ,  2 ,  1 ,  2 ,  5 ,  6 ,  3 ,  1 ,  2 ,  0 ,  0 ,  27
Baja California Sur ,  1 ,  2 ,  2 ,  0 ,  1 ,  0 ,  4 ,  0 ,  1 ,  1 ,  0 ,  0 ,  12
Campeche ,  4 ,  45 ,  148 ,  55 ,  67 ,  20 ,  43 ,  4 ,  5 ,  1 ,  7 ,  0 ,  399
Coahuila ,  0 ,  0 ,  1 ,  1 ,  2 ,  4 ,  4 ,  1 ,  3 ,  0 ,  1 ,  0 ,  17
Colima ,  0 ,  2 ,  2 ,  5 ,  2 ,  2 ,  4 ,  1 ,  1 ,  0 ,  0 ,  0 ,  19
Chiapas ,  4 ,  2 ,  9 ,  6 ,  11 ,  7 ,  14 ,  5 ,  1 ,  1 ,  2 ,  0 ,  62
Chihuahua ,  0 ,  0 ,  3 ,  15 ,  59 ,  101 ,  302 ,  84 ,  46 ,  13 ,  9 ,  1 ,  633
Distrito Federal ,  2 ,  7 ,  34 ,  71 ,  20 ,  13 ,  13 ,  4 ,  5 ,  1 ,  4 ,  0 ,  174
Durango ,  0 ,  3 ,  1 ,  0 ,  2 ,  6 ,  14 ,  0 ,  2 ,  0 ,  0 ,  0 ,  28
Guanajuato ,  4 ,  13 ,  21 ,  9 ,  11 ,  4 ,  24 ,  4 ,  2 ,  2 ,  2 ,  0 ,  96
Guerrero ,  0 ,  7 ,  10 ,  15 ,  7 ,  6 ,  21 ,  3 ,  5 ,  0 ,  7 ,  0 ,  81
Hidalgo ,  2 ,  16 ,  49 ,  26 ,  18 ,  25 ,  75 ,  16 ,  18 ,  4 ,  8 ,  0 ,  257
Jalisco ,  4 ,  21 ,  35 ,  53 ,  85 ,  108 ,  194 ,  83 ,  45 ,  23 ,  30 ,  0 ,  681
México ,  25 ,  78 ,  69 ,  45 ,  10 ,  2 ,  6 ,  4 ,  5 ,  1 ,  2 ,  0 ,  247
Michoacán ,  2 ,  1 ,  8 ,  5 ,  21 ,  13 ,  33 ,  6 ,  11 ,  6 ,  1 ,  0 ,  107
Morelos ,  0 ,  0 ,  7 ,  2 ,  2 ,  0 ,  8 ,  0 ,  1 ,  0 ,  1 ,  0 ,  21
Nayarit ,  0 ,  5 ,  45 ,  41 ,  21 ,  17 ,  47 ,  13 ,  8 ,  1 ,  1 ,  0 ,  199
Nuevo León ,  3 ,  15 ,  44 ,  18 ,  19 ,  10 ,  52 ,  5 ,  6 ,  3 ,  3 ,  0 ,  178
Oaxaca ,  0 ,  7 ,  11 ,  13 ,  10 ,  8 ,  36 ,  7 ,  3 ,  4 ,  5 ,  0 ,  104
Puebla ,  1 ,  16 ,  5 ,  9 ,  13 ,  5 ,  24 ,  4 ,  2 ,  2 ,  0 ,  0 ,  81
Querétaro ,  1 ,  10 ,  39 ,  34 ,  24 ,  18 ,  32 ,  8 ,  10 ,  11 ,  5 ,  0 ,  192
Quintana Roo ,  0 ,  1 ,  6 ,  7 ,  4 ,  10 ,  24 ,  3 ,  2 ,  1 ,  1 ,  0 ,  59
San Luis Potosí ,  1 ,  5 ,  3 ,  1 ,  0 ,  0 ,  10 ,  3 ,  3 ,  0 ,  3 ,  0 ,  29
Sinaloa ,  4 ,  12 ,  19 ,  21 ,  8 ,  4 ,  17 ,  2 ,  7 ,  0 ,  2 ,  1 ,  97
Sonora ,  2 ,  1 ,  0 ,  2 ,  3 ,  6 ,  29 ,  14 ,  5 ,  1 ,  3 ,  0 ,  66
Tabasco ,  0 ,  1 ,  9 ,  9 ,  7 ,  7 ,  8 ,  6 ,  4 ,  2 ,  3 ,  1 ,  57
Tamaulipas ,  0 ,  0 ,  2 ,  0 ,  2 ,  0 ,  1 ,  0 ,  2 ,  0 ,  1 ,  0 ,  8
Tlaxcala ,  0 ,  0 ,  5 ,  3 ,  2 ,  0 ,  0 ,  0 ,  2 ,  0 ,  0 ,  0 ,  12
Veracruz ,  1 ,  2 ,  5 ,  9 ,  7 ,  9 ,  31 ,  5 ,  4 ,  2 ,  6 ,  0 ,  81
Yucatán ,  1 ,  2 ,  10 ,  6 ,  2 ,  5 ,  15 ,  1 ,  2 ,  0 ,  0 ,  0 ,  44
Zacatecas ,  0 ,  1 ,  18 ,  13 ,  8 ,  2 ,  12 ,  12 ,  4 ,  3 ,  3 ,  0 ,  76
T OTAL GLOBAL ,  63 ,  279 ,  623 ,  499 ,  450 ,  417 , 1 104 ,  301 ,  218 ,  85 ,  110 ,  3 , 4 152
