Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,  117 ,  3 ,  3 ,  12 ,  7 ,  14 ,  27 ,  6 ,  7 ,  18 ,  5 ,  6 ,  9
Baja California ,  313 ,  30 ,  30 ,  28 ,  12 ,  18 ,  45 ,  24 ,  20 ,  36 ,  30 ,  19 ,  21
Baja California Sur ,  120 ,  1 ,  13 ,  6 ,  10 ,  15 ,  11 ,  13 ,  13 ,  3 ,  8 ,  13 ,  14
Campeche , 1 285 ,  112 ,  92 ,  201 ,  96 ,  129 ,  122 ,  77 ,  85 ,  140 ,  90 ,  65 ,  76
Coahuila ,  125 ,  15 ,  10 ,  13 ,  10 ,  24 ,  8 ,  10 ,  4 ,  8 ,  9 ,  3 ,  11
Colima ,  31 ,  3 ,  2 ,  1 ,  2 ,  3 ,  2 ,  2 ,  7 ,  4 ,  2 ,  2 ,  1
Chiapas ,  493 ,  13 ,  35 ,  37 ,  19 ,  45 ,  72 ,  45 ,  31 ,  65 ,  56 ,  36 ,  39
Chihuahua , 1 726 ,  82 ,  90 ,  149 ,  113 ,  158 ,  188 ,  144 ,  136 ,  225 ,  181 ,  137 ,  123
Distrito Federal ,  752 ,  55 ,  52 ,  57 ,  53 ,  56 ,  98 ,  67 ,  58 ,  71 ,  62 ,  55 ,  68
Durango ,  198 ,  8 ,  12 ,  10 ,  11 ,  15 ,  23 ,  12 ,  38 ,  22 ,  20 ,  15 ,  12
Guanajuato , 2 323 ,  173 ,  192 ,  230 ,  143 ,  175 ,  189 ,  165 ,  166 ,  245 ,  228 ,  240 ,  177
Guerrero ,  283 ,  12 ,  12 ,  29 ,  23 ,  18 ,  39 ,  26 ,  28 ,  39 ,  21 ,  16 ,  20
Hidalgo , 1 401 ,  87 ,  105 ,  143 ,  102 ,  135 ,  178 ,  118 ,  115 ,  153 ,  97 ,  84 ,  84
Jalisco , 1 934 ,  173 ,  158 ,  273 ,  161 ,  175 ,  176 ,  183 ,  131 ,  155 ,  151 ,  108 ,  90
México ,  432 ,  16 ,  32 ,  54 ,  28 ,  30 ,  92 ,  44 ,  18 ,  24 ,  25 ,  36 ,  33
Michoacán , 1 444 ,  120 ,  99 ,  150 ,  168 ,  96 ,  176 ,  101 ,  89 ,  159 ,  100 ,  106 ,  80
Morelos ,  321 ,  27 ,  28 ,  52 ,  14 ,  13 ,  24 ,  33 ,  39 ,  16 ,  37 ,  26 ,  12
Nayarit ,  953 ,  103 ,  148 ,  160 ,  51 ,  71 ,  105 ,  67 ,  55 ,  58 ,  65 ,  27 ,  43
Nuevo León ,  896 ,  67 ,  105 ,  113 ,  83 ,  84 ,  135 ,  60 ,  84 ,  42 ,  44 ,  54 ,  25
Oaxaca ,  757 ,  59 ,  60 ,  87 ,  55 ,  60 ,  83 ,  52 ,  34 ,  60 ,  47 ,  53 ,  107
Puebla ,  571 ,  37 ,  37 ,  30 ,  46 ,  45 ,  50 ,  54 ,  86 ,  37 ,  50 ,  48 ,  51
Querétaro , 4 043 ,  310 ,  535 ,  491 ,  347 ,  425 ,  349 ,  186 ,  219 ,  282 ,  249 ,  467 ,  183
Quintana Roo ,  212 ,  40 ,  21 ,  15 ,  25 ,  25 ,  21 ,  12 ,  7 ,  18 ,  8 ,  13 ,  7
San Luis Potosí ,  211 ,  6 ,  30 ,  12 ,  35 ,  14 ,  13 ,  25 ,  23 ,  28 ,  8 ,  11 ,  6
Sinaloa ,  244 ,  17 ,  15 ,  39 ,  16 ,  24 ,  34 ,  17 ,  23 ,  19 ,  15 ,  16 ,  9
Sonora ,  160 ,  15 ,  13 ,  45 ,  13 ,  7 ,  12 ,  10 ,  5 ,  17 ,  15 ,  7 ,  1
Tabasco , 1 176 ,  67 ,  80 ,  119 ,  124 ,  116 ,  112 ,  64 ,  86 ,  132 ,  118 ,  77 ,  81
Tamaulipas ,  616 ,  16 ,  37 ,  129 ,  46 ,  60 ,  89 ,  22 ,  25 ,  57 ,  63 ,  49 ,  23
Tlaxcala ,  258 ,  5 ,  10 ,  24 ,  16 ,  7 ,  11 ,  12 ,  20 ,  32 ,  41 ,  46 ,  34
Veracruz ,  439 ,  23 ,  19 ,  29 ,  32 ,  17 ,  51 ,  67 ,  42 ,  59 ,  51 ,  24 ,  25
Yucatán , 1 337 ,  58 ,  72 ,  91 ,  96 ,  79 ,  160 ,  69 ,  140 ,  157 ,  163 ,  95 ,  157
Zacatecas , 1 206 ,  70 ,  125 ,  147 ,  75 ,  115 ,  131 ,  78 ,  103 ,  92 ,  139 ,  71 ,  60
TOTAL GLOBAL , 26 377 , 1 823 , 2 272 , 2 976 , 2 032 , 2 268 , 2 826 , 1 865 , 1 937 , 2 473 , 2 198 , 2 025 , 1 682
