Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,5.40 ,28 ,0 ,2 ,1 ,6 ,4 ,1 ,5 ,2 ,2 ,1 ,4 ,0
Baja California ,9.99 ,137 ,8 ,3 ,20 ,12 ,10 ,11 ,9 ,15 ,9 ,24 ,11 ,5
Baja California Sur ,33.58 ,78 ,8 ,2 ,2 ,6 ,4 ,6 ,14 ,4 ,4 ,9 ,7 ,12
Campeche ,40.81 ,151 ,10 ,14 ,16 ,15 ,14 ,17 ,12 ,9 ,4 ,14 ,9 ,17
Coahuila ,7.72 ,95 ,26 ,2 ,7 ,11 ,7 ,8 ,15 ,5 ,2 ,3 ,6 ,3
Colima ,5.21 ,15 ,4 ,0 ,1 ,0 ,1 ,2 ,0 ,0 ,0 ,3 ,1 ,3
Chiapas ,12.14 ,259 ,15 ,11 ,24 ,16 ,9 ,54 ,33 ,19 ,17 ,16 ,13 ,32
Chihuahua ,16.12 ,264 ,26 ,13 ,24 ,18 ,23 ,28 ,62 ,22 ,9 ,16 ,15 ,8
Distrito Federal ,10.15 ,458 ,32 ,39 ,32 ,47 ,26 ,43 ,32 ,51 ,35 ,55 ,42 ,24
Durango ,8.91 ,69 ,20 ,2 ,6 ,2 ,4 ,7 ,6 ,6 ,1 ,4 ,5 ,6
Guanajuato ,5.67 ,145 ,13 ,12 ,10 ,24 ,18 ,11 ,15 ,11 ,10 ,7 ,3 ,11
Guerrero ,8.05 ,131 ,9 ,21 ,6 ,18 ,7 ,11 ,6 ,12 ,7 ,11 ,16 ,7
Hidalgo ,27.96 ,334 ,24 ,30 ,28 ,40 ,30 ,31 ,29 ,29 ,31 ,31 ,19 ,12
Jalisco ,68.95 ,2324 ,128 ,147 ,124 ,197 ,158 ,220 ,262 ,185 ,226 ,312 ,195 ,170
México ,5.29 ,376 ,22 ,16 ,15 ,31 ,32 ,32 ,34 ,36 ,36 ,31 ,82 ,9
Michoacán ,13.99 ,300 ,33 ,28 ,28 ,29 ,19 ,23 ,23 ,32 ,17 ,31 ,19 ,18
Morelos ,4.03 ,34 ,0 ,2 ,3 ,3 ,2 ,4 ,3 ,4 ,2 ,4 ,1 ,6
Nayarit ,15.40 ,75 ,6 ,6 ,1 ,3 ,8 ,10 ,2 ,7 ,9 ,12 ,3 ,8
Nuevo León ,24.63 ,503 ,27 ,22 ,29 ,38 ,75 ,29 ,37 ,50 ,39 ,55 ,60 ,42
Oaxaca ,19.25 ,359 ,25 ,25 ,23 ,38 ,25 ,30 ,33 ,22 ,41 ,39 ,27 ,31
Puebla ,8.81 ,242 ,15 ,17 ,16 ,23 ,12 ,12 ,16 ,22 ,20 ,27 ,47 ,15
Querétaro ,13.77 ,107 ,8 ,7 ,6 ,21 ,6 ,13 ,9 ,8 ,6 ,12 ,8 ,3
Quintana Roo ,18.75 ,92 ,6 ,13 ,10 ,6 ,12 ,5 ,13 ,2 ,9 ,4 ,5 ,7
San Luis Potosi ,11.08 ,134 ,14 ,8 ,11 ,12 ,15 ,23 ,11 ,16 ,9 ,8 ,5 ,2
Sinaloa ,8.86 ,119 ,12 ,10 ,15 ,7 ,7 ,10 ,9 ,13 ,9 ,15 ,10 ,2
Sonora ,0.34 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0
Tabasco ,18.41 ,185 ,35 ,23 ,11 ,13 ,10 ,16 ,14 ,14 ,30 ,8 ,7 ,4
Tamaulipas ,12.68 ,192 ,13 ,8 ,25 ,15 ,22 ,22 ,33 ,30 ,5 ,15 ,3 ,1
Tlaxcala ,8.60 ,45 ,1 ,4 ,4 ,4 ,5 ,8 ,3 ,6 ,2 ,1 ,5 ,2
Veracruz ,7.44 ,272 ,12 ,30 ,20 ,22 ,26 ,18 ,23 ,14 ,14 ,34 ,44 ,15
Yucatán ,9.19 ,81 ,5 ,6 ,2 ,8 ,2 ,3 ,6 ,3 ,10 ,13 ,10 ,13
Zacatecas ,32.49 ,235 ,7 ,3 ,12 ,23 ,24 ,18 ,16 ,10 ,27 ,36 ,28 ,31
TOTAL GLOBAL ,14.98 ,7843 ,564 ,526 ,532 ,708 ,617 ,726 ,785 ,663 ,642 ,851 ,710 ,519
