Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,13.69 ,79 ,4 ,9 ,7 ,9 ,3 ,5 ,3 ,8 ,18 ,5 ,6 ,2
Baja California ,20.55 ,303 ,33 ,23 ,29 ,23 ,28 ,43 ,35 ,32 ,12 ,13 ,11 ,21
Baja California Sur ,58.59 ,154 ,8 ,9 ,6 ,16 ,14 ,3 ,23 ,20 ,18 ,7 ,11 ,19
Campeche ,188.03 ,746 ,38 ,44 ,45 ,102 ,60 ,52 ,62 ,56 ,83 ,67 ,37 ,100
Coahuila ,8.38 ,109 ,2 ,8 ,4 ,7 ,5 ,7 ,5 ,13 ,10 ,18 ,16 ,14
Colima ,33.84 ,100 ,0 ,16 ,7 ,1 ,11 ,5 ,20 ,3 ,2 ,19 ,8 ,8
Chiapas ,7.95 ,180 ,23 ,22 ,13 ,21 ,10 ,7 ,22 ,16 ,12 ,19 ,9 ,6
Chihuahua ,98.30 ,1 623 ,76 ,109 ,122 ,257 ,112 ,192 ,185 ,85 ,136 ,109 ,128 ,112
Distrito Federal ,16.17 ,738 ,52 ,68 ,76 ,93 ,74 ,51 ,46 ,39 ,74 ,46 ,63 ,56
Durango ,14.15 ,111 ,5 ,3 ,1 ,10 ,10 ,21 ,10 ,10 ,14 ,10 ,14 ,3
Guanajuato ,41.66 ,1 094 ,60 ,112 ,78 ,113 ,80 ,78 ,112 ,62 ,124 ,80 ,94 ,101
Guerrero ,18.73 ,305 ,20 ,54 ,21 ,60 ,25 ,12 ,23 ,33 ,12 ,10 ,14 ,21
Hidalgo ,132.17 ,1 654 ,84 ,119 ,242 ,169 ,116 ,162 ,178 ,155 ,112 ,103 ,121 ,93
Jalisco ,55.64 ,1 966 ,191 ,172 ,180 ,209 ,154 ,173 ,254 ,144 ,186 ,113 ,85 ,105
México ,5.74 ,421 ,25 ,48 ,26 ,32 ,50 ,55 ,60 ,16 ,40 ,29 ,16 ,24
Michoacán ,49.58 ,1 026 ,33 ,62 ,70 ,111 ,56 ,67 ,137 ,102 ,143 ,46 ,70 ,129
Morelos ,16.24 ,138 ,10 ,17 ,12 ,7 ,8 ,17 ,20 ,9 ,11 ,7 ,8 ,12
Nayarit ,166.60 ,810 ,52 ,64 ,49 ,76 ,58 ,52 ,65 ,53 ,70 ,108 ,78 ,85
Nuevo León ,37.98 ,829 ,36 ,91 ,30 ,53 ,100 ,33 ,129 ,29 ,72 ,102 ,84 ,70
Oaxaca ,43.38 ,805 ,53 ,53 ,66 ,87 ,45 ,42 ,139 ,90 ,49 ,65 ,66 ,50
Puebla ,15.61 ,452 ,40 ,15 ,58 ,76 ,36 ,33 ,56 ,20 ,28 ,13 ,18 ,59
Querétaro ,378.09 ,3 262 ,72 ,39 ,86 ,246 ,272 ,143 ,335 ,234 ,340 ,501 ,406 ,588
Quintana Roo ,42.26 ,265 ,9 ,25 ,21 ,35 ,34 ,19 ,25 ,11 ,25 ,12 ,23 ,26
San Luis Potosí ,10.29 ,131 ,6 ,13 ,12 ,18 ,12 ,6 ,7 ,7 ,11 ,17 ,10 ,12
Sinaloa ,29.73 ,391 ,23 ,41 ,10 ,37 ,40 ,28 ,20 ,23 ,31 ,48 ,32 ,58
Sonora ,14.03 ,172 ,14 ,16 ,16 ,24 ,9 ,21 ,18 ,12 ,11 ,9 ,7 ,15
Tabasco ,43.67 ,452 ,19 ,44 ,18 ,18 ,29 ,52 ,35 ,61 ,57 ,35 ,45 ,39
Tamaulipas ,3.49 ,55 ,0 ,3 ,5 ,4 ,6 ,4 ,12 ,5 ,6 ,3 ,4 ,3
Tlaxcala ,27.43 ,158 ,18 ,13 ,18 ,20 ,14 ,13 ,11 ,13 ,13 ,10 ,7 ,8
Veracruz ,8.12 ,306 ,13 ,28 ,21 ,22 ,27 ,29 ,39 ,32 ,22 ,24 ,16 ,33
Yucatán ,105.00 ,1 002 ,71 ,59 ,71 ,129 ,78 ,96 ,83 ,74 ,80 ,99 ,35 ,127
Zacatecas ,268.97 ,1 918 ,97 ,235 ,128 ,272 ,262 ,176 ,185 ,81 ,118 ,119 ,144 ,101
TOTAL GLOBAL ,40.13 ,21 755 ,1 187 ,1 634 ,1 548 ,2 357 ,1 838 ,1 697 ,2 354 ,1 548 ,1 940 ,1 866 ,1 686 ,2 100
