"","",Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,  32 ,  2 ,  3 ,  4 ,  3 ,  3 ,  2 ,  1 ,  0 ,  3 ,  5 ,  3 ,  3
Baja California ,  616 ,  21 ,  65 ,  80 ,  182 ,  97 ,  39 ,  29 ,  28 ,  25 ,  12 ,  19 ,  19
Baja California Sur ,  475 ,  38 ,  48 ,  44 ,  41 ,  51 ,  52 ,  64 ,  32 ,  33 ,  46 ,  4 ,  22
Campeche , 1 263 ,  98 ,  83 ,  84 ,  108 ,  175 ,  86 ,  197 ,  85 ,  37 ,  150 ,  99 ,  61
Coahuila ,  132 ,  5 ,  5 ,  5 ,  4 ,  14 ,  62 ,  9 ,  6 ,  4 ,  9 ,  8 ,  1
Colima ,  269 ,  24 ,  9 ,  3 ,  44 ,  22 ,  74 ,  24 ,  9 ,  32 ,  7 ,  4 ,  17
Chiapas , 1 737 ,  181 ,  130 ,  153 ,  159 ,  228 ,  172 ,  114 ,  95 ,  100 ,  184 ,  164 ,  57
Chihuahua , 3 358 ,  235 ,  263 ,  217 ,  278 ,  341 ,  314 ,  349 ,  254 ,  332 ,  388 ,  219 ,  168
Distrito Federal , 1 221 ,  72 ,  80 ,  95 ,  90 ,  106 ,  126 ,  107 ,  98 ,  93 ,  158 ,  118 ,  78
Durango ,  703 ,  79 ,  65 ,  40 ,  78 ,  91 ,  50 ,  49 ,  49 ,  53 ,  79 ,  48 ,  22
Guanajuato , 11 855 ,  954 ,  778 ,  868 ,  811 ,  976 ,  819 , 1 126 , 1 068 , 1 338 , 1 391 , 1 031 ,  695
Guerrero , 2 840 ,  247 ,  264 ,  301 ,  262 ,  395 ,  232 ,  202 ,  149 ,  143 ,  287 ,  213 ,  145
Hidalgo , 1 897 ,  149 ,  222 ,  165 ,  215 ,  142 ,  203 ,  174 ,  154 ,  115 ,  208 ,  79 ,  71
Jalisco , 3 363 ,  275 ,  270 ,  266 ,  309 ,  377 ,  250 ,  276 ,  285 ,  266 ,  377 ,  244 ,  168
México , 7 845 ,  310 ,  331 ,  326 ,  410 ,  574 ,  629 ,  647 , 1 047 , 1 058 , 1 231 ,  740 ,  542
Michoacán , 5 156 ,  472 ,  371 ,  370 ,  439 ,  948 ,  529 ,  508 ,  317 ,  281 ,  385 ,  321 ,  215
Morelos ,  626 ,  71 ,  36 ,  58 ,  34 ,  45 ,  45 ,  44 ,  60 ,  80 ,  83 ,  51 ,  19
Nayarit ,  422 ,  76 ,  49 ,  33 ,  26 ,  40 ,  32 ,  29 ,  9 ,  21 ,  37 ,  56 ,  14
Nuevo León , 2 075 ,  148 ,  232 ,  223 ,  202 ,  246 ,  202 ,  111 ,  144 ,  164 ,  193 ,  164 ,  46
Oaxaca ,  522 ,  54 ,  56 ,  50 ,  52 ,  43 ,  55 ,  55 ,  36 ,  24 ,  41 ,  31 ,  25
Puebla , 1 513 ,  112 ,  109 ,  131 ,  170 ,  199 ,  140 ,  132 ,  110 ,  113 ,  146 ,  82 ,  69
Querétaro , 3 745 ,  244 ,  202 ,  289 ,  322 ,  485 ,  281 ,  413 ,  461 ,  284 ,  376 ,  241 ,  147
Quintana Roo , 1 324 ,  62 ,  87 ,  83 ,  128 ,  169 ,  130 ,  109 ,  106 ,  79 ,  154 ,  112 ,  105
San Luis Potosí ,  881 ,  75 ,  118 ,  112 ,  114 ,  73 ,  37 ,  60 ,  95 ,  69 ,  52 ,  45 ,  31
Sinaloa ,  234 ,  18 ,  26 ,  14 ,  30 ,  18 ,  31 ,  13 ,  26 ,  18 ,  19 ,  14 ,  7
Sonora ,  567 ,  42 ,  50 ,  60 ,  25 ,  42 ,  56 ,  58 ,  61 ,  49 ,  68 ,  39 ,  17
Tabasco , 1 555 ,  127 ,  153 ,  145 ,  141 ,  163 ,  142 ,  162 ,  119 ,  120 ,  153 ,  98 ,  32
Tamaulipas , 1 426 ,  140 ,  177 ,  145 ,  141 ,  154 ,  117 ,  95 ,  104 ,  72 ,  132 ,  106 ,  43
Tlaxcala ,  847 ,  46 ,  50 ,  43 ,  64 ,  126 ,  71 ,  92 ,  48 ,  45 ,  69 ,  74 ,  119
Veracruz , 3 313 ,  177 ,  199 ,  158 ,  228 ,  367 ,  335 ,  426 ,  296 ,  389 ,  389 ,  192 ,  157
Yucatán , 2 398 ,  154 ,  185 ,  244 ,  184 ,  242 ,  187 ,  221 ,  217 ,  235 ,  249 ,  153 ,  127
Zacatecas , 1 209 ,  61 ,  91 ,  95 ,  112 ,  115 ,  137 ,  83 ,  81 ,  110 ,  184 ,  90 ,  50
TOTAL GLOBAL , 65 419 , 4 769 , 4 807 , 4 904 , 5 406 , 7 067 , 5 637 , 5 979 , 5 649 , 5 785 , 7 262 , 4 862 , 3 292
