Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,7.09 ,  74 ,  0 ,  0 ,  5 ,  11 ,  3 ,  8 ,  6 ,  7 ,  7 ,  13 ,  13 ,  1
Baja California ,6.31 ,  186 ,  30 ,  11 ,  9 ,  11 ,  16 ,  18 ,  6 ,  40 ,  19 ,  10 ,  7 ,  9
Baja California Sur ,37.20 ,  187 ,  14 ,  12 ,  20 ,  17 ,  15 ,  11 ,  14 ,  15 ,  14 ,  22 ,  23 ,  10
Campeche ,29.52 ,  229 ,  22 ,  12 ,  32 ,  18 ,  33 ,  11 ,  12 ,  21 ,  23 ,  10 ,  19 ,  16
Coahuila ,2.67 ,  68 ,  3 ,  3 ,  2 ,  4 ,  18 ,  4 ,  4 ,  13 ,  7 ,  4 ,  4 ,  2
Colima ,8.46 ,  50 ,  3 ,  5 ,  5 ,  5 ,  5 ,  7 ,  3 ,  5 ,  4 ,  2 ,  4 ,  2
Chiapas ,9.33 ,  412 ,  29 ,  42 ,  36 ,  30 ,  35 ,  29 ,  45 ,  35 ,  36 ,  39 ,  32 ,  24
Chihuahua ,34.73 , 1 192 ,  80 ,  96 ,  118 ,  113 ,  158 ,  104 ,  65 ,  115 ,  135 ,  72 ,  100 ,  36
Distrito Federal ,8.52 ,  751 ,  38 ,  64 ,  84 ,  64 ,  61 ,  33 ,  46 ,  76 ,  68 ,  75 ,  67 ,  75
Durango ,5.40 ,  84 ,  8 ,  2 ,  8 ,  6 ,  13 ,  12 ,  7 ,  6 ,  9 ,  5 ,  7 ,  1
Guanajuato ,2.53 ,  128 ,  4 ,  18 ,  9 ,  6 ,  17 ,  12 ,  11 ,  7 ,  13 ,  10 ,  13 ,  8
Guerrero ,5.34 ,  174 ,  12 ,  14 ,  16 ,  5 ,  25 ,  20 ,  13 ,  20 ,  14 ,  14 ,  11 ,  10
Hidalgo ,37.28 ,  891 ,  54 ,  51 ,  48 ,  57 ,  75 ,  71 ,  38 ,  84 ,  74 ,  75 ,  83 ,  181
Jalisco ,64.86 , 4 420 ,  209 ,  281 ,  338 ,  348 ,  449 ,  426 ,  350 ,  449 ,  398 ,  381 ,  468 ,  323
México ,4.00 ,  587 ,  42 ,  31 ,  69 ,  53 ,  76 ,  57 ,  38 ,  62 ,  36 ,  45 ,  60 ,  18
Michoacán ,12.07 ,  510 ,  20 ,  53 ,  38 ,  24 ,  53 ,  63 ,  39 ,  59 ,  37 ,  42 ,  43 ,  39
Morelos ,17.41 ,  299 ,  15 ,  40 ,  15 ,  22 ,  23 ,  7 ,  39 ,  39 ,  38 ,  24 ,  27 ,  10
Nayarit ,39.99 ,  399 ,  34 ,  39 ,  56 ,  30 ,  9 ,  6 ,  17 ,  19 ,  8 ,  73 ,  77 ,  31
Nuevo León ,9.52 ,  404 ,  33 ,  29 ,  27 ,  40 ,  49 ,  24 ,  32 ,  30 ,  33 ,  34 ,  36 ,  37
Oaxaca ,10.68 ,  397 ,  21 ,  30 ,  44 ,  37 ,  49 ,  22 ,  25 ,  35 ,  39 ,  17 ,  43 ,  35
Puebla ,5.69 ,  315 ,  10 ,  16 ,  13 ,  37 ,  20 ,  45 ,  42 ,  19 ,  41 ,  19 ,  44 ,  9
Querétaro ,5.43 ,  87 ,  4 ,  9 ,  11 ,  9 ,  5 ,  10 ,  8 ,  13 ,  8 ,  4 ,  4 ,  2
Quintana Roo ,17.59 ,  192 ,  6 ,  12 ,  18 ,  14 ,  26 ,  19 ,  16 ,  31 ,  12 ,  12 ,  18 ,  8
San Luis Potosí ,3.74 ,  90 ,  6 ,  8 ,  9 ,  6 ,  12 ,  4 ,  6 ,  13 ,  8 ,  3 ,  8 ,  7
Sinaloa ,4.40 ,  122 ,  3 ,  17 ,  10 ,  20 ,  5 ,  6 ,  6 ,  14 ,  14 ,  14 ,  12 ,  1
Sonora ,3.58 ,  89 ,  1 ,  0 ,  4 ,  1 ,  4 ,  0 ,  6 ,  22 ,  21 ,  15 ,  10 ,  5
Tabasco ,17.64 ,  365 ,  19 ,  16 ,  32 ,  68 ,  35 ,  19 ,  28 ,  25 ,  33 ,  33 ,  36 ,  21
Tamaulipas ,3.03 ,  96 ,  12 ,  11 ,  4 ,  6 ,  6 ,  6 ,  3 ,  7 ,  26 ,  9 ,  3 ,  3
Tlaxcala ,24.81 ,  266 ,  15 ,  15 ,  27 ,  21 ,  5 ,  50 ,  40 ,  16 ,  16 ,  14 ,  34 ,  13
Veracruz ,3.34 ,  244 ,  11 ,  12 ,  30 ,  24 ,  21 ,  18 ,  35 ,  22 ,  19 ,  12 ,  21 ,  19
Yucatán ,8.69 ,  157 ,  14 ,  11 ,  15 ,  5 ,  14 ,  13 ,  12 ,  10 ,  15 ,  17 ,  23 ,  8
Zacatecas ,15.39 ,  218 ,  15 ,  4 ,  21 ,  13 ,  16 ,  14 ,  23 ,  23 ,  20 ,  17 ,  28 ,  24
TOTAL GLOBAL ,12.85 , 13 683 ,  787 ,  964 , 1 173 , 1 125 , 1 351 , 1 149 , 1 035 , 1 352 , 1 245 , 1 136 , 1 378 ,  988
