Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,11.66 ,  129 ,  26 ,  15 ,  3 ,  4 ,  8 ,  12 ,  16 ,  9 ,  3 ,  17 ,  7 ,  9
Baja California ,11.49 ,  344 ,  14 ,  18 ,  7 ,  30 ,  51 ,  42 ,  57 ,  23 ,  37 ,  40 ,  17 ,  8
Baja California Sur ,23.44 ,  126 ,  17 ,  5 ,  9 ,  7 ,  6 ,  8 ,  22 ,  14 ,  7 ,  16 ,  5 ,  10
Campeche ,56.46 ,  439 ,  12 ,  6 ,  13 ,  15 ,  6 ,  53 ,  46 ,  61 ,  83 ,  77 ,  49 ,  18
Coahuila ,4.51 ,  116 ,  16 ,  12 ,  12 ,  6 ,  7 ,  11 ,  19 ,  8 ,  6 ,  6 ,  7 ,  6
Colima ,40.31 ,  236 ,  35 ,  46 ,  36 ,  2 ,  46 ,  16 ,  14 ,  11 ,  16 ,  12 ,  1 ,  1
Chiapas ,6.69 ,  295 ,  28 ,  30 ,  37 ,  31 ,  19 ,  18 ,  31 ,  19 ,  26 ,  29 ,  19 ,  8
Chihuahua ,52.00 , 1 730 ,  38 ,  55 ,  182 ,  127 ,  186 ,  196 ,  150 ,  178 ,  212 ,  185 ,  115 ,  106
Distrito Federal ,19.13 , 1 689 ,  170 ,  154 ,  145 ,  131 ,  139 ,  140 ,  170 ,  114 ,  99 ,  173 ,  146 ,  108
Durango ,5.92 ,  91 ,  8 ,  9 ,  6 ,  10 ,  9 ,  11 ,  11 ,  7 ,  3 ,  6 ,  11 ,  0
Guanajuato ,18.64 ,  931 ,  72 ,  80 ,  55 ,  70 ,  93 ,  69 ,  101 ,  69 ,  57 ,  175 ,  62 ,  28
Guerrero ,16.95 ,  534 ,  20 ,  35 ,  41 ,  30 ,  49 ,  27 ,  46 ,  22 ,  34 ,  61 ,  141 ,  28
Hidalgo ,68.61 , 1 644 ,  145 ,  132 ,  108 ,  147 ,  191 ,  196 ,  177 ,  140 ,  124 ,  144 ,  94 ,  46
Jalisco ,41.94 , 2 895 ,  173 ,  183 ,  192 ,  258 ,  193 ,  262 ,  325 ,  195 ,  284 ,  277 ,  265 ,  288
México ,6.12 ,  884 ,  48 ,  61 ,  64 ,  59 ,  98 ,  64 ,  65 ,  81 ,  124 ,  95 ,  85 ,  40
Michoacán ,17.71 ,  707 ,  24 ,  40 ,  49 ,  75 ,  71 ,  46 ,  59 ,  59 ,  73 ,  94 ,  68 ,  49
Morelos ,16.01 ,  264 ,  16 ,  18 ,  39 ,  11 ,  100 ,  4 ,  27 ,  13 ,  10 ,  5 ,  2 ,  19
Nayarit ,101.21 ,  976 ,  70 ,  109 ,  73 ,  103 ,  111 ,  55 ,  70 ,  76 ,  70 ,  121 ,  73 ,  45
Nuevo León ,22.94 ,  995 ,  48 ,  86 ,  110 ,  78 ,  31 ,  80 ,  87 ,  109 ,  98 ,  133 ,  72 ,  63
Oaxaca ,23.13 ,  822 ,  57 ,  60 ,  57 ,  66 ,  79 ,  70 ,  82 ,  79 ,  73 ,  103 ,  65 ,  31
Puebla ,15.15 ,  839 ,  30 ,  61 ,  81 ,  80 ,  53 ,  88 ,  129 ,  99 ,  72 ,  79 ,  44 ,  23
Querétaro ,31.94 ,  530 ,  1 ,  5 ,  9 ,  26 ,  51 ,  27 ,  56 ,  112 ,  81 ,  69 ,  43 ,  50
Quintana Roo ,14.01 ,  171 ,  24 ,  17 ,  15 ,  14 ,  2 ,  5 ,  12 ,  11 ,  21 ,  33 ,  2 ,  15
San Luis Potosí ,4.75 ,  117 ,  5 ,  4 ,  15 ,  19 ,  14 ,  8 ,  14 ,  12 ,  8 ,  8 ,  5 ,  5
Sinaloa ,11.35 ,  300 ,  35 ,  11 ,  13 ,  13 ,  13 ,  12 ,  41 ,  26 ,  42 ,  28 ,  38 ,  28
Sonora ,11.08 ,  273 ,  14 ,  15 ,  27 ,  30 ,  25 ,  20 ,  32 ,  32 ,  34 ,  19 ,  10 ,  15
Tabasco ,18.53 ,  376 ,  29 ,  24 ,  35 ,  31 ,  39 ,  53 ,  63 ,  21 ,  29 ,  27 ,  9 ,  16
Tamaulipas ,1.89 ,  59 ,  6 ,  3 ,  0 ,  4 ,  4 ,  4 ,  7 ,  4 ,  5 ,  11 ,  6 ,  5
Tlaxcala ,21.46 ,  237 ,  14 ,  9 ,  29 ,  3 ,  20 ,  35 ,  24 ,  19 ,  27 ,  17 ,  32 ,  8
Veracruz ,5.26 ,  381 ,  26 ,  16 ,  23 ,  21 ,  29 , 29 ,  65 ,  46 ,  43 ,  36 ,  22 ,  25
Yucatán ,43.54 ,  816 ,  47 ,  45 ,  53 ,  66 ,  76 ,  71 ,  46 ,  84 ,  82 ,  117 ,  77 ,  52
Zacatecas ,98.73 , 1 365 ,  73 ,  100 ,  99 ,  114 ,  102 ,  127 ,  161 ,  114 ,  120 ,  162 ,  113 ,  80
TOTAL GLOBAL ,20.14 , 21 311 , 1 341 , 1 464 , 1 637 , 1 681 , 1 921 , 1 859 , 2 225 , 1 867 , 2 003 , 2 375 , 1 705 , 1 233
