Estado ,Total,"","","","","","","","","","","",""
"","",ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,  63 ,  7 ,  5 ,  10 ,  12 ,  13 ,  3 ,  2 ,  5 ,  1 ,  0 ,  0 ,  5
Baja California ,  944 ,  73 ,  126 ,  120 ,  67 ,  56 ,  62 ,  39 ,  85 ,  86 ,  57 ,  107 ,  66
Baja California Sur ,  325 ,  1 ,  7 ,  2 ,  14 ,  8 ,  26 ,  27 ,  25 ,  36 ,  86 ,  64 ,  29
Campeche , 1 176 ,  68 ,  98 ,  109 ,  161 ,  87 ,  162 ,  79 ,  105 ,  19 ,  188 ,  77 ,  23
Coahuila ,  75 ,  7 ,  4 ,  7 ,  12 ,  8 ,  7 ,  10 ,  11 ,  2 ,  3 ,  3 ,  1
Colima ,  396 ,  24 ,  51 ,  51 ,  68 ,  22 ,  24 ,  53 ,  34 ,  28 ,  7 ,  11 ,  23
Chiapas , 1 034 ,  39 ,  42 ,  94 ,  66 ,  68 ,  91 ,  67 ,  124 ,  113 ,  121 ,  107 ,  102
Chihuahua , 4 548 ,  221 ,  281 ,  389 ,  348 ,  352 ,  575 ,  504 ,  469 ,  552 ,  340 ,  298 ,  219
Distrito Federal , 1 589 ,  98 ,  84 ,  131 ,  125 ,  457 ,  143 ,  84 ,  106 ,  107 ,  86 ,  108 ,  60
Durango ,  594 ,  37 ,  48 ,  53 ,  31 ,  38 ,  48 ,  62 ,  54 ,  57 ,  92 ,  52 ,  22
Guanajuato , 8 222 ,  465 ,  645 ,  851 ,  665 ,  490 ,  770 ,  484 ,  565 ,  431 ,  596 , 1 019 , 1 241
Guerrero , 1 888 ,  24 ,  21 ,  81 ,  134 ,  131 ,  146 ,  92 ,  104 ,  103 ,  158 ,  843 ,  51
Hidalgo , 1 859 ,  79 ,  129 ,  164 ,  139 ,  150 ,  234 ,  119 ,  173 ,  175 ,  202 ,  221 ,  74
Jalisco , 3 360 ,  197 ,  219 ,  331 ,  236 ,  336 ,  410 ,  283 ,  353 ,  312 ,  246 ,  270 ,  167
México , 3 856 ,  160 ,  347 ,  424 ,  259 ,  311 ,  444 ,  205 ,  415 ,  293 ,  378 ,  336 ,  284
Michoacán , 3 914 ,  128 ,  183 ,  497 ,  255 ,  364 ,  535 ,  355 ,  482 ,  330 ,  318 ,  320 ,  147
Morelos ,  952 ,  18 ,  28 ,  54 ,  27 ,  90 ,  21 ,  132 ,  59 ,  174 ,  188 ,  72 ,  89
Nayarit ,  491 ,  33 ,  57 ,  78 ,  41 ,  20 ,  49 ,  26 ,  84 ,  30 ,  27 ,  37 ,  9
Nuevo León , 1 853 ,  150 ,  102 ,  198 ,  210 ,  188 ,  292 ,  185 ,  194 ,  211 ,  62 ,  54 ,  7
Oaxaca ,  952 ,  60 ,  66 ,  105 ,  78 ,  61 ,  107 ,  79 ,  126 ,  81 ,  51 ,  80 ,  58
Puebla , 1 361 ,  77 ,  74 ,  143 ,  49 ,  89 ,  157 ,  102 ,  133 ,  140 ,  119 ,  158 ,  120
Querétaro , 4 133 ,  235 ,  414 ,  561 ,  237 ,  215 ,  223 ,  222 ,  511 ,  388 ,  583 ,  313 ,  231
Quintana Roo , 1 410 ,  90 ,  160 ,  176 ,  125 ,  114 ,  200 ,  147 ,  97 ,  46 ,  85 ,  60 ,  110
San Luis Potosí ,  917 ,  50 ,  41 ,  52 ,  89 ,  85 ,  82 ,  42 ,  185 ,  95 ,  87 ,  54 ,  55
Sinaloa ,  388 ,  26 ,  39 ,  44 ,  23 ,  25 ,  42 ,  25 ,  48 ,  48 ,  37 ,  25 ,  6
Sonora ,  332 ,  22 ,  29 ,  47 ,  24 ,  20 ,  39 ,  18 ,  32 ,  22 ,  24 ,  38 ,  17
Tabasco , 1 892 ,  135 ,  197 ,  191 ,  122 ,  165 ,  208 ,  140 ,  166 ,  171 ,  181 ,  143 ,  73
Tamaulipas , 1 204 ,  59 ,  207 ,  119 ,  81 ,  91 ,  112 ,  102 ,  83 ,  67 ,  101 ,  126 ,  56
Tlaxcala ,  504 ,  29 ,  41 ,  72 ,  54 ,  27 ,  70 ,  44 ,  26 ,  37 ,  42 ,  49 ,  13
Veracruz , 1 210 ,  32 ,  41 ,  151 ,  93 ,  81 ,  178 ,  115 ,  105 ,  93 ,  116 ,  169 ,  36
Yucatán , 2 646 ,  181 ,  193 ,  280 ,  216 ,  218 ,  265 ,  240 ,  250 ,  224 ,  274 ,  188 ,  117
Zacatecas , 1 024 ,  37 ,  76 ,  98 ,  91 ,  104 ,  113 ,  74 ,  104 ,  100 ,  89 ,  95 ,  43
TOTAL GLOBAL , 55 112 , 2 862 , 4 055 , 5 683 , 4 152 , 4 484 , 5 838 , 4 158 , 5 313 , 4 572 , 4 944 , 5 497 , 3 554
