"","",ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,  36 ,  2 ,  1 ,  2 ,  5 ,  6 ,  2 ,  6 ,  2 ,  3 ,  1 ,  5 ,  1
Baja California , 1 171 ,  128 ,  137 ,  99 ,  102 ,  86 ,  96 ,  187 ,  80 ,  61 ,  106 ,  59 ,  30
Baja California Sur ,  881 ,  40 ,  44 ,  50 ,  89 ,  113 ,  91 ,  106 ,  53 ,  59 ,  112 ,  80 ,  44
Campeche , 1 826 ,  127 ,  123 ,  250 ,  147 ,  211 ,  241 ,  194 ,  142 ,  111 ,  68 ,  137 ,  75
Coahuila ,  122 ,  6 ,  6 ,  8 ,  11 ,  23 ,  12 ,  16 ,  4 ,  7 ,  14 ,  2 ,  13
Colima ,  398 ,  33 ,  51 ,  6 ,  31 ,  48 ,  36 ,  43 ,  28 ,  40 ,  41 ,  12 ,  29
Chiapas , 2 309 ,  182 ,  138 ,  126 ,  178 ,  231 ,  188 ,  327 ,  210 ,  201 ,  260 ,  155 ,  113
Chihuahua , 4 556 ,  419 ,  380 ,  508 ,  371 ,  489 ,  355 ,  377 ,  371 ,  328 ,  453 ,  301 ,  204
Distrito Federal , 1 479 ,  88 ,  80 ,  117 ,  151 ,  180 ,  131 ,  132 ,  141 ,  116 ,  160 ,  94 ,  89
Durango ,  887 ,  64 ,  55 ,  67 ,  58 ,  107 ,  83 ,  99 ,  75 ,  69 ,  70 ,  98 ,  42
Guanajuato , 11 223 ,  685 ,  836 ,  723 ,  816 , 1 031 , 1 100 , 1 135 ,  747 ,  981 , 1 043 , 1 213 ,  913
Guerrero , 1 993 ,  143 ,  181 ,  167 ,  142 ,  177 ,  126 ,  138 ,  112 ,  132 ,  253 ,  191 ,  231
Hidalgo , 2 096 ,  155 ,  186 ,  161 ,  141 ,  170 ,  234 ,  179 ,  127 ,  201 ,  242 ,  200 ,  100
Jalisco , 4 010 ,  236 ,  292 ,  236 ,  275 ,  519 ,  411 ,  437 ,  362 ,  332 ,  366 ,  351 ,  193
México , 4 560 ,  300 ,  376 ,  266 ,  246 ,  233 ,  258 ,  447 ,  407 ,  595 ,  657 ,  628 ,  147
Michoacán , 4 944 ,  428 ,  339 ,  398 ,  397 ,  545 ,  465 ,  468 ,  324 ,  386 ,  510 ,  403 ,  281
Morelos ,  975 ,  44 ,  83 ,  50 ,  48 ,  72 ,  189 ,  108 ,  81 ,  55 ,  91 ,  66 ,  88
Nayarit ,  951 ,  36 ,  107 ,  71 ,  44 ,  89 ,  87 ,  99 ,  195 ,  126 ,  32 ,  47 ,  18
Nuevo León , 1 434 ,  166 ,  148 ,  87 ,  93 ,  71 ,  129 ,  136 ,  136 ,  118 ,  197 ,  122 ,  31
Oaxaca ,  845 ,  61 ,  87 ,  96 ,  62 ,  94 ,  90 ,  96 ,  60 ,  43 ,  64 ,  68 ,  24
Puebla , 1 976 ,  95 ,  92 ,  142 ,  91 ,  197 ,  255 ,  212 ,  116 ,  162 ,  221 ,  252 ,  141
Querétaro , 5 336 ,  379 ,  340 ,  564 ,  717 ,  507 ,  249 ,  428 ,  366 ,  649 ,  681 ,  323 ,  133
Quintana Roo , 1 512 ,  250 ,  177 ,  163 ,  146 ,  108 ,  95 ,  171 ,  86 ,  107 ,  105 ,  58 ,  46
San Luis Potosí , 1 596 ,  171 ,  104 ,  193 ,  121 ,  193 ,  152 ,  96 ,  136 ,  153 ,  145 ,  43 ,  89
Sinaloa ,  336 ,  28 ,  12 ,  40 ,  24 ,  26 ,  37 ,  20 ,  35 ,  56 ,  34 ,  19 ,  5
Sonora ,  550 ,  47 ,  25 ,  28 ,  21 ,  49 ,  37 ,  46 ,  33 ,  77 ,  115 ,  32 ,  40
Tabasco , 1 985 ,  175 ,  166 ,  213 ,  150 ,  220 ,  208 ,  212 ,  129 ,  144 ,  158 ,  128 ,  82
Tamaulipas , 1 881 ,  124 ,  183 ,  160 ,  153 ,  220 ,  147 ,  214 ,  104 ,  158 ,  177 ,  181 ,  60
Tlaxcala ,  469 ,  20 ,  26 ,  43 ,  31 ,  34 ,  41 ,  29 ,  64 ,  49 ,  63 ,  39 ,  30
Veracruz , 1 752 ,  138 ,  125 ,  153 ,  130 ,  183 ,  112 ,  184 ,  138 ,  161 ,  172 ,  163 ,  93
Yucatán , 2 426 ,  198 ,  209 ,  257 ,  205 ,  282 ,  209 ,  243 ,  177 ,  189 ,  226 ,  168 ,  63
Zacatecas ,  997 ,  80 ,  86 ,  82 ,  82 ,  81 ,  98 ,  97 ,  67 ,  72 ,  120 ,  86 ,  46
TOTAL GLOBAL , 67 512 , 5 048 , 5 195 , 5 526 , 5 278 , 6 595 , 5 964 , 6 682 , 5 108 , 5 941 , 6 957 , 5 724 , 3 494
