Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes ,  30 ,  1 ,  1 ,  2 ,  2 ,  13 ,  5 ,  1 ,  0 ,  3 ,  0 ,  0 ,  2
Baja California ,  24 ,  1 ,  9 ,  5 ,  0 ,  1 ,  1 ,  4 ,  1 ,  1 ,  0 ,  1 ,  0
Baja California Sur ,  13 ,  1 ,  4 ,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,  2 ,  0 ,  0 ,  2
Campeche ,  620 ,  62 ,  63 ,  73 ,  42 ,  63 ,  75 ,  42 ,  51 ,  53 ,  31 ,  28 ,  37
Coahuila ,  19 ,  0 ,  1 ,  3 ,  2 ,  7 ,  0 ,  2 ,  1 ,  3 ,  0 ,  0 ,  0
Colima ,  7 ,  0 ,  0 ,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,  1
Chiapas ,  90 ,  6 ,  4 ,  2 ,  2 ,  0 ,  14 ,  2 ,  13 ,  6 ,  17 ,  11 ,  13
Chihuahua ,  572 ,  36 ,  34 ,  62 ,  53 ,  50 ,  59 ,  48 ,  50 ,  51 ,  39 ,  60 ,  30
Distrito Federal ,  236 ,  23 ,  20 ,  27 ,  11 ,  17 ,  27 ,  14 ,  11 ,  25 ,  20 ,  20 ,  21
Durango ,  94 ,  3 ,  6 ,  4 ,  3 ,  4 ,  10 ,  9 ,  12 ,  12 ,  9 ,  12 ,  10
Guanajuato ,  193 ,  18 ,  24 ,  16 ,  8 ,  21 ,  21 ,  35 ,  8 ,  7 ,  11 ,  16 ,  8
Guerrero ,  90 ,  11 ,  7 ,  2 ,  9 ,  4 ,  9 ,  2 ,  5 ,  14 ,  12 ,  12 ,  3
Hidalgo ,  280 ,  13 ,  26 ,  37 ,  26 ,  26 ,  34 ,  24 ,  19 ,  24 ,  24 ,  13 ,  14
Jalisco ,  655 ,  72 ,  54 ,  97 ,  51 ,  70 ,  39 ,  52 ,  44 ,  66 ,  54 ,  28 ,  28
México ,  186 ,  9 ,  14 ,  24 ,  20 ,  22 ,  26 ,  7 ,  3 ,  11 ,  15 ,  24 ,  11
Michoacán ,  52 ,  0 ,  3 ,  3 ,  4 ,  4 ,  10 ,  3 ,  5 ,  3 ,  5 ,  6 ,  6
Morelos ,  15 ,  0 ,  4 ,  2 ,  1 ,  2 ,  0 ,  1 ,  1 ,  1 ,  2 ,  1 ,  0
Nayarit ,  197 ,  19 ,  21 ,  32 ,  10 ,  17 ,  23 ,  18 ,  12 ,  15 ,  11 ,  10 ,  9
Nuevo León ,  239 ,  17 ,  37 ,  39 ,  25 ,  26 ,  38 ,  5 ,  17 ,  5 ,  4 ,  21 ,  5
Oaxaca ,  97 ,  7 ,  9 ,  5 ,  12 ,  11 ,  9 ,  5 ,  4 ,  14 ,  1 ,  10 ,  10
Puebla ,  131 ,  6 ,  2 ,  11 ,  8 ,  8 ,  14 ,  11 ,  21 ,  20 ,  13 ,  8 ,  9
Querétaro ,  295 ,  7 ,  18 ,  23 ,  21 ,  27 ,  24 ,  23 ,  10 ,  87 ,  24 ,  12 ,  19
Quintana Roo ,  61 ,  0 ,  4 ,  1 ,  10 ,  9 ,  5 ,  6 ,  1 ,  7 ,  6 ,  4 ,  8
San Luis Potosí ,  19 ,  2 ,  1 ,  4 ,  2 ,  2 ,  1 ,  1 ,  2 ,  0 ,  3 ,  0 ,  1
Sinaloa ,  154 ,  18 ,  6 ,  26 ,  9 ,  19 ,  21 ,  7 ,  15 ,  15 ,  7 ,  8 ,  3
Sonora ,  62 ,  6 ,  4 ,  18 ,  1 ,  2 ,  6 ,  7 ,  5 ,  5 ,  5 ,  3 ,  0
Tabasco ,  137 ,  3 ,  6 ,  15 ,  9 ,  18 ,  25 ,  12 ,  15 ,  7 ,  7 ,  9 ,  11
Tamaulipas ,  45 ,  5 ,  8 ,  7 ,  2 ,  1 ,  7 ,  3 ,  5 ,  3 ,  0 ,  3 ,  1
Tlaxcala ,  55 ,  0 ,  3 ,  6 ,  2 ,  0 ,  0 ,  3 ,  14 ,  8 ,  8 ,  6 ,  5
Veracruz ,  145 ,  3 ,  8 ,  7 ,  7 ,  11 ,  15 ,  12 ,  31 ,  15 ,  14 ,  7 ,  15
Yucatán ,  80 ,  6 ,  9 ,  7 ,  5 ,  2 ,  6 ,  5 ,  0 ,  0 ,  33 ,  1 ,  6
Zacatecas ,  60 ,  9 ,  4 ,  5 ,  8 ,  8 ,  5 ,  3 ,  2 ,  3 ,  2 ,  2 ,  9
TOTAL GLOBAL , 4 953 ,  364 ,  414 ,  567 ,  367 ,  465 ,  531 ,  369 ,  378 ,  487 ,  378 ,  336 ,  297
