Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,1.42 ,7 ,0 ,1 ,1 ,2 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0
Baja California ,7.70 ,109 ,1 ,5 ,27 ,5 ,11 ,9 ,14 ,10 ,9 ,9 ,5 ,4
Baja California Sur ,13.09 ,32 ,1 ,2 ,3 ,3 ,3 ,1 ,4 ,2 ,2 ,2 ,1 ,8
Campeche ,51.31 ,195 ,15 ,29 ,23 ,11 ,23 ,9 ,27 ,22 ,10 ,5 ,12 ,9
Coahuila ,11.14 ,139 ,111 ,1 ,3 ,5 ,2 ,2 ,4 ,1 ,3 ,2 ,3 ,2
Colima ,1.73 ,5 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,2
Chiapas ,4.90 ,106 ,9 ,9 ,5 ,12 ,7 ,6 ,7 ,6 ,6 ,14 ,6 ,19
Chihuahua ,10.03 ,168 ,16 ,9 ,9 ,10 ,10 ,25 ,37 ,11 ,11 ,12 ,5 ,13
Distrito Federal ,3.56 ,153 ,18 ,18 ,8 ,20 ,16 ,14 ,12 ,10 ,10 ,10 ,6 ,11
Durango ,6.90 ,53 ,24 ,4 ,0 ,4 ,3 ,6 ,1 ,2 ,1 ,3 ,2 ,3
Guanajuato ,2.26 ,55 ,8 ,4 ,5 ,4 ,8 ,3 ,7 ,3 ,6 ,1 ,5 ,1
Guerrero ,7.02 ,113 ,9 ,14 ,6 ,7 ,45 ,9 ,1 ,5 ,2 ,4 ,8 ,3
Hidalgo ,14.27 ,165 ,11 ,9 ,17 ,24 ,21 ,15 ,17 ,11 ,13 ,15 ,5 ,7
Jalisco ,48.83 ,1626 ,55 ,53 ,45 ,123 ,42 ,162 ,162 ,222 ,234 ,240 ,186 ,102
México ,2.89 ,205 ,12 ,12 ,13 ,10 ,20 ,9 ,16 ,17 ,20 ,13 ,61 ,2
Michoacán ,5.40 ,111 ,15 ,11 ,9 ,6 ,16 ,7 ,7 ,22 ,2 ,8 ,4 ,4
Morelos ,1.68 ,14 ,1 ,1 ,3 ,1 ,2 ,1 ,0 ,0 ,1 ,3 ,1 ,0
Nayarit ,6.03 ,30 ,7 ,3 ,3 ,2 ,1 ,0 ,2 ,1 ,1 ,5 ,2 ,3
Nuevo León ,3.77 ,78 ,10 ,2 ,5 ,5 ,6 ,7 ,3 ,1 ,5 ,12 ,9 ,13
Oaxaca ,6.76 ,122 ,14 ,7 ,9 ,12 ,5 ,14 ,11 ,8 ,10 ,11 ,11 ,10
Puebla ,3.44 ,92 ,7 ,0 ,4 ,12 ,9 ,13 ,6 ,4 ,8 ,14 ,13 ,2
Querétaro ,8.48 ,65 ,3 ,3 ,3 ,5 ,4 ,14 ,8 ,13 ,6 ,2 ,1 ,3
Quintana Roo ,6.11 ,32 ,1 ,2 ,4 ,8 ,3 ,3 ,2 ,1 ,0 ,1 ,4 ,3
San Luis Potosi ,4.59 ,54 ,8 ,3 ,3 ,11 ,7 ,8 ,3 ,1 ,3 ,2 ,1 ,4
Sinaloa ,2.46 ,34 ,6 ,2 ,3 ,2 ,1 ,6 ,1 ,2 ,0 ,1 ,5 ,5
Sonora ,0.08 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0
Tabasco ,7.97 ,81 ,13 ,9 ,4 ,6 ,7 ,12 ,2 ,5 ,7 ,8 ,4 ,4
Tamaulipas ,8.15 ,125 ,8 ,12 ,18 ,16 ,11 ,18 ,22 ,8 ,2 ,10 ,0 ,0
Tlaxcala ,2.52 ,13 ,0 ,1 ,2 ,1 ,0 ,2 ,0 ,0 ,0 ,5 ,2 ,0
Veracruz ,3.81 ,137 ,12 ,21 ,12 ,12 ,9 ,7 ,13 ,8 ,6 ,16 ,19 ,2
Yucatán ,5.35 ,47 ,7 ,8 ,4 ,1 ,5 ,0 ,5 ,3 ,9 ,2 ,3 ,0
Zacatecas ,9.13 ,63 ,5 ,0 ,5 ,7 ,12 ,6 ,8 ,1 ,1 ,3 ,10 ,5
TOTAL GLOBAL ,8.16 ,4230 ,407 ,257 ,256 ,347 ,309 ,388 ,402 ,403 ,389 ,434 ,394 ,244
