Estado ,Incidencia* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,"1,46 ",  8 ,  1 ,  1 ,  0 ,  0 ,  1 ,  0 ,  1 ,  0 ,  0 ,  0 ,  3 ,  1
Baja California ,"1,68 ",  27 ,  5 ,  1 ,  6 ,  2 ,  1 ,  1 ,  2 ,  2 ,  5 ,  0 ,  0 ,  2
Baja California Sur ,"4,16 ",  12 ,  1 ,  1 ,  0 ,  0 ,  2 ,  0 ,  4 ,  0 ,  1 ,  2 ,  0 ,  1
Campeche ,"102,31 ",  399 ,  27 ,  29 ,  26 ,  45 ,  30 ,  25 ,  28 ,  19 ,  38 ,  52 ,  15 ,  65
Coahuila ,"1,31 ",  17 ,  0 ,  1 ,  0 ,  3 ,  2 ,  2 ,  0 ,  0 ,  2 ,  2 ,  2 ,  3
Colima ,"6,38 ",  19 ,  0 ,  0 ,  1 ,  0 ,  0 ,  2 ,  1 ,  3 ,  2 ,  3 ,  2 ,  5
Chiapas ,"2,82 ",  62 ,  19 ,  5 ,  3 ,  9 ,  1 ,  0 ,  1 ,  2 ,  1 ,  11 ,  0 ,  10
Chihuahua ,"37,04 ",  633 ,  10 ,  48 ,  48 ,  76 ,  69 ,  53 ,  93 ,  27 ,  52 ,  80 ,  40 ,  37
Distrito Federal ,"4,07 ",  174 ,  18 ,  13 ,  12 ,  20 ,  17 ,  12 ,  13 ,  7 ,  21 ,  18 ,  11 ,  12
Durango ,"3,68 ",  28 ,  1 ,  1 ,  2 ,  2 ,  5 ,  3 ,  0 ,  1 ,  2 ,  3 ,  7 ,  1
Guanajuato ,"4,01 ",  96 ,  5 ,  8 ,  11 ,  9 ,  9 ,  8 ,  9 ,  5 ,  10 ,  5 ,  10 ,  7
Guerrero ,"5,34 ",  81 ,  3 ,  2 ,  3 ,  31 ,  5 ,  11 ,  3 ,  9 ,  2 ,  1 ,  2 ,  9
Hidalgo ,"22,20 ",  257 ,  16 ,  18 ,  21 ,  23 ,  20 ,  22 ,  21 ,  29 ,  20 ,  28 ,  19 ,  20
Jalisco ,"19,87 ",  681 ,  52 ,  54 ,  62 ,  68 ,  53 ,  55 ,  80 ,  38 ,  69 ,  44 ,  53 ,  53
México ,"3,38 ",  247 ,  10 ,  37 ,  15 ,  15 ,  36 ,  27 ,  42 ,  14 ,  21 ,  8 ,  11 ,  11
Michoacán ,"5,61 ",  107 ,  12 ,  6 ,  6 ,  15 ,  6 ,  9 ,  4 ,  13 ,  6 ,  2 ,  7 ,  21
Morelos ,"2,59 ",  21 ,  1 ,  1 ,  2 ,  1 ,  0 ,  5 ,  4 ,  3 ,  2 ,  1 ,  0 ,  1
Nayarit ,"41,39 ",  199 ,  8 ,  3 ,  7 ,  20 ,  11 ,  3 ,  18 ,  8 ,  26 ,  38 ,  30 ,  27
Nuevo León ,"8,05 ",  178 ,  7 ,  18 ,  5 ,  13 ,  13 ,  3 ,  20 ,  9 ,  21 ,  31 ,  16 ,  22
Oaxaca ,"6,13 ",  104 ,  10 ,  14 ,  14 ,  10 ,  6 ,  5 ,  13 ,  7 ,  7 ,  7 ,  5 ,  6
Puebla ,"3,00 ",  81 ,  3 ,  3 ,  11 ,  11 ,  7 ,  13 ,  5 ,  2 ,  4 ,  6 ,  8 ,  8
Querétaro ,"23,21 ",  192 ,  10 ,  6 ,  7 ,  20 ,  48 ,  13 ,  14 ,  8 ,  18 ,  19 ,  17 ,  12
Quintana Roo ,"9,22 ",  59 ,  4 ,  12 ,  9 ,  6 ,  4 ,  5 ,  4 ,  4 ,  2 ,  4 ,  5 ,  0
San Luis Potosí ,"2,42 ",  29 ,  2 ,  3 ,  7 ,  0 ,  3 ,  0 ,  3 ,  4 ,  1 ,  2 ,  2 ,  2
Sinaloa ,"7,27 ",  97 ,  8 ,  5 ,  2 ,  12 ,  13 ,  4 ,  13 ,  3 ,  13 ,  7 ,  8 ,  9
Sonora ,"5,23 ",  66 ,  7 ,  4 ,  3 ,  11 ,  2 ,  7 ,  9 ,  3 ,  6 ,  4 ,  2 ,  8
Tabasco ,"5,67 ",  57 ,  5 ,  7 ,  8 ,  3 ,  3 ,  10 ,  0 ,  4 ,  8 ,  1 ,  1 ,  7
Tamaulipas ,"0,51 ",  8 ,  0 ,  0 ,  0 ,  3 ,  0 ,  0 ,  1 ,  2 ,  1 ,  0 ,  0 ,  1
Tlaxcala ,"2,21 ",  12 ,  3 ,  2 ,  1 ,  1 ,  0 ,  1 ,  4 ,  0 ,  0 ,  0 ,  0 ,  0
Veracruz ,"2,32 ",  81 ,  2 ,  8 ,  7 ,  6 ,  4 ,  14 ,  11 ,  5 ,  8 ,  5 ,  4 ,  7
Yucatán ,"4,66 ",  44 ,  5 ,  1 ,  1 ,  4 ,  6 ,  2 ,  1 ,  1 ,  14 ,  4 ,  1 ,  4
Zacatecas ,"11,37 ",  76 ,  0 ,  4 ,  5 ,  4 ,  2 ,  6 ,  19 ,  13 ,  7 ,  9 ,  3 ,  4
TOTAL GLOBAL ,"7,91 ", 4 152 ,  255 ,  316 ,  305 ,  443 ,  379 ,  321 ,  441 ,  245 ,  390 ,  397 ,  284 ,  376
