"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,  17 ,  3 ,  2 ,  1 ,  5 ,  4 ,  1 ,  0 ,  1 ,  0 ,  0 ,  0 ,  0
Baja California ,  39 ,  4 ,  8 ,  5 ,  1 ,  3 ,  2 ,  2 ,  4 ,  3 ,  4 ,  1 ,  2
Baja California Sur ,  35 ,  0 ,  1 ,  0 ,  3 ,  2 ,  8 ,  0 ,  2 ,  2 ,  6 ,  6 ,  5
Campeche ,  111 ,  9 ,  7 ,  6 ,  11 ,  5 ,  14 ,  8 ,  9 ,  2 ,  26 ,  12 ,  2
Coahuila ,  14 ,  1 ,  2 ,  1 ,  3 ,  0 ,  3 ,  2 ,  0 ,  0 ,  1 ,  1 ,  0
Colima ,  18 ,  5 ,  2 ,  0 ,  2 ,  2 ,  2 ,  0 ,  3 ,  1 ,  0 ,  0 ,  1
Chiapas ,  84 ,  4 ,  4 ,  7 ,  0 ,  0 ,  7 ,  3 ,  25 ,  15 ,  15 ,  2 ,  2
Chihuahua ,  676 ,  46 ,  60 ,  59 ,  56 ,  45 ,  85 ,  49 ,  49 ,  75 ,  65 ,  56 ,  31
Distrito Federal ,  354 ,  18 ,  15 ,  51 ,  19 ,  173 ,  14 ,  6 ,  16 ,  8 ,  11 ,  16 ,  7
Durango ,  86 ,  11 ,  7 ,  8 ,  4 ,  7 ,  6 ,  6 ,  8 ,  6 ,  9 ,  7 ,  7
Guanajuato ,  198 ,  11 ,  11 ,  21 ,  13 ,  8 ,  27 ,  11 ,  16 ,  10 ,  5 ,  21 ,  44
Guerrero ,  271 ,  6 ,  1 ,  21 ,  27 ,  33 ,  30 ,  32 ,  24 ,  17 ,  47 ,  31 ,  2
Hidalgo ,  351 ,  10 ,  28 ,  30 ,  32 ,  29 ,  41 ,  18 ,  21 ,  37 ,  50 ,  38 ,  17
Jalisco ,  655 ,  38 ,  47 ,  61 ,  54 ,  49 ,  77 ,  57 ,  64 ,  66 ,  37 ,  69 ,  36
México ,  913 ,  37 ,  107 ,  144 ,  75 ,  58 ,  96 ,  31 ,  82 ,  83 ,  49 ,  56 ,  95
Michoacán ,  113 ,  4 ,  11 ,  8 ,  5 ,  34 ,  4 ,  5 ,  10 ,  4 ,  7 ,  9 ,  12
Morelos ,  64 ,  0 ,  1 ,  3 ,  1 ,  3 ,  1 ,  10 ,  6 ,  18 ,  12 ,  1 ,  8
Nayarit ,  41 ,  1 ,  5 ,  2 ,  2 ,  1 ,  10 ,  3 ,  5 ,  1 ,  3 ,  6 ,  2
Nuevo León ,  145 ,  15 ,  11 ,  33 ,  9 ,  6 ,  11 ,  39 ,  4 ,  4 ,  3 ,  9 ,  1
Oaxaca ,  84 ,  1 ,  3 ,  7 ,  4 ,  5 ,  9 ,  8 ,  16 ,  8 ,  6 ,  8 ,  9
Puebla ,  209 ,  10 ,  15 ,  38 ,  8 ,  7 ,  17 ,  22 ,  10 ,  12 ,  27 ,  26 ,  17
Querétaro ,  406 ,  18 ,  27 ,  55 ,  18 ,  16 ,  29 ,  17 ,  70 ,  18 ,  68 ,  43 ,  27
Quintana Roo ,  58 ,  8 ,  5 ,  3 ,  1 ,  5 ,  9 ,  5 ,  2 ,  2 ,  5 ,  4 ,  9
San Luis Potosí ,  77 ,  7 ,  0 ,  3 ,  0 ,  2 ,  6 ,  3 ,  27 ,  20 ,  3 ,  4 ,  2
Sinaloa ,  67 ,  4 ,  16 ,  2 ,  7 ,  6 ,  3 ,  2 ,  7 ,  11 ,  2 ,  6 ,  1
Sonora ,  57 ,  8 ,  5 ,  7 ,  4 ,  4 ,  7 ,  4 ,  2 ,  1 ,  3 ,  3 ,  9
Tabasco ,  72 ,  11 ,  8 ,  2 ,  6 ,  5 ,  3 ,  7 ,  4 ,  10 ,  6 ,  5 ,  5
Tamaulipas ,  79 ,  4 ,  52 ,  3 ,  1 ,  3 ,  3 ,  4 ,  2 ,  3 ,  0 ,  4 ,  0
Tlaxcala ,  42 ,  4 ,  4 ,  3 ,  4 ,  1 ,  10 ,  3 ,  3 ,  3 ,  1 ,  5 ,  1
Veracruz ,  171 ,  4 ,  5 ,  23 ,  8 ,  20 ,  14 ,  13 ,  16 ,  9 ,  13 ,  43 ,  3
Yucatán ,  72 ,  4 ,  7 ,  2 ,  8 ,  8 ,  9 ,  9 ,  4 ,  6 ,  8 ,  2 ,  5
Zacatecas ,  30 ,  3 ,  3 ,  1 ,  1 ,  3 ,  2 ,  2 ,  3 ,  1 ,  5 ,  3 ,  3
TOTAL GLOBAL , 5 609 ,  309 ,  480 ,  610 ,  392 ,  547 ,  560 ,  381 ,  515 ,  456 ,  497 ,  497 ,  365
