QUADPROG PUNINTPC PINTPREDCORRPC
-6.76923076920882 -6.76922431537782 -6.76923064993953
-5.51724138023593 -5.51723585160205 -5.51724138206842
-6.45 -6.449995883204 -6.44999992259197
-2.44444444440625 -2.44444087861013 -2.44444433346005
-8.49999999999323 -8.49999504149137 -8.4999991792872
-0.999999999875 -0.999997028860705 -0.999999999993781
-12.0499999999927 -12.0499966370173 -12.0499930315119
 NaN NaN
-50.3116778349086 -50.3116552891928 -50.3116776298291
-208.999999804503 -208.999959192331 -208.999948824894
-97976.3870162081 -97976.3870067211 -97976.3870160651
-10221.5958321708 -10221.5958307125 -10221.5958301948
